song,link,album,year,artist
Everything Disappears When You Come Around,../lyrics/ofmontreal/everythingdisappearswhenyoucomearound.html,Cherry Peel,1997,OF MONTREAL
Baby,../lyrics/ofmontreal/baby.html,Cherry Peel,1997,OF MONTREAL
I Can't Stop Your Memory,../lyrics/ofmontreal/icantstopyourmemory.html,Cherry Peel,1997,OF MONTREAL
When You're Loved Like You Are,../lyrics/ofmontreal/whenyourelovedlikeyouare.html,Cherry Peel,1997,OF MONTREAL
Don't Ask Me To Explain,../lyrics/ofmontreal/dontaskmetoexplain.html,Cherry Peel,1997,OF MONTREAL
In Dreams I Dance With You,../lyrics/ofmontreal/indreamsidancewithyou.html,Cherry Peel,1997,OF MONTREAL
Sleeping In The Beetle Bug,../lyrics/ofmontreal/sleepinginthebeetlebug.html,Cherry Peel,1997,OF MONTREAL
Tim I Wish You Were Born A Girl,../lyrics/ofmontreal/timiwishyouwerebornagirl.html,Cherry Peel,1997,OF MONTREAL
Montreal,../lyrics/ofmontreal/montreal.html,Cherry Peel,1997,OF MONTREAL
This Feeling (Derek's Theme),../lyrics/ofmontreal/thisfeelingderekstheme.html,Cherry Peel,1997,OF MONTREAL
I Was Watching Your Eyes,../lyrics/ofmontreal/iwaswatchingyoureyes.html,Cherry Peel,1997,OF MONTREAL
Springtime Is The Season,../lyrics/ofmontreal/springtimeistheseason.html,Cherry Peel,1997,OF MONTREAL
At Night Trees Aren't Sleeping,../lyrics/ofmontreal/atnighttreesarentsleeping.html,Cherry Peel,1997,OF MONTREAL
You've Got A Gift,../lyrics/ofmontreal/youvegotagift.html,Cherry Peel,1997,OF MONTREAL
,,Cherry Peel,1997,OF MONTREAL
You Are An Airplane,../lyrics/ofmontreal/youareanairplane.html,The Bird Who Continues To Eat The Rabbit's Flower,1997,OF MONTREAL
The Inner Light,../lyrics/ofmontreal/theinnerlight.html,The Bird Who Continues To Eat The Rabbit's Flower,1997,OF MONTREAL
When A Man Is In Love With A Man,../lyrics/ofmontreal/whenamanisinlovewithaman.html,The Bird Who Continues To Eat The Rabbit's Flower,1997,OF MONTREAL
If I Faltered Slightly Twice,../lyrics/ofmontreal/ififalteredslightlytwice.html,The Bird Who Continues To Eat The Rabbit's Flower,1997,OF MONTREAL
Disguises,../lyrics/ofmontreal/disguises.html,The Bird Who Continues To Eat The Rabbit's Flower,1997,OF MONTREAL
On The Drive Home,../lyrics/ofmontreal/onthedrivehome.html,The Bird Who Continues To Eat The Rabbit's Flower,1997,OF MONTREAL
The Secret Ocean,../lyrics/ofmontreal/thesecretocean.html,The Bird Who Continues To Eat The Rabbit's Flower,1997,OF MONTREAL
I Felt Like Smashing My Head Through A Clear Glass Window,../lyrics/ofmontreal/ifeltlikesmashingmyheadthroughaclearglasswindow.html,The Bird Who Continues To Eat The Rabbit's Flower,1997,OF MONTREAL
Christmas Is Only Good If You're Not An Animal,../lyrics/ofmontreal/christmasisonlygoodifyourenotananimal.html,The Bird Who Continues To Eat The Rabbit's Flower,1997,OF MONTREAL
My Favourite Christmas (In A Hundred Words Or Less),../lyrics/ofmontreal/myfavouritechristmasinahundredwordsorless.html,The Bird Who Continues To Eat The Rabbit's Flower,1997,OF MONTREAL
,,The Bird Who Continues To Eat The Rabbit's Flower,1997,OF MONTREAL
One Of A Very Few Of A Kind,../lyrics/ofmontreal/oneofaveryfewofakind.html,The Bedside Drama: A Petite Tragedy,1998,OF MONTREAL
Happy Yellow Bumblebee,../lyrics/ofmontreal/happyyellowbumblebee.html,The Bedside Drama: A Petite Tragedy,1998,OF MONTREAL
Little Viola Hidden In The Orchestra,../lyrics/ofmontreal/littleviolahiddenintheorchestra.html,The Bedside Drama: A Petite Tragedy,1998,OF MONTREAL
Sing You A Love You Song,../lyrics/ofmontreal/singyoualoveyousong.html,The Bedside Drama: A Petite Tragedy,1998,OF MONTREAL
Honeymoon In San Francisco,../lyrics/ofmontreal/honeymooninsanfrancisco.html,The Bedside Drama: A Petite Tragedy,1998,OF MONTREAL
Cutie Pie,../lyrics/ofmontreal/cutiepie.html,The Bedside Drama: A Petite Tragedy,1998,OF MONTREAL
Panda Bear,../lyrics/ofmontreal/pandabear.html,The Bedside Drama: A Petite Tragedy,1998,OF MONTREAL
Please Tell Me So,../lyrics/ofmontreal/pleasetellmeso.html,The Bedside Drama: A Petite Tragedy,1998,OF MONTREAL
"My Darling, I've Forgotten",../lyrics/ofmontreal/mydarlingiveforgotten.html,The Bedside Drama: A Petite Tragedy,1998,OF MONTREAL
"If You Feel You Must Go, Don't Go!",../lyrics/ofmontreal/ifyoufeelyoumustgodontgo.html,The Bedside Drama: A Petite Tragedy,1998,OF MONTREAL
Just Recently Lost Something Of Importance,../lyrics/ofmontreal/justrecentlylostsomethingofimportance.html,The Bedside Drama: A Petite Tragedy,1998,OF MONTREAL
The Hollow Room,../lyrics/ofmontreal/thehollowroom.html,The Bedside Drama: A Petite Tragedy,1998,OF MONTREAL
It's Easy To Sleep When You're Dead,../lyrics/ofmontreal/itseasytosleepwhenyouredead.html,The Bedside Drama: A Petite Tragedy,1998,OF MONTREAL
,,The Bedside Drama: A Petite Tragedy,1998,OF MONTREAL
Old Familiar Way,../lyrics/ofmontreal/oldfamiliarway.html,The Gay Parade,1999,OF MONTREAL
Fun Loving Nun,../lyrics/ofmontreal/funlovingnun.html,The Gay Parade,1999,OF MONTREAL
Tulip Baroo,../lyrics/ofmontreal/tulipbaroo.html,The Gay Parade,1999,OF MONTREAL
Jacques Lamure,../lyrics/ofmontreal/jacqueslamure.html,The Gay Parade,1999,OF MONTREAL
The March Of The Gay Parade,../lyrics/ofmontreal/themarchofthegayparade.html,The Gay Parade,1999,OF MONTREAL
Neat Little Domestic Life,../lyrics/ofmontreal/neatlittledomesticlife.html,The Gay Parade,1999,OF MONTREAL
A Collection Of Poems About Water,../lyrics/ofmontreal/acollectionofpoemsaboutwater.html,The Gay Parade,1999,OF MONTREAL
Y The Quale And Vaguely Bird Noisily Enjoying Their Forbidden Tryst / I'd Be A Yellow Feathered Loon,../lyrics/ofmontreal/ythequaleandvaguelybirdnoisilyenjoyingtheirforbiddentrystidbeayellowfeatheredloon.html,The Gay Parade,1999,OF MONTREAL
The Autobiographical Grandpa,../lyrics/ofmontreal/theautobiographicalgrandpa.html,The Gay Parade,1999,OF MONTREAL
The Miniature Philosopher,../lyrics/ofmontreal/theminiaturephilosopher.html,The Gay Parade,1999,OF MONTREAL
My Friend Will Be Me,../lyrics/ofmontreal/myfriendwillbeme.html,The Gay Parade,1999,OF MONTREAL
My Favorite Boxer,../lyrics/ofmontreal/myfavoriteboxer.html,The Gay Parade,1999,OF MONTREAL
Advice From A Divorced Gentleman To His Bachelor Friend Considering Marriage,../lyrics/ofmontreal/advicefromadivorcedgentlemantohisbachelorfriendconsideringmarriage.html,The Gay Parade,1999,OF MONTREAL
A Man's Life Flashing Before His Eyes While He And His Wife Drive Off A Cliff Into The Ocean,../lyrics/ofmontreal/amanslifeflashingbeforehiseyeswhileheandhiswifedriveoffacliffintotheocean.html,The Gay Parade,1999,OF MONTREAL
Nickee Coco And The Invisible Tree,../lyrics/ofmontreal/nickeecocoandtheinvisibletree.html,The Gay Parade,1999,OF MONTREAL
The Gay Parade Outro,../lyrics/ofmontreal/thegayparadeoutro.html,The Gay Parade,1999,OF MONTREAL
,,The Gay Parade,1999,OF MONTREAL
A Celebration Of H. Hare,../lyrics/ofmontreal/acelebrationofhhare.html,Horse & Elephant Eatery (No Elephants Allowed): The Singles And Songles Album,2000,OF MONTREAL
Joseph And Alexander,../lyrics/ofmontreal/josephandalexander.html,Horse & Elephant Eatery (No Elephants Allowed): The Singles And Songles Album,2000,OF MONTREAL
The Problem With April,../lyrics/ofmontreal/theproblemwithapril.html,Horse & Elephant Eatery (No Elephants Allowed): The Singles And Songles Album,2000,OF MONTREAL
Nicki Lighthouse,../lyrics/ofmontreal/nickilighthouse.html,Horse & Elephant Eatery (No Elephants Allowed): The Singles And Songles Album,2000,OF MONTREAL
Was Your Face A Head In The Pillowcase?,../lyrics/ofmontreal/wasyourfaceaheadinthepillowcase.html,Horse & Elephant Eatery (No Elephants Allowed): The Singles And Songles Album,2000,OF MONTREAL
Julie The Mouse,../lyrics/ofmontreal/juliethemouse.html,Horse & Elephant Eatery (No Elephants Allowed): The Singles And Songles Album,2000,OF MONTREAL
In The Army Kid,../lyrics/ofmontreal/inthearmykid.html,Horse & Elephant Eatery (No Elephants Allowed): The Singles And Songles Album,2000,OF MONTREAL
Buried With Me,../lyrics/ofmontreal/buriedwithme.html,Horse & Elephant Eatery (No Elephants Allowed): The Singles And Songles Album,2000,OF MONTREAL
Spoonful Of Sugar,../lyrics/ofmontreal/spoonfulofsugar.html,Horse & Elephant Eatery (No Elephants Allowed): The Singles And Songles Album,2000,OF MONTREAL
Ira's Brief Life As A Spider,../lyrics/ofmontreal/irasbrieflifeasaspider.html,Horse & Elephant Eatery (No Elephants Allowed): The Singles And Songles Album,2000,OF MONTREAL
The World Keeps Going Round,../lyrics/ofmontreal/theworldkeepsgoinground.html,Horse & Elephant Eatery (No Elephants Allowed): The Singles And Songles Album,2000,OF MONTREAL
