song,link,album,year,artist
Half A Brick,../lyrics/ojdajuiceman/halfabrick.html,I Got The Juice,2008,OJ DA JUICEMAN
I'll Be Trappin,../lyrics/ojdajuiceman/illbetrappin.html,I Got The Juice,2008,OJ DA JUICEMAN
Kush,../lyrics/ojdajuiceman/kush.html,I Got The Juice,2008,OJ DA JUICEMAN
,,I Got The Juice,2008,OJ DA JUICEMAN
Swag,../lyrics/ojdajuiceman/swag.html,Juice World,2008,OJ DA JUICEMAN
,,Juice World,2008,OJ DA JUICEMAN
I Be Trappin',../lyrics/ojdajuiceman/ibetrappin.html,The Otha Side Of The Trap,2009,OJ DA JUICEMAN
Batman,../lyrics/ojdajuiceman/batman.html,The Otha Side Of The Trap,2009,OJ DA JUICEMAN
I'm Gettin' Money,../lyrics/ojdajuiceman/imgettinmoney.html,The Otha Side Of The Trap,2009,OJ DA JUICEMAN
Make Tha Trap Say Aye,../lyrics/ojdajuiceman/makethatrapsayaye.html,The Otha Side Of The Trap,2009,OJ DA JUICEMAN
,,The Otha Side Of The Trap,2009,OJ DA JUICEMAN
Car Talk,../lyrics/ojdajuiceman/cartalk.html,Stupid Crazy Swag,2009,OJ DA JUICEMAN
,,Stupid Crazy Swag,2009,OJ DA JUICEMAN
Intro,../lyrics/ojdajuiceman/intro.html,6 Ringz: Vol 2,2013,OJ DA JUICEMAN
Run Them Bands Up,../lyrics/ojdajuiceman/runthembandsup.html,6 Ringz: Vol 2,2013,OJ DA JUICEMAN
I Do This,../lyrics/ojdajuiceman/idothis.html,6 Ringz: Vol 2,2013,OJ DA JUICEMAN
Ballin Like A Fool,../lyrics/ojdajuiceman/ballinlikeafool.html,6 Ringz: Vol 2,2013,OJ DA JUICEMAN
Ballin Out The Gym,../lyrics/ojdajuiceman/ballinoutthegym.html,6 Ringz: Vol 2,2013,OJ DA JUICEMAN
Be The Man,../lyrics/ojdajuiceman/betheman.html,6 Ringz: Vol 2,2013,OJ DA JUICEMAN
Pimp C,../lyrics/ojdajuiceman/pimpc.html,6 Ringz: Vol 2,2013,OJ DA JUICEMAN
Ziplock,../lyrics/ojdajuiceman/ziplock.html,6 Ringz: Vol 2,2013,OJ DA JUICEMAN
Plug Prices,../lyrics/ojdajuiceman/plugprices.html,6 Ringz: Vol 2,2013,OJ DA JUICEMAN
No Hook,../lyrics/ojdajuiceman/nohook.html,6 Ringz: Vol 2,2013,OJ DA JUICEMAN
Outro,../lyrics/ojdajuiceman/outro.html,6 Ringz: Vol 2,2013,OJ DA JUICEMAN
Coogi,../lyrics/ojdajuiceman/coogi.html,,,OJ DA JUICEMAN
Early Morning,../lyrics/ojdajuiceman/earlymorning.html,,,OJ DA JUICEMAN
Homer,../lyrics/ojdajuiceman/homer.html,,,OJ DA JUICEMAN
I Cook,../lyrics/ojdajuiceman/icook.html,,,OJ DA JUICEMAN
I'm Livin It,../lyrics/ojdajuiceman/imlivinit.html,,,OJ DA JUICEMAN
Juice Man,../lyrics/ojdajuiceman/juiceman.html,,,OJ DA JUICEMAN
Make Da Trap Say Aye (Remix),../lyrics/ojdajuiceman/makedatrapsayayeremix.html,,,OJ DA JUICEMAN
Middle Finger,../lyrics/ojdajuiceman/middlefinger.html,,,OJ DA JUICEMAN
Public Housing,../lyrics/ojdajuiceman/publichousing.html,,,OJ DA JUICEMAN
Time Clock,../lyrics/ojdajuiceman/timeclock.html,,,OJ DA JUICEMAN
