song,link,album,year,artist
Intro,../lyrics/oldirtybastard/intro.html,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
Shimmy Shimmy Ya,../lyrics/oldirtybastard/shimmyshimmyya.html,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
Baby C'mon,../lyrics/oldirtybastard/babycmon.html,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
Brooklyn Zoo,../lyrics/oldirtybastard/brooklynzoo.html,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
Hippa To Da Hoppa,../lyrics/oldirtybastard/hippatodahoppa.html,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
Raw Hide,../lyrics/oldirtybastard/rawhide.html,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
Damage,../lyrics/oldirtybastard/damage.html,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
Don't You Know,../lyrics/oldirtybastard/dontyouknow.html,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
Stomp,../lyrics/oldirtybastard/stomp.html,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
Goin' Down,../lyrics/oldirtybastard/goindown.html,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
Drunk Game (Sweet Sugar Pie),../lyrics/oldirtybastard/drunkgamesweetsugarpie.html,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
Snakes,../lyrics/oldirtybastard/snakes.html,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
Brooklyn Zoo II,../lyrics/oldirtybastard/brooklynzooii.html,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
Proteck Ya Neck II In The Zoo,../lyrics/oldirtybastard/proteckyaneckiiinthezoo.html,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
Cuttin' Headz,../lyrics/oldirtybastard/cuttinheadz.html,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
Dirty Dancin',../lyrics/oldirtybastard/dirtydancin.html,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
Harlem World,../lyrics/oldirtybastard/harlemworld.html,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
,,The Return To The 36 Chambers,1995,OL' DIRTY BASTARD
Recognize,../lyrics/oldirtybastard/recognize.html,Nigga Please,1999,OL' DIRTY BASTARD
I Can't Wait,../lyrics/oldirtybastard/icantwait.html,Nigga Please,1999,OL' DIRTY BASTARD
Cold Blooded,../lyrics/oldirtybastard/coldblooded.html,Nigga Please,1999,OL' DIRTY BASTARD
Got Your Money,../lyrics/oldirtybastard/gotyourmoney.html,Nigga Please,1999,OL' DIRTY BASTARD
Rollin' Wit You,../lyrics/oldirtybastard/rollinwityou.html,Nigga Please,1999,OL' DIRTY BASTARD
Gettin' High,../lyrics/oldirtybastard/gettinhigh.html,Nigga Please,1999,OL' DIRTY BASTARD
You Don't Want To Fuck With Me,../lyrics/oldirtybastard/youdontwanttofuckwithme.html,Nigga Please,1999,OL' DIRTY BASTARD
Nigga Please,../lyrics/oldirtybastard/niggaplease.html,Nigga Please,1999,OL' DIRTY BASTARD
Dirt Dog,../lyrics/oldirtybastard/dirtdog.html,Nigga Please,1999,OL' DIRTY BASTARD
I Want Pussy,../lyrics/oldirtybastard/iwantpussy.html,Nigga Please,1999,OL' DIRTY BASTARD
Good Morning Heartache,../lyrics/oldirtybastard/goodmorningheartache.html,Nigga Please,1999,OL' DIRTY BASTARD
All In Together Now,../lyrics/oldirtybastard/allintogethernow.html,Nigga Please,1999,OL' DIRTY BASTARD
Cracker Jack,../lyrics/oldirtybastard/crackerjack.html,Nigga Please,1999,OL' DIRTY BASTARD
,,Nigga Please,1999,OL' DIRTY BASTARD
Caught Up,../lyrics/oldirtybastard/caughtup.html,Trials & Tribulations Of Russell Jones,2002,OL' DIRTY BASTARD
Dirty & Stinkin',../lyrics/oldirtybastard/dirtystinkin.html,Trials & Tribulations Of Russell Jones,2002,OL' DIRTY BASTARD
Dogged Out,../lyrics/oldirtybastard/doggedout.html,Trials & Tribulations Of Russell Jones,2002,OL' DIRTY BASTARD
Anybody,../lyrics/oldirtybastard/anybody.html,Trials & Tribulations Of Russell Jones,2002,OL' DIRTY BASTARD
Reunited,../lyrics/oldirtybastard/reunited.html,Trials & Tribulations Of Russell Jones,2002,OL' DIRTY BASTARD
Here Comes The Judge,../lyrics/oldirtybastard/herecomesthejudge.html,Trials & Tribulations Of Russell Jones,2002,OL' DIRTY BASTARD
I Wanna Fuck,../lyrics/oldirtybastard/iwannafuck.html,Trials & Tribulations Of Russell Jones,2002,OL' DIRTY BASTARD
Lintballz,../lyrics/oldirtybastard/lintballz.html,Trials & Tribulations Of Russell Jones,2002,OL' DIRTY BASTARD
Zoo Two,../lyrics/oldirtybastard/zootwo.html,Trials & Tribulations Of Russell Jones,2002,OL' DIRTY BASTARD
C'mon,../lyrics/oldirtybastard/cmon.html,Trials & Tribulations Of Russell Jones,2002,OL' DIRTY BASTARD
Build Me Up (Premix),../lyrics/oldirtybastard/buildmeuppremix.html,,,OL' DIRTY BASTARD
Burnin' Up,../lyrics/oldirtybastard/burninup.html,,,OL' DIRTY BASTARD
Come On (Clap),../lyrics/oldirtybastard/comeonclap.html,,,OL' DIRTY BASTARD
Danger Zone,../lyrics/oldirtybastard/dangerzone.html,,,OL' DIRTY BASTARD
Dirty The Moocher,../lyrics/oldirtybastard/dirtythemoocher.html,,,OL' DIRTY BASTARD
Don't U Know Part II,../lyrics/oldirtybastard/dontuknowpartii.html,,,OL' DIRTY BASTARD
Drug Free (Remix),../lyrics/oldirtybastard/drugfreeremix.html,,,OL' DIRTY BASTARD
Give It To Ya Raw,../lyrics/oldirtybastard/giveittoyaraw.html,,,OL' DIRTY BASTARD
Ol Dirty's Back,../lyrics/oldirtybastard/oldirtysback.html,,,OL' DIRTY BASTARD
Shimmy Shimmy Ya (Extended Version),../lyrics/oldirtybastard/shimmyshimmyyaextendedversion.html,,,OL' DIRTY BASTARD
Shimmy Shimmy Ya (Studio Ton Remix),../lyrics/oldirtybastard/shimmyshimmyyastudiotonremix.html,,,OL' DIRTY BASTARD
Sussudio,../lyrics/oldirtybastard/sussudio.html,,,OL' DIRTY BASTARD
Take It Back To Brooklyn,../lyrics/oldirtybastard/takeitbacktobrooklyn.html,,,OL' DIRTY BASTARD
The Park,../lyrics/oldirtybastard/thepark.html,,,OL' DIRTY BASTARD
Wastin' Time (No More),../lyrics/oldirtybastard/wastintimenomore.html,,,OL' DIRTY BASTARD
