song,link,album,year,artist
Bacdafucup,../lyrics/onyx/bacdafucup.html,Bacdafucup,1993,ONYX
Bichasniguz,../lyrics/onyx/bichasniguz.html,Bacdafucup,1993,ONYX
Throw Ya Gunz,../lyrics/onyx/throwyagunz.html,Bacdafucup,1993,ONYX
Here 'N' Now,../lyrics/onyx/herennow.html,Bacdafucup,1993,ONYX
Bust Dat Ass,../lyrics/onyx/bustdatass.html,Bacdafucup,1993,ONYX
Atak Of Da Bal-Hedz,../lyrics/onyx/atakofdabalhedz.html,Bacdafucup,1993,ONYX
Blac Vagina Finda,../lyrics/onyx/blacvaginafinda.html,Bacdafucup,1993,ONYX
Nigga Bridges,../lyrics/onyx/niggabridges.html,Bacdafucup,1993,ONYX
Onyx Is Here,../lyrics/onyx/onyxishere.html,Bacdafucup,1993,ONYX
Slam,../lyrics/onyx/slam.html,Bacdafucup,1993,ONYX
Stik 'N' Muve,../lyrics/onyx/stiknmuve.html,Bacdafucup,1993,ONYX
Bichasbootleguz,../lyrics/onyx/bichasbootleguz.html,Bacdafucup,1993,ONYX
Shiftee,../lyrics/onyx/shiftee.html,Bacdafucup,1993,ONYX
Phat ('N' All Dat),../lyrics/onyx/phatnalldat.html,Bacdafucup,1993,ONYX
Da Nex Niguz,../lyrics/onyx/danexniguz.html,Bacdafucup,1993,ONYX
Getdafucout,../lyrics/onyx/getdafucout.html,Bacdafucup,1993,ONYX
,,Bacdafucup,1993,ONYX
Life Or Death (Skit),../lyrics/onyx/lifeordeathskit.html,All We Got Iz Us,1995,ONYX
Last Dayz,../lyrics/onyx/lastdayz.html,All We Got Iz Us,1995,ONYX
All We Got Iz Us (Evil Streets),../lyrics/onyx/allwegotizusevilstreets.html,All We Got Iz Us,1995,ONYX
Purse Snatchaz,../lyrics/onyx/pursesnatchaz.html,All We Got Iz Us,1995,ONYX
Shout,../lyrics/onyx/shout.html,All We Got Iz Us,1995,ONYX
I Murder U (Skit),../lyrics/onyx/imurderuskit.html,All We Got Iz Us,1995,ONYX
Betta Off Dead,../lyrics/onyx/bettaoffdead.html,All We Got Iz Us,1995,ONYX
Live Niguz,../lyrics/onyx/liveniguz.html,All We Got Iz Us,1995,ONYX
Punkmotherfukaz,../lyrics/onyx/punkmotherfukaz.html,All We Got Iz Us,1995,ONYX
Most Def,../lyrics/onyx/mostdef.html,All We Got Iz Us,1995,ONYX
Getto Mentalitee,../lyrics/onyx/gettomentalitee.html,All We Got Iz Us,1995,ONYX
2 Wrongs,../lyrics/onyx/2wrongs.html,All We Got Iz Us,1995,ONYX
Walk In New York,../lyrics/onyx/walkinnewyork.html,All We Got Iz Us,1995,ONYX
,,All We Got Iz Us,1995,ONYX
Raze It Up,../lyrics/onyx/razeitup.html,Shut 'Em Down,1998,ONYX
Street Nigguz,../lyrics/onyx/streetnigguz.html,Shut 'Em Down,1998,ONYX
Shut 'Em Down,../lyrics/onyx/shutemdown.html,Shut 'Em Down,1998,ONYX
Broke Willies,../lyrics/onyx/brokewillies.html,Shut 'Em Down,1998,ONYX
Rob & Vic,../lyrics/onyx/robvic.html,Shut 'Em Down,1998,ONYX
Face Down,../lyrics/onyx/facedown.html,Shut 'Em Down,1998,ONYX
Conspiracy,../lyrics/onyx/conspiracy.html,Shut 'Em Down,1998,ONYX
Black Dust,../lyrics/onyx/blackdust.html,Shut 'Em Down,1998,ONYX
React,../lyrics/onyx/react.html,Shut 'Em Down,1998,ONYX
Veronica,../lyrics/onyx/veronica.html,Shut 'Em Down,1998,ONYX
Fuck Dat,../lyrics/onyx/fuckdat.html,Shut 'Em Down,1998,ONYX
Ghetto Starz,../lyrics/onyx/ghettostarz.html,Shut 'Em Down,1998,ONYX
Take That,../lyrics/onyx/takethat.html,Shut 'Em Down,1998,ONYX
The Worst,../lyrics/onyx/theworst.html,Shut 'Em Down,1998,ONYX
Overshine,../lyrics/onyx/overshine.html,Shut 'Em Down,1998,ONYX
Shut 'Em Down (Remix),../lyrics/onyx/shutemdownremix.html,Shut 'Em Down,1998,ONYX
,,Shut 'Em Down,1998,ONYX
What's Onyx,../lyrics/onyx/whatsonyx.html,Bacdafucup Part II,2002,ONYX
Bring 'Em Out Dead,../lyrics/onyx/bringemoutdead.html,Bacdafucup Part II,2002,ONYX
Slam Harder,../lyrics/onyx/slamharder.html,Bacdafucup Part II,2002,ONYX
Hold Up,../lyrics/onyx/holdup.html,Bacdafucup Part II,2002,ONYX
Bang 2 Dis,../lyrics/onyx/bang2dis.html,Bacdafucup Part II,2002,ONYX
Gangsta,../lyrics/onyx/gangsta.html,Bacdafucup Part II,2002,ONYX
Onyx Is Back,../lyrics/onyx/onyxisback.html,Bacdafucup Part II,2002,ONYX
Feel Me,../lyrics/onyx/feelme.html,Bacdafucup Part II,2002,ONYX
,,Bacdafucup Part II,2002,ONYX
Gun Clap Music,../lyrics/onyx/gunclapmusic.html,Triggernometry,2003,ONYX
O.N.Y.X. RMX,../lyrics/onyx/onyxrmx.html,Triggernometry,2003,ONYX
Champions,../lyrics/onyx/champions.html,Triggernometry,2003,ONYX
,,Triggernometry,2003,ONYX
Wakedafucup Intro,../lyrics/onyx/wakedafucupintro.html,#wakedafucup,2014,ONYX
Whut Whut,../lyrics/onyx/whutwhut.html,#wakedafucup,2014,ONYX
We Don't Fuckin Care,../lyrics/onyx/wedontfuckincare.html,#wakedafucup,2014,ONYX
Hustlin Hour,../lyrics/onyx/hustlinhour.html,#wakedafucup,2014,ONYX
Buc Bac,../lyrics/onyx/bucbac.html,#wakedafucup,2014,ONYX
