song,link,album,year,artist
Facemelt (Intro),../lyrics/ritaora/facemeltintro.html,ORA,2012,"ORA, RITA"
Roc The Life,../lyrics/ritaora/rocthelife.html,ORA,2012,"ORA, RITA"
How We Do (Party),../lyrics/ritaora/howwedoparty.html,ORA,2012,"ORA, RITA"
R.I.P.,../lyrics/ritaora/rip.html,ORA,2012,"ORA, RITA"
Radioactive,../lyrics/ritaora/radioactive.html,ORA,2012,"ORA, RITA"
Shine Ya Light,../lyrics/ritaora/shineyalight.html,ORA,2012,"ORA, RITA"
Love & War,../lyrics/ritaora/lovewar.html,ORA,2012,"ORA, RITA"
Uneasy,../lyrics/ritaora/uneasy.html,ORA,2012,"ORA, RITA"
Fall In Love,../lyrics/ritaora/fallinlove.html,ORA,2012,"ORA, RITA"
Been Lyin',../lyrics/ritaora/beenlyin.html,ORA,2012,"ORA, RITA"
"Hello, Hi, Goodbye",../lyrics/ritaora/hellohigoodbye.html,ORA,2012,"ORA, RITA"
Hot Right Now,http://www.azlyrics.com/lyrics/djfresh/hotrightnow.html,ORA,2012,"ORA, RITA"
Crazy Girl,../lyrics/ritaora/crazygirl.html,ORA,2012,"ORA, RITA"
"Young, Single & Sexy",../lyrics/ritaora/youngsinglesexy.html,ORA,2012,"ORA, RITA"
Meet Ya,../lyrics/ritaora/meetya.html,ORA,2012,"ORA, RITA"
Body On Me,../lyrics/ritaora/bodyonme.html,,,"ORA, RITA"
Grateful,../lyrics/ritaora/grateful.html,,,"ORA, RITA"
I Will Never Let You Down,../lyrics/ritaora/iwillneverletyoudown.html,,,"ORA, RITA"
I'm Right Here,../lyrics/ritaora/imrighthere.html,,,"ORA, RITA"
Kiss Me,../lyrics/ritaora/kissme.html,,,"ORA, RITA"
Lover Of The Light,../lyrics/ritaora/loverofthelight.html,,,"ORA, RITA"
Poison,../lyrics/ritaora/poison.html,,,"ORA, RITA"
