song,link,album,year,artist
A Beginning Of Something Wonderful,../lyrics/orangelemons/abeginningofsomethingwonderful.html,Love In The Land Of Rubber Shoes And Dirty Ice Cream,2003,ORANGE & LEMONS
Just Like A Splendid Love Song,../lyrics/orangelemons/justlikeasplendidlovesong.html,Love In The Land Of Rubber Shoes And Dirty Ice Cream,2003,ORANGE & LEMONS
Kailangan Kita,../lyrics/orangelemons/kailangankita.html,Love In The Land Of Rubber Shoes And Dirty Ice Cream,2003,ORANGE & LEMONS
She's Leaving Home,../lyrics/orangelemons/shesleavinghome.html,Love In The Land Of Rubber Shoes And Dirty Ice Cream,2003,ORANGE & LEMONS
When I'm With You,../lyrics/orangelemons/whenimwithyou.html,Love In The Land Of Rubber Shoes And Dirty Ice Cream,2003,ORANGE & LEMONS
Isang Gabi,../lyrics/orangelemons/isanggabi.html,Love In The Land Of Rubber Shoes And Dirty Ice Cream,2003,ORANGE & LEMONS
,,Love In The Land Of Rubber Shoes And Dirty Ice Cream,2003,ORANGE & LEMONS
Hanggang Kailan (Umuwi Ka Na Baby),../lyrics/orangelemons/hanggangkailanumuwikanababy.html,Strike Whilst The Iron Is Hot,2005,ORANGE & LEMONS
Pabango Ng 'Yong Mata,../lyrics/orangelemons/pabangongyongmata.html,Strike Whilst The Iron Is Hot,2005,ORANGE & LEMONS
Heaven Knows (This Angel Has Flown),../lyrics/orangelemons/heavenknowsthisangelhasflown.html,Strike Whilst The Iron Is Hot,2005,ORANGE & LEMONS
The Nerve,../lyrics/orangelemons/thenerve.html,Strike Whilst The Iron Is Hot,2005,ORANGE & LEMONS
Lihim,../lyrics/orangelemons/lihim.html,Strike Whilst The Iron Is Hot,2005,ORANGE & LEMONS
Pinoy Ako,../lyrics/orangelemons/pinoyako.html,Strike Whilst The Iron Is Hot,2005,ORANGE & LEMONS
Abot Kamay,../lyrics/orangelemons/abotkamay.html,Strike Whilst The Iron Is Hot,2005,ORANGE & LEMONS
Blue Moon,../lyrics/orangelemons/bluemoon.html,Strike Whilst The Iron Is Hot,2005,ORANGE & LEMONS
,,Strike Whilst The Iron Is Hot,2005,ORANGE & LEMONS
Moonlane Gardens,../lyrics/orangelemons/moonlanegardens.html,Moonlane Gardens,2007,ORANGE & LEMONS
Ang Katulad Mong Walang Katulad,../lyrics/orangelemons/angkatuladmongwalangkatulad.html,Moonlane Gardens,2007,ORANGE & LEMONS
Let Me,../lyrics/orangelemons/letme.html,Moonlane Gardens,2007,ORANGE & LEMONS
Yakap Sa Dilim,../lyrics/orangelemons/yakapsadilim.html,,,ORANGE & LEMONS
