song,link,album,year,artist
Social Enemies,../lyrics/orgy/socialenemies.html,Candyass,1998,ORGY
Stitches,../lyrics/orgy/stitches.html,Candyass,1998,ORGY
Dissention,../lyrics/orgy/dissention.html,Candyass,1998,ORGY
Platinum,../lyrics/orgy/platinum.html,Candyass,1998,ORGY
Fetisha,../lyrics/orgy/fetisha.html,Candyass,1998,ORGY
Fiend,../lyrics/orgy/fiend.html,Candyass,1998,ORGY
Blue Monday,../lyrics/orgy/bluemonday.html,Candyass,1998,ORGY
Gender,../lyrics/orgy/gender.html,Candyass,1998,ORGY
All The Same,../lyrics/orgy/allthesame.html,Candyass,1998,ORGY
Pantomime,../lyrics/orgy/pantomime.html,Candyass,1998,ORGY
Revival,../lyrics/orgy/revival.html,Candyass,1998,ORGY
Dizzy,../lyrics/orgy/dizzy.html,Candyass,1998,ORGY
,,Candyass,1998,ORGY
Vapor Transmission (Intro),../lyrics/orgy/vaportransmissionintro.html,Vapor Transmission,2000,ORGY
Suckerface,../lyrics/orgy/suckerface.html,Vapor Transmission,2000,ORGY
The Odyssey,../lyrics/orgy/theodyssey.html,Vapor Transmission,2000,ORGY
Opticon,../lyrics/orgy/opticon.html,Vapor Transmission,2000,ORGY
Fiction (Dreams In Digital),../lyrics/orgy/fictiondreamsindigital.html,Vapor Transmission,2000,ORGY
Eva,../lyrics/orgy/eva.html,Vapor Transmission,2000,ORGY
107,../lyrics/orgy/107.html,Vapor Transmission,2000,ORGY
Dramatica,../lyrics/orgy/dramatica.html,Vapor Transmission,2000,ORGY
Eyes-Radio-Lies,../lyrics/orgy/eyesradiolies.html,Vapor Transmission,2000,ORGY
Saving Faces,../lyrics/orgy/savingfaces.html,Vapor Transmission,2000,ORGY
Re-Creation,../lyrics/orgy/recreation.html,Vapor Transmission,2000,ORGY
Chasing Sirens,../lyrics/orgy/chasingsirens.html,Vapor Transmission,2000,ORGY
Where's Gerrold,../lyrics/orgy/wheresgerrold.html,Vapor Transmission,2000,ORGY
The Spectrum,../lyrics/orgy/thespectrum.html,Vapor Transmission,2000,ORGY
,,Vapor Transmission,2000,ORGY
Beautiful Disgrace,../lyrics/orgy/beautifuldisgrace.html,Punk Statik Paranoia,2004,ORGY
Vague,../lyrics/orgy/vague.html,Punk Statik Paranoia,2004,ORGY
Ashamed,../lyrics/orgy/ashamed.html,Punk Statik Paranoia,2004,ORGY
Make Up Your Mind,../lyrics/orgy/makeupyourmind.html,Punk Statik Paranoia,2004,ORGY
Leave Me Out,../lyrics/orgy/leavemeout.html,Punk Statik Paranoia,2004,ORGY
The Obvious,../lyrics/orgy/theobvious.html,Punk Statik Paranoia,2004,ORGY
Inside My Head,../lyrics/orgy/insidemyhead.html,Punk Statik Paranoia,2004,ORGY
Pure,../lyrics/orgy/pure.html,Punk Statik Paranoia,2004,ORGY
Can't Take This,../lyrics/orgy/canttakethis.html,Punk Statik Paranoia,2004,ORGY
Faces,../lyrics/orgy/faces.html,,,ORGY
Grime Of The Century,../lyrics/orgy/grimeofthecentury.html,,,ORGY
Hot Legs,../lyrics/orgy/hotlegs.html,,,ORGY
In Your Mind,../lyrics/orgy/inyourmind.html,,,ORGY
Just Like I Remember,../lyrics/orgy/justlikeiremember.html,,,ORGY
Santa's Creepy Secret,../lyrics/orgy/santascreepysecret.html,,,ORGY
Slept So Long,../lyrics/orgy/sleptsolong.html,,,ORGY
Sonic,../lyrics/orgy/sonic.html,,,ORGY
