song,link,album,year,artist
Walou,../lyrics/outlandish/walou.html,Outland's Official,2001,OUTLANDISH
Mano A Mano,../lyrics/outlandish/manoamano.html,Outland's Official,2001,OUTLANDISH
Wherever,../lyrics/outlandish/wherever.html,Outland's Official,2001,OUTLANDISH
The Bond Between Us,../lyrics/outlandish/thebondbetweenus.html,Outland's Official,2001,OUTLANDISH
Come On,../lyrics/outlandish/comeon.html,Outland's Official,2001,OUTLANDISH
Fatima's Hand,../lyrics/outlandish/fatimashand.html,Outland's Official,2001,OUTLANDISH
CPH Maro,../lyrics/outlandish/cphmaro.html,Outland's Official,2001,OUTLANDISH
Love Joint,../lyrics/outlandish/lovejoint.html,Outland's Official,2001,OUTLANDISH
Stick 'Em Up,../lyrics/outlandish/stickemup.html,Outland's Official,2001,OUTLANDISH
Ill Kebab,../lyrics/outlandish/illkebab.html,Outland's Official,2001,OUTLANDISH
Renovadores,../lyrics/outlandish/renovadores.html,Outland's Official,2001,OUTLANDISH
Heads To The Sky,../lyrics/outlandish/headstothesky.html,Outland's Official,2001,OUTLANDISH
,,Outland's Official,2001,OUTLANDISH
Introduction,../lyrics/outlandish/introduction.html,Bread & Barrels Of Water,2003,OUTLANDISH
Guantanamo,../lyrics/outlandish/guantanamo.html,Bread & Barrels Of Water,2003,OUTLANDISH
Peelo,../lyrics/outlandish/peelo.html,Bread & Barrels Of Water,2003,OUTLANDISH
Walou,../lyrics/outlandish/walou.html,Bread & Barrels Of Water,2003,OUTLANDISH
Aicha,../lyrics/outlandish/aicha.html,Bread & Barrels Of Water,2003,OUTLANDISH
Gritty,../lyrics/outlandish/gritty.html,Bread & Barrels Of Water,2003,OUTLANDISH
If Only,../lyrics/outlandish/ifonly.html,Bread & Barrels Of Water,2003,OUTLANDISH
Fatima's Hand,../lyrics/outlandish/fatimashand.html,Bread & Barrels Of Water,2003,OUTLANDISH
El Moro,../lyrics/outlandish/elmoro.html,Bread & Barrels Of Water,2003,OUTLANDISH
Eyes Never Dry,../lyrics/outlandish/eyesneverdry.html,Bread & Barrels Of Water,2003,OUTLANDISH
A Donkey Named Cheetah,../lyrics/outlandish/adonkeynamedcheetah.html,Bread & Barrels Of Water,2003,OUTLANDISH
