song,link,album,year,artist
Second Last Chance,../lyrics/overtones/secondlastchance.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
Sh-Boom,../lyrics/overtones/shboom.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
Gambling Man,../lyrics/overtones/gamblingman.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
Come Back My Love,../lyrics/overtones/comebackmylove.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
Say What You Feel,../lyrics/overtones/saywhatyoufeel.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
Caroyln,../lyrics/overtones/caroyln.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
The Longest Time,../lyrics/overtones/thelongesttime.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
Good Ol' Fashioned Love,../lyrics/overtones/goodolfashionedlove.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
Blue Moon,../lyrics/overtones/bluemoon.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
Have I Told You Lately That I Love You,../lyrics/overtones/haveitoldyoulatelythatiloveyou.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
In The Still Of The Night,../lyrics/overtones/inthestillofthenight.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
Don't Make Me Over,../lyrics/overtones/dontmakemeover.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
Whoops,../lyrics/overtones/whoops.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
"Goodnight Sweetheart, Goodnight",../lyrics/overtones/goodnightsweetheartgoodnight.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
Why Do Fools Fall In Love,../lyrics/overtones/whydofoolsfallinlove.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
Only Girl (In The World),../lyrics/overtones/onlygirlintheworld.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
Rolling In The Deep,../lyrics/overtones/rollinginthedeep.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
Beggin',../lyrics/overtones/beggin.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
Forget You,../lyrics/overtones/forgetyou.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
We Can Work It Out,../lyrics/overtones/wecanworkitout.html,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
,,Good Ol' Fashioned Love / Gambling Man,2011,"OVERTONES, THE"
Loving The Sound,../lyrics/overtones/lovingthesound.html,Higher,2012,"OVERTONES, THE"
Perfect,../lyrics/overtones/perfect.html,Higher,2012,"OVERTONES, THE"
Call Me Up,../lyrics/overtones/callmeup.html,Higher,2012,"OVERTONES, THE"
Runaround Sue,../lyrics/overtones/runaroundsue.html,Higher,2012,"OVERTONES, THE"
When You Say My Name,../lyrics/overtones/whenyousaymyname.html,Higher,2012,"OVERTONES, THE"
Groovin',../lyrics/overtones/groovin.html,Higher,2012,"OVERTONES, THE"
Unforgettable,../lyrics/overtones/unforgettable.html,Higher,2012,"OVERTONES, THE"
Love Song,../lyrics/overtones/lovesong.html,Higher,2012,"OVERTONES, THE"
The Glory Of Love,../lyrics/overtones/thegloryoflove.html,Higher,2012,"OVERTONES, THE"
You've Lost That Loving Feeling,../lyrics/overtones/youvelostthatlovingfeeling.html,Higher,2012,"OVERTONES, THE"
Reet Petite,../lyrics/overtones/reetpetite.html,Higher,2012,"OVERTONES, THE"
Keep Me Hanging On,../lyrics/overtones/keepmehangingon.html,Higher,2012,"OVERTONES, THE"
Higher,../lyrics/overtones/higher.html,Higher,2012,"OVERTONES, THE"
,,Higher,2012,"OVERTONES, THE"
Saturday Night At The Movies,../lyrics/overtones/saturdaynightatthemovies.html,Saturday Night At The Movies,2013,"OVERTONES, THE"
Do You Love Me?,../lyrics/overtones/doyouloveme.html,Saturday Night At The Movies,2013,"OVERTONES, THE"
The Bare Necessities / I Wanna Be Like You,../lyrics/overtones/thebarenecessitiesiwannabelikeyou.html,Saturday Night At The Movies,2013,"OVERTONES, THE"
Miss Hollywood,../lyrics/overtones/misshollywood.html,Saturday Night At The Movies,2013,"OVERTONES, THE"
Pretty Woman,../lyrics/overtones/prettywoman.html,Saturday Night At The Movies,2013,"OVERTONES, THE"
Shake A Tail Feather,../lyrics/overtones/shakeatailfeather.html,Saturday Night At The Movies,2013,"OVERTONES, THE"
All About You,../lyrics/overtones/allaboutyou.html,Saturday Night At The Movies,2013,"OVERTONES, THE"
Breaking Up Is Hard To Do,../lyrics/overtones/breakingupishardtodo.html,Saturday Night At The Movies,2013,"OVERTONES, THE"
Moon River,../lyrics/overtones/moonriver.html,Saturday Night At The Movies,2013,"OVERTONES, THE"
Hit The Road Jack,../lyrics/overtones/hittheroadjack.html,Saturday Night At The Movies,2013,"OVERTONES, THE"
Runaway,../lyrics/overtones/runaway.html,Saturday Night At The Movies,2013,"OVERTONES, THE"
Don't Worry Be Happy,../lyrics/overtones/dontworrybehappy.html,Saturday Night At The Movies,2013,"OVERTONES, THE"
Teenager In Love,../lyrics/overtones/teenagerinlove.html,Saturday Night At The Movies,2013,"OVERTONES, THE"
Superstar,../lyrics/overtones/superstar.html,Saturday Night At The Movies,2013,"OVERTONES, THE"
It Had To Be You,../lyrics/overtones/ithadtobeyou.html,Saturday Night At The Movies,2013,"OVERTONES, THE"
Who Put The Bomp?,../lyrics/overtones/whoputthebomp.html,Saturday Night At The Movies,2013,"OVERTONES, THE"
,,Saturday Night At The Movies,2013,"OVERTONES, THE"
Something Good,../lyrics/overtones/somethinggood.html,Sweet Soul Music,2015,"OVERTONES, THE"
Moving On,../lyrics/overtones/movingon.html,Sweet Soul Music,2015,"OVERTONES, THE"
Giving Me Soul,../lyrics/overtones/givingmesoul.html,Sweet Soul Music,2015,"OVERTONES, THE"
,,Sweet Soul Music,2015,"OVERTONES, THE"
This Christmas,../lyrics/overtones/thischristmas.html,Good Ol' Fashioned Christmas,2015,"OVERTONES, THE"
