song,link,album,year,artist
In My Hood,../lyrics/preign/inmyhood.html,When It Reigns It Pours,2010,P. REIGN
,,When It Reigns It Pours,2010,P. REIGN
DnF,../lyrics/preign/dnf.html,Dear America,2014,P. REIGN
You Know,../lyrics/preign/youknow.html,Dear America,2014,P. REIGN
Chickens,../lyrics/preign/chickens.html,Dear America,2014,P. REIGN
Realest In The City,../lyrics/preign/realestinthecity.html,Dear America,2014,P. REIGN
We Them Niggas,../lyrics/preign/wethemniggas.html,Dear America,2014,P. REIGN
,,Dear America,2014,P. REIGN
Pay Day,../lyrics/preign/payday.html,Dear America,2014,P. REIGN
Welcome To The Future,../lyrics/preign/welcometothefuture.html,Dear America,2014,P. REIGN
Obama,../lyrics/preign/obama.html,Dear America,2014,P. REIGN
You Know / It's You,../lyrics/preign/youknowitsyou.html,Dear America,2014,P. REIGN
All My Life,../lyrics/preign/allmylife.html,Dear America,2014,P. REIGN
Pon Tour,../lyrics/preign/pontour.html,Dear America,2014,P. REIGN
In This Cup / Cry For You,../lyrics/preign/inthiscupcryforyou.html,Dear America,2014,P. REIGN
Camera,../lyrics/preign/camera.html,Dear America,2014,P. REIGN
Where You Been,../lyrics/preign/whereyoubeen.html,Dear America,2014,P. REIGN
,,Dear America,2014,P. REIGN
STFU,../lyrics/preign/stfu.html,Off The Books,2015,P. REIGN
On A Wave,../lyrics/preign/onawave.html,Off The Books,2015,P. REIGN
Rich,../lyrics/preign/rich.html,Off The Books,2015,P. REIGN
Dipped In Gold,../lyrics/preign/dippedingold.html,Off The Books,2015,P. REIGN
Special,../lyrics/preign/special.html,Off The Books,2015,P. REIGN
Stuck On Stacks,../lyrics/preign/stuckonstacks.html,Off The Books,2015,P. REIGN
Gold Mine,../lyrics/preign/goldmine.html,Off The Books,2015,P. REIGN
I Want You Back,../lyrics/preign/iwantyouback.html,Off The Books,2015,P. REIGN
Palm Trees,../lyrics/preign/palmtrees.html,Off The Books,2015,P. REIGN
Simple You,../lyrics/preign/simpleyou.html,Off The Books,2015,P. REIGN
1000,../lyrics/preign/1000.html,,,P. REIGN
Angels,../lyrics/preign/angels.html,,,P. REIGN
Come Up,../lyrics/preign/comeup.html,,,P. REIGN
Prescription Freestyle,../lyrics/preign/prescriptionfreestyle.html,,,P. REIGN
