song,link,album,year,artist
If I Know You,../lyrics/nerinapallot/ifiknowyou.html,Dear Frustrated Superstar,2001,"PALLOT, NERINA"
Patience,../lyrics/nerinapallot/patience.html,Dear Frustrated Superstar,2001,"PALLOT, NERINA"
Someday Soon,../lyrics/nerinapallot/somedaysoon.html,Dear Frustrated Superstar,2001,"PALLOT, NERINA"
Watch Out Billie,../lyrics/nerinapallot/watchoutbillie.html,Dear Frustrated Superstar,2001,"PALLOT, NERINA"
Daily Bread,../lyrics/nerinapallot/dailybread.html,Dear Frustrated Superstar,2001,"PALLOT, NERINA"
Rainbow,../lyrics/nerinapallot/rainbow.html,Dear Frustrated Superstar,2001,"PALLOT, NERINA"
Alien,../lyrics/nerinapallot/alien.html,Dear Frustrated Superstar,2001,"PALLOT, NERINA"
Jump,../lyrics/nerinapallot/jump.html,Dear Frustrated Superstar,2001,"PALLOT, NERINA"
Very Good Sir,../lyrics/nerinapallot/verygoodsir.html,Dear Frustrated Superstar,2001,"PALLOT, NERINA"
Dear Frustrated Superstar,../lyrics/nerinapallot/dearfrustratedsuperstar.html,Dear Frustrated Superstar,2001,"PALLOT, NERINA"
Blood Is Blood,../lyrics/nerinapallot/bloodisblood.html,Dear Frustrated Superstar,2001,"PALLOT, NERINA"
God,../lyrics/nerinapallot/god.html,Dear Frustrated Superstar,2001,"PALLOT, NERINA"
My Last Tango,../lyrics/nerinapallot/mylasttango.html,Dear Frustrated Superstar,2001,"PALLOT, NERINA"
Daphne And Apollo,../lyrics/nerinapallot/daphneandapollo.html,Dear Frustrated Superstar,2001,"PALLOT, NERINA"
,,Dear Frustrated Superstar,2001,"PALLOT, NERINA"
Everybody's Gone To War,../lyrics/nerinapallot/everybodysgonetowar.html,Fires,2005,"PALLOT, NERINA"
Halfway Home,../lyrics/nerinapallot/halfwayhome.html,Fires,2005,"PALLOT, NERINA"
Damascus,../lyrics/nerinapallot/damascus.html,Fires,2005,"PALLOT, NERINA"
Idaho,../lyrics/nerinapallot/idaho.html,Fires,2005,"PALLOT, NERINA"
Learning To Breathe,../lyrics/nerinapallot/learningtobreathe.html,Fires,2005,"PALLOT, NERINA"
Mr. King,../lyrics/nerinapallot/mrking.html,Fires,2005,"PALLOT, NERINA"
Geek Love,../lyrics/nerinapallot/geeklove.html,Fires,2005,"PALLOT, NERINA"
Sophia,../lyrics/nerinapallot/sophia.html,Fires,2005,"PALLOT, NERINA"
All Good People,../lyrics/nerinapallot/allgoodpeople.html,Fires,2005,"PALLOT, NERINA"
Heart Attack,../lyrics/nerinapallot/heartattack.html,Fires,2005,"PALLOT, NERINA"
Nickindia,../lyrics/nerinapallot/nickindia.html,Fires,2005,"PALLOT, NERINA"
,,Fires,2005,"PALLOT, NERINA"
Everything's Illuminated!,../lyrics/nerinapallot/everythingsilluminated.html,The Graduate,2009,"PALLOT, NERINA"
Real Late Starter,../lyrics/nerinapallot/reallatestarter.html,The Graduate,2009,"PALLOT, NERINA"
The Right Side,../lyrics/nerinapallot/therightside.html,The Graduate,2009,"PALLOT, NERINA"
Human,../lyrics/nerinapallot/human.html,The Graduate,2009,"PALLOT, NERINA"
I Don't Want To Go Out,../lyrics/nerinapallot/idontwanttogoout.html,The Graduate,2009,"PALLOT, NERINA"
Coming Home,../lyrics/nerinapallot/cominghome.html,The Graduate,2009,"PALLOT, NERINA"
It Starts,../lyrics/nerinapallot/itstarts.html,The Graduate,2009,"PALLOT, NERINA"
When Did I Become Such A Bitch,../lyrics/nerinapallot/whendidibecomesuchabitch.html,The Graduate,2009,"PALLOT, NERINA"
Cigarette,../lyrics/nerinapallot/cigarette.html,The Graduate,2009,"PALLOT, NERINA"
It Was Me,../lyrics/nerinapallot/itwasme.html,The Graduate,2009,"PALLOT, NERINA"
English,../lyrics/nerinapallot/english.html,The Graduate,2009,"PALLOT, NERINA"
Junebug,../lyrics/nerinapallot/junebug.html,The Graduate,2009,"PALLOT, NERINA"
