song,link,album,year,artist
Sailing Shoes,../lyrics/robertpalmer/sailingshoes.html,Sneakin' Sally Through The Alley,1974,"PALMER, ROBERT"
Hey Julia,../lyrics/robertpalmer/heyjulia.html,Sneakin' Sally Through The Alley,1974,"PALMER, ROBERT"
Sneakin' Sally Through The Alley,../lyrics/robertpalmer/sneakinsallythroughthealley.html,Sneakin' Sally Through The Alley,1974,"PALMER, ROBERT"
Get Outside,../lyrics/robertpalmer/getoutside.html,Sneakin' Sally Through The Alley,1974,"PALMER, ROBERT"
Blackmail,../lyrics/robertpalmer/blackmail.html,Sneakin' Sally Through The Alley,1974,"PALMER, ROBERT"
How Much Fun,../lyrics/robertpalmer/howmuchfun.html,Sneakin' Sally Through The Alley,1974,"PALMER, ROBERT"
From A Whisper To A Scream,../lyrics/robertpalmer/fromawhispertoascream.html,Sneakin' Sally Through The Alley,1974,"PALMER, ROBERT"
Through It All There's You,../lyrics/robertpalmer/throughitalltheresyou.html,Sneakin' Sally Through The Alley,1974,"PALMER, ROBERT"
,,Sneakin' Sally Through The Alley,1974,"PALMER, ROBERT"
Give Me An Inch,../lyrics/robertpalmer/givemeaninch.html,Pressure Drop,1975,"PALMER, ROBERT"
Work To Make It Work,../lyrics/robertpalmer/worktomakeitwork.html,Pressure Drop,1975,"PALMER, ROBERT"
Back In My Arms,../lyrics/robertpalmer/backinmyarms.html,Pressure Drop,1975,"PALMER, ROBERT"
River Boat,../lyrics/robertpalmer/riverboat.html,Pressure Drop,1975,"PALMER, ROBERT"
Pressure Drop,../lyrics/robertpalmer/pressuredrop.html,Pressure Drop,1975,"PALMER, ROBERT"
Here With You Tonight,../lyrics/robertpalmer/herewithyoutonight.html,Pressure Drop,1975,"PALMER, ROBERT"
Trouble,../lyrics/robertpalmer/trouble.html,Pressure Drop,1975,"PALMER, ROBERT"
Fine Time,../lyrics/robertpalmer/finetime.html,Pressure Drop,1975,"PALMER, ROBERT"
Which Of Us Is The Fool,../lyrics/robertpalmer/whichofusisthefool.html,Pressure Drop,1975,"PALMER, ROBERT"
,,Pressure Drop,1975,"PALMER, ROBERT"
One Last Look,../lyrics/robertpalmer/onelastlook.html,Some People Can Do What They Like,1976,"PALMER, ROBERT"
Keep In Touch,../lyrics/robertpalmer/keepintouch.html,Some People Can Do What They Like,1976,"PALMER, ROBERT"
Man Smart (Woman Smarter),../lyrics/robertpalmer/mansmartwomansmarter.html,Some People Can Do What They Like,1976,"PALMER, ROBERT"
Spanish Moon,../lyrics/robertpalmer/spanishmoon.html,Some People Can Do What They Like,1976,"PALMER, ROBERT"
Have Mercy,../lyrics/robertpalmer/havemercy.html,Some People Can Do What They Like,1976,"PALMER, ROBERT"
"Gotta Get A Grip On You, Pt. II",../lyrics/robertpalmer/gottagetagriponyouptii.html,Some People Can Do What They Like,1976,"PALMER, ROBERT"
What Can You Bring Me,../lyrics/robertpalmer/whatcanyoubringme.html,Some People Can Do What They Like,1976,"PALMER, ROBERT"
Hard Head,../lyrics/robertpalmer/hardhead.html,Some People Can Do What They Like,1976,"PALMER, ROBERT"
Some People Can Do What They Like,../lyrics/robertpalmer/somepeoplecandowhattheylike.html,Some People Can Do What They Like,1976,"PALMER, ROBERT"
,,Some People Can Do What They Like,1976,"PALMER, ROBERT"
Every Kinda People,../lyrics/robertpalmer/everykindapeople.html,Double Fun,1978,"PALMER, ROBERT"
Best Of Both Worlds,../lyrics/robertpalmer/bestofbothworlds.html,Double Fun,1978,"PALMER, ROBERT"
Come Over,../lyrics/robertpalmer/comeover.html,Double Fun,1978,"PALMER, ROBERT"
Where Can It Go?,../lyrics/robertpalmer/wherecanitgo.html,Double Fun,1978,"PALMER, ROBERT"
Night People,../lyrics/robertpalmer/nightpeople.html,Double Fun,1978,"PALMER, ROBERT"
Love Can Run Faster,../lyrics/robertpalmer/lovecanrunfaster.html,Double Fun,1978,"PALMER, ROBERT"
