song,link,album,year,artist
Bakit Ba Ikaw,../lyrics/michaelpangilinan/bakitbaikaw.html,Michael Pangilinan,2014,"PANGILINAN, MICHAEL"
Kung Sakali,../lyrics/michaelpangilinan/kungsakali.html,Michael Pangilinan,2014,"PANGILINAN, MICHAEL"
Dance With My Father,../lyrics/michaelpangilinan/dancewithmyfather.html,Michael Pangilinan,2014,"PANGILINAN, MICHAEL"
Ang Saksi Ko,../lyrics/michaelpangilinan/angsaksiko.html,Michael Pangilinan,2014,"PANGILINAN, MICHAEL"
Umagang Kay Ganda,../lyrics/michaelpangilinan/umagangkayganda.html,Michael Pangilinan,2014,"PANGILINAN, MICHAEL"
,,Michael Pangilinan,2014,"PANGILINAN, MICHAEL"
Hanggang Kailan,../lyrics/michaelpangilinan/hanggangkailan.html,Michael,2016,"PANGILINAN, MICHAEL"
Ayoko Na Sana,../lyrics/michaelpangilinan/ayokonasana.html,Michael,2016,"PANGILINAN, MICHAEL"
Everything I Own,../lyrics/michaelpangilinan/everythingiown.html,Michael,2016,"PANGILINAN, MICHAEL"
Pare Mahal Naman Kita,../lyrics/michaelpangilinan/paremahalnamankita.html,Michael,2016,"PANGILINAN, MICHAEL"
Bakit Ba Ikaw,../lyrics/michaelpangilinan/bakitbaikaw.html,Michael,2016,"PANGILINAN, MICHAEL"
Kung Sakali,../lyrics/michaelpangilinan/kungsakali.html,Michael,2016,"PANGILINAN, MICHAEL"
Crossroads (The Love Affair' Sailing Theme),../lyrics/michaelpangilinan/crossroadstheloveaffairsailingtheme.html,Michael,2016,"PANGILINAN, MICHAEL"
Parang Tayo Pero Hindi,../lyrics/michaelpangilinan/parangtayoperohindi.html,Michael,2016,"PANGILINAN, MICHAEL"
It Might Be You,../lyrics/michaelpangilinan/itmightbeyou.html,,,"PANGILINAN, MICHAEL"
Pusong Ligaw,../lyrics/michaelpangilinan/pusongligaw.html,,,"PANGILINAN, MICHAEL"
Your Love / Tuo Amore,../lyrics/michaelpangilinan/yourlovetuoamore.html,,,"PANGILINAN, MICHAEL"
