song,link,album,year,artist
Trinity,../lyrics/papertongues/trinity.html,Paper Tongues,2010,PAPER TONGUES
For The People,../lyrics/papertongues/forthepeople.html,Paper Tongues,2010,PAPER TONGUES
Ride To California,../lyrics/papertongues/ridetocalifornia.html,Paper Tongues,2010,PAPER TONGUES
Get Higher,../lyrics/papertongues/gethigher.html,Paper Tongues,2010,PAPER TONGUES
What If,../lyrics/papertongues/whatif.html,Paper Tongues,2010,PAPER TONGUES
Soul,../lyrics/papertongues/soul.html,Paper Tongues,2010,PAPER TONGUES
Everybody,../lyrics/papertongues/everybody.html,Paper Tongues,2010,PAPER TONGUES
Strongest Flame,../lyrics/papertongues/strongestflame.html,Paper Tongues,2010,PAPER TONGUES
Rich And Poor,../lyrics/papertongues/richandpoor.html,Paper Tongues,2010,PAPER TONGUES
Love Like You,../lyrics/papertongues/lovelikeyou.html,Paper Tongues,2010,PAPER TONGUES
