song,link,album,year,artist
Marilyn & John,../lyrics/vanessaparadis/marilynjohn.html,M & J,1988,"PARADIS, VANESSA"
Maxou,../lyrics/vanessaparadis/maxou.html,M & J,1988,"PARADIS, VANESSA"
Le Bon Dieu Est Un Marin,../lyrics/vanessaparadis/lebondieuestunmarin.html,M & J,1988,"PARADIS, VANESSA"
Mosquito,../lyrics/vanessaparadis/mosquito.html,M & J,1988,"PARADIS, VANESSA"
Soldat,../lyrics/vanessaparadis/soldat.html,M & J,1988,"PARADIS, VANESSA"
Joe Le Taxi,../lyrics/vanessaparadis/joeletaxi.html,M & J,1988,"PARADIS, VANESSA"
Coupe Coupe,../lyrics/vanessaparadis/coupecoupe.html,M & J,1988,"PARADIS, VANESSA"
Chat Ananas,../lyrics/vanessaparadis/chatananas.html,M & J,1988,"PARADIS, VANESSA"
Scarabee,../lyrics/vanessaparadis/scarabee.html,M & J,1988,"PARADIS, VANESSA"
Marilyn & John (English version),../lyrics/vanessaparadis/marilynjohnenglishversion.html,M & J,1988,"PARADIS, VANESSA"
,,M & J,1988,"PARADIS, VANESSA"
L'Amour Ã Deux,../lyrics/vanessaparadis/lamourdeux.html,Variations Sur Le MÃªme T'Aime,1990,"PARADIS, VANESSA"
Dis-Lui Toi Que Je T'Aime,../lyrics/vanessaparadis/disluitoiquejetaime.html,Variations Sur Le MÃªme T'Aime,1990,"PARADIS, VANESSA"
L'Amour En Soi,../lyrics/vanessaparadis/lamourensoi.html,Variations Sur Le MÃªme T'Aime,1990,"PARADIS, VANESSA"
La Vague Ã Lames,../lyrics/vanessaparadis/lavaguelames.html,Variations Sur Le MÃªme T'Aime,1990,"PARADIS, VANESSA"
OphÃ©lie,../lyrics/vanessaparadis/ophlie.html,Variations Sur Le MÃªme T'Aime,1990,"PARADIS, VANESSA"
Flagrant DÃ©lire,../lyrics/vanessaparadis/flagrantdlire.html,Variations Sur Le MÃªme T'Aime,1990,"PARADIS, VANESSA"
Tandem,../lyrics/vanessaparadis/tandem.html,Variations Sur Le MÃªme T'Aime,1990,"PARADIS, VANESSA"
Au Charme Non Plus,../lyrics/vanessaparadis/aucharmenonplus.html,Variations Sur Le MÃªme T'Aime,1990,"PARADIS, VANESSA"
Variations Sur Le MÃªme T'Aime,../lyrics/vanessaparadis/variationssurlemmetaime.html,Variations Sur Le MÃªme T'Aime,1990,"PARADIS, VANESSA"
Amour Jamais,../lyrics/vanessaparadis/amourjamais.html,Variations Sur Le MÃªme T'Aime,1990,"PARADIS, VANESSA"
Ardoise,../lyrics/vanessaparadis/ardoise.html,Variations Sur Le MÃªme T'Aime,1990,"PARADIS, VANESSA"
Walk On The Wild Side,../lyrics/vanessaparadis/walkonthewildside.html,Variations Sur Le MÃªme T'Aime,1990,"PARADIS, VANESSA"
,,Variations Sur Le MÃªme T'Aime,1990,"PARADIS, VANESSA"
Natural High,../lyrics/vanessaparadis/naturalhigh.html,Vanessa Paradis,1992,"PARADIS, VANESSA"
I'm Waiting For The Man,../lyrics/vanessaparadis/imwaitingfortheman.html,Vanessa Paradis,1992,"PARADIS, VANESSA"
Silver And Gold,../lyrics/vanessaparadis/silverandgold.html,Vanessa Paradis,1992,"PARADIS, VANESSA"
Be My Baby,../lyrics/vanessaparadis/bemybaby.html,Vanessa Paradis,1992,"PARADIS, VANESSA"
Lonely Rainbows,../lyrics/vanessaparadis/lonelyrainbows.html,Vanessa Paradis,1992,"PARADIS, VANESSA"
