song,link,album,year,artist
Look At Us,../lyrics/sarinaparis/lookatus.html,Paris Sarina,2001,"PARIS, SARINA"
You,../lyrics/sarinaparis/you.html,Paris Sarina,2001,"PARIS, SARINA"
So I Wait,../lyrics/sarinaparis/soiwait.html,Paris Sarina,2001,"PARIS, SARINA"
Just About Enough,../lyrics/sarinaparis/justaboutenough.html,Paris Sarina,2001,"PARIS, SARINA"
Love In Return,../lyrics/sarinaparis/loveinreturn.html,Paris Sarina,2001,"PARIS, SARINA"
True Colors,../lyrics/sarinaparis/truecolors.html,Paris Sarina,2001,"PARIS, SARINA"
Angel,../lyrics/sarinaparis/angel.html,Paris Sarina,2001,"PARIS, SARINA"
Dreamin' Of You,../lyrics/sarinaparis/dreaminofyou.html,Paris Sarina,2001,"PARIS, SARINA"
The Single Life,../lyrics/sarinaparis/thesinglelife.html,Paris Sarina,2001,"PARIS, SARINA"
True Love,../lyrics/sarinaparis/truelove.html,Paris Sarina,2001,"PARIS, SARINA"
Romeo's Dead,../lyrics/sarinaparis/romeosdead.html,Paris Sarina,2001,"PARIS, SARINA"
All In The Way,../lyrics/sarinaparis/allintheway.html,Paris Sarina,2001,"PARIS, SARINA"
I Love You,../lyrics/sarinaparis/iloveyou.html,Paris Sarina,2001,"PARIS, SARINA"
This Is My Life,../lyrics/sarinaparis/thisismylife.html,,,"PARIS, SARINA"
You Are My Valentine,../lyrics/sarinaparis/youaremyvalentine.html,,,"PARIS, SARINA"
