song,link,album,year,artist
Beauty's Only Skin Deep,../lyrics/paulcarrack/beautysonlyskindeep.html,Nightbird,1980,PAUL CARRACK
,,Nightbird,1980,PAUL CARRACK
Lesson In Love,../lyrics/paulcarrack/lessoninlove.html,Suburban Voodoo,1982,PAUL CARRACK
Always Better With You,../lyrics/paulcarrack/alwaysbetterwithyou.html,Suburban Voodoo,1982,PAUL CARRACK
I Need You,../lyrics/paulcarrack/ineedyou.html,Suburban Voodoo,1982,PAUL CARRACK
Don't Give My Heart A Break,../lyrics/paulcarrack/dontgivemyheartabreak.html,Suburban Voodoo,1982,PAUL CARRACK
A Little Unkind,../lyrics/paulcarrack/alittleunkind.html,Suburban Voodoo,1982,PAUL CARRACK
Out Of Touch,../lyrics/paulcarrack/outoftouch.html,Suburban Voodoo,1982,PAUL CARRACK
"So Right, So Wrong",../lyrics/paulcarrack/sorightsowrong.html,Suburban Voodoo,1982,PAUL CARRACK
,,Suburban Voodoo,1982,PAUL CARRACK
One Good Reason,../lyrics/paulcarrack/onegoodreason.html,One Good Reason,1987,PAUL CARRACK
When You Walk In The Room,../lyrics/paulcarrack/whenyouwalkintheroom.html,One Good Reason,1987,PAUL CARRACK
Button Off My Shirt,../lyrics/paulcarrack/buttonoffmyshirt.html,One Good Reason,1987,PAUL CARRACK
Give Me A Chance,../lyrics/paulcarrack/givemeachance.html,One Good Reason,1987,PAUL CARRACK
Don't Shed A Tear,../lyrics/paulcarrack/dontshedatear.html,One Good Reason,1987,PAUL CARRACK
,,One Good Reason,1987,PAUL CARRACK
Only My Heart Can Tell,../lyrics/paulcarrack/onlymyheartcantell.html,Groove Approved,1989,PAUL CARRACK
I Live By The Groove,../lyrics/paulcarrack/ilivebythegroove.html,Groove Approved,1989,PAUL CARRACK
Battlefield,../lyrics/paulcarrack/battlefield.html,Groove Approved,1989,PAUL CARRACK
Love Can Break Your Heart,../lyrics/paulcarrack/lovecanbreakyourheart.html,Groove Approved,1989,PAUL CARRACK
After The Love Is Gone,../lyrics/paulcarrack/aftertheloveisgone.html,Groove Approved,1989,PAUL CARRACK
