song,link,album,year,artist
Ready Steady Go,../lyrics/pauloakenfold/readysteadygo.html,Bunkka,2002,PAUL OAKENFOLD
Southern Sun,../lyrics/pauloakenfold/southernsun.html,Bunkka,2002,PAUL OAKENFOLD
Time Of Your Life,../lyrics/pauloakenfold/timeofyourlife.html,Bunkka,2002,PAUL OAKENFOLD
Hypnotised,../lyrics/pauloakenfold/hypnotised.html,Bunkka,2002,PAUL OAKENFOLD
Nixon's Spirit,../lyrics/pauloakenfold/nixonsspirit.html,Bunkka,2002,PAUL OAKENFOLD
Hold Your Hand,../lyrics/pauloakenfold/holdyourhand.html,Bunkka,2002,PAUL OAKENFOLD
Starry-Eyed Surprise,../lyrics/pauloakenfold/starryeyedsurprise.html,Bunkka,2002,PAUL OAKENFOLD
Get Em Up,../lyrics/pauloakenfold/getemup.html,Bunkka,2002,PAUL OAKENFOLD
Motion,../lyrics/pauloakenfold/motion.html,Bunkka,2002,PAUL OAKENFOLD
The Harder They Come,../lyrics/pauloakenfold/thehardertheycome.html,Bunkka,2002,PAUL OAKENFOLD
,,Bunkka,2002,PAUL OAKENFOLD
Faster Kill Pussycat,../lyrics/pauloakenfold/fasterkillpussycat.html,A Lively Mind,2006,PAUL OAKENFOLD
No Compromise,../lyrics/pauloakenfold/nocompromise.html,A Lively Mind,2006,PAUL OAKENFOLD
Sex 'N' Money,../lyrics/pauloakenfold/sexnmoney.html,A Lively Mind,2006,PAUL OAKENFOLD
Set It Off,../lyrics/pauloakenfold/setitoff.html,A Lively Mind,2006,PAUL OAKENFOLD
The Way I Feel,../lyrics/pauloakenfold/thewayifeel.html,A Lively Mind,2006,PAUL OAKENFOLD
Not Over,../lyrics/pauloakenfold/notover.html,A Lively Mind,2006,PAUL OAKENFOLD
Vulnerable,../lyrics/pauloakenfold/vulnerable.html,A Lively Mind,2006,PAUL OAKENFOLD
Feed Your Mind,../lyrics/pauloakenfold/feedyourmind.html,A Lively Mind,2006,PAUL OAKENFOLD
Pop Star,../lyrics/pauloakenfold/popstar.html,,,PAUL OAKENFOLD
U Are,../lyrics/pauloakenfold/uare.html,,,PAUL OAKENFOLD
