song,link,album,year,artist
I Don't Love You Anymore,../lyrics/teddypendergrass/idontloveyouanymore.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
When Somebody Loves You Back,../lyrics/teddypendergrass/whensomebodylovesyouback.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
Come Go With Me,../lyrics/teddypendergrass/comegowithme.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
The Whole Town's Laughing At Me,../lyrics/teddypendergrass/thewholetownslaughingatme.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
Somebody Told Me,../lyrics/teddypendergrass/somebodytoldme.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
Love T.K.O.,../lyrics/teddypendergrass/lovetko.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
"You're My Latest, My Greatest Inspiration",../lyrics/teddypendergrass/youremylatestmygreatestinspiration.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
And If I Had,../lyrics/teddypendergrass/andifihad.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
Don't Leave Me This Way (Parts 1 & 2),../lyrics/teddypendergrass/dontleavemethiswayparts12.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
I Miss You,../lyrics/teddypendergrass/imissyou.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
The Love I Lost,../lyrics/teddypendergrass/theloveilost.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
Nine Times Out Of Ten,../lyrics/teddypendergrass/ninetimesoutoften.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
Life Is A Song Worth Singing,../lyrics/teddypendergrass/lifeisasongworthsinging.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
If You Don't Know Me By Now,../lyrics/teddypendergrass/ifyoudontknowmebynow.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
Feel The Fire,../lyrics/teddypendergrass/feelthefire.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
Close The Door,../lyrics/teddypendergrass/closethedoor.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
Turn Off The Lights,../lyrics/teddypendergrass/turnoffthelights.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
Wake Up Everybody,../lyrics/teddypendergrass/wakeupeverybody.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
Bad Luck,../lyrics/teddypendergrass/badluck.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
Only You,../lyrics/teddypendergrass/onlyyou.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
"Get Up, Get Down, Get Funky, Get Loose",../lyrics/teddypendergrass/getupgetdowngetfunkygetloose.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
It Should've Been You,../lyrics/teddypendergrass/itshouldvebeenyou.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
Hold Me,../lyrics/teddypendergrass/holdme.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
Joy,../lyrics/teddypendergrass/joy.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
I'll Never See Heaven Again,../lyrics/teddypendergrass/illneverseeheavenagain.html,The Essential Teddy Pendergrass,2007,"PENDERGRASS, TEDDY"
