song,link,album,year,artist
Stitch Me Up,../lyrics/julianperretta/stitchmeup.html,Stitch Me Up,2010,"PERRETTA, JULIAN"
Wonder Why,../lyrics/julianperretta/wonderwhy.html,Stitch Me Up,2010,"PERRETTA, JULIAN"
Ride My Star,../lyrics/julianperretta/ridemystar.html,Stitch Me Up,2010,"PERRETTA, JULIAN"
Urgently Needed,../lyrics/julianperretta/urgentlyneeded.html,Stitch Me Up,2010,"PERRETTA, JULIAN"
King For A Day,../lyrics/julianperretta/kingforaday.html,Stitch Me Up,2010,"PERRETTA, JULIAN"
1986,../lyrics/julianperretta/1986.html,Stitch Me Up,2010,"PERRETTA, JULIAN"
Let Me Love You,../lyrics/julianperretta/letmeloveyou.html,Stitch Me Up,2010,"PERRETTA, JULIAN"
Kings & Queens,../lyrics/julianperretta/kingsqueens.html,Stitch Me Up,2010,"PERRETTA, JULIAN"
If I Ever Feel Better,../lyrics/julianperretta/ifieverfeelbetter.html,Stitch Me Up,2010,"PERRETTA, JULIAN"
,,Stitch Me Up,2010,"PERRETTA, JULIAN"
Karma,../lyrics/julianperretta/karma.html,Karma,2016,"PERRETTA, JULIAN"
Miracle,../lyrics/julianperretta/miracle.html,Karma,2016,"PERRETTA, JULIAN"
I Cry,../lyrics/julianperretta/icry.html,Karma,2016,"PERRETTA, JULIAN"
Free,../lyrics/julianperretta/free.html,Karma,2016,"PERRETTA, JULIAN"
Somebody Love Me,../lyrics/julianperretta/somebodyloveme.html,,,"PERRETTA, JULIAN"
That's All,../lyrics/julianperretta/thatsall.html,,,"PERRETTA, JULIAN"
