song,link,album,year,artist
To The Top,../lyrics/peterandre/tothetop.html,Peter Andre,1993,PETER ANDRE
Let's Get It On,../lyrics/peterandre/letsgetiton.html,Peter Andre,1993,PETER ANDRE
Drive Me Crazy,../lyrics/peterandre/drivemecrazy.html,Peter Andre,1993,PETER ANDRE
Nice 'N' Slow,../lyrics/peterandre/nicenslow.html,Peter Andre,1993,PETER ANDRE
Funky Junky,../lyrics/peterandre/funkyjunky.html,Peter Andre,1993,PETER ANDRE
Do You Wanna Dance,../lyrics/peterandre/doyouwannadance.html,Peter Andre,1993,PETER ANDRE
Take Me Back,../lyrics/peterandre/takemeback.html,Peter Andre,1993,PETER ANDRE
Dream A Little,../lyrics/peterandre/dreamalittle.html,Peter Andre,1993,PETER ANDRE
Through The Night,../lyrics/peterandre/throughthenight.html,Peter Andre,1993,PETER ANDRE
Gimme Little Sign,../lyrics/peterandre/gimmelittlesign.html,Peter Andre,1993,PETER ANDRE
,,Peter Andre,1993,PETER ANDRE
Mysterious Girl,../lyrics/peterandre/mysteriousgirl.html,Natural,1996,PETER ANDRE
Natural,../lyrics/peterandre/natural.html,Natural,1996,PETER ANDRE
Flava,../lyrics/peterandre/flava.html,Natural,1996,PETER ANDRE
All I Ever Wanted,../lyrics/peterandre/allieverwanted.html,Natural,1996,PETER ANDRE
Tell Me When,../lyrics/peterandre/tellmewhen.html,Natural,1996,PETER ANDRE
Turn It Up,../lyrics/peterandre/turnitup.html,Natural,1996,PETER ANDRE
Message To My Girl,../lyrics/peterandre/messagetomygirl.html,Natural,1996,PETER ANDRE
You Are,../lyrics/peterandre/youare.html,Natural,1996,PETER ANDRE
Only One,../lyrics/peterandre/onlyone.html,Natural,1996,PETER ANDRE
Get Down On It,../lyrics/peterandre/getdownonit.html,Natural,1996,PETER ANDRE
,,Natural,1996,PETER ANDRE
All About Us,../lyrics/peterandre/allaboutus.html,Time,1997,PETER ANDRE
I See You,../lyrics/peterandre/iseeyou.html,Time,1997,PETER ANDRE
"All Night, All Right",../lyrics/peterandre/allnightallright.html,Time,1997,PETER ANDRE
Rest Of My Life,../lyrics/peterandre/restofmylife.html,Time,1997,PETER ANDRE
Letting You Go,../lyrics/peterandre/lettingyougo.html,Time,1997,PETER ANDRE
Nobody Knows,../lyrics/peterandre/nobodyknows.html,Time,1997,PETER ANDRE
Tracks Of My Tears,../lyrics/peterandre/tracksofmytears.html,Time,1997,PETER ANDRE
Best Of Me,../lyrics/peterandre/bestofme.html,Time,1997,PETER ANDRE
What You Like,../lyrics/peterandre/whatyoulike.html,Time,1997,PETER ANDRE
Lonely,../lyrics/peterandre/lonely.html,Time,1997,PETER ANDRE
Just For You,../lyrics/peterandre/justforyou.html,Time,1997,PETER ANDRE
Stay With Me,../lyrics/peterandre/staywithme.html,Time,1997,PETER ANDRE
,,Time,1997,PETER ANDRE
Insania,../lyrics/peterandre/insania.html,The Long Road Back,2004,PETER ANDRE
You Got Me Thinking,../lyrics/peterandre/yougotmethinking.html,The Long Road Back,2004,PETER ANDRE
Never Gonna Give You Up,../lyrics/peterandre/nevergonnagiveyouup.html,The Long Road Back,2004,PETER ANDRE
Mysterious Girl,../lyrics/peterandre/mysteriousgirl.html,The Long Road Back,2004,PETER ANDRE
What Is Love?,../lyrics/peterandre/whatislove.html,The Long Road Back,2004,PETER ANDRE
All Cried Out,../lyrics/peterandre/allcriedout.html,The Long Road Back,2004,PETER ANDRE
Let's Go Dancin' (Ooh La La),../lyrics/peterandre/letsgodancinoohlala.html,The Long Road Back,2004,PETER ANDRE
All Time Girl,../lyrics/peterandre/alltimegirl.html,The Long Road Back,2004,PETER ANDRE
That's Where I'll Belong,../lyrics/peterandre/thatswhereillbelong.html,The Long Road Back,2004,PETER ANDRE
The Right Way,../lyrics/peterandre/therightway.html,The Long Road Back,2004,PETER ANDRE
World Of Her Own,../lyrics/peterandre/worldofherown.html,The Long Road Back,2004,PETER ANDRE
Untouchable,../lyrics/peterandre/untouchable.html,The Long Road Back,2004,PETER ANDRE
,,The Long Road Back,2004,PETER ANDRE
A Whole New World,../lyrics/peterandre/awholenewworld.html,A Whole New World,2006,PETER ANDRE
The Best Things In Life Are Free,../lyrics/peterandre/thebestthingsinlifearefree.html,A Whole New World,2006,PETER ANDRE
Endless Love,../lyrics/peterandre/endlesslove.html,A Whole New World,2006,PETER ANDRE
Islands In The Stream,../lyrics/peterandre/islandsinthestream.html,A Whole New World,2006,PETER ANDRE
Tonight I Celebrate My Love For You,../lyrics/peterandre/tonighticelebratemyloveforyou.html,A Whole New World,2006,PETER ANDRE
Cherish,../lyrics/peterandre/cherish.html,A Whole New World,2006,PETER ANDRE
Don't Go Breaking My Heart,../lyrics/peterandre/dontgobreakingmyheart.html,A Whole New World,2006,PETER ANDRE
To Die For,../lyrics/peterandre/todiefor.html,A Whole New World,2006,PETER ANDRE
I've Had The Time Of My Life,../lyrics/peterandre/ivehadthetimeofmylife.html,A Whole New World,2006,PETER ANDRE
Lullaby,../lyrics/peterandre/lullaby.html,A Whole New World,2006,PETER ANDRE
,,A Whole New World,2006,PETER ANDRE
Behind Closed Doors,../lyrics/peterandre/behindcloseddoors.html,Revelation,2009,PETER ANDRE
Distance,../lyrics/peterandre/distance.html,Revelation,2009,PETER ANDRE
Ready For Us,../lyrics/peterandre/readyforus.html,Revelation,2009,PETER ANDRE
The Way You Move (Up In Here),../lyrics/peterandre/thewayyoumoveupinhere.html,Revelation,2009,PETER ANDRE
Call The Doctor,../lyrics/peterandre/callthedoctor.html,Revelation,2009,PETER ANDRE
Go Back,../lyrics/peterandre/goback.html,Revelation,2009,PETER ANDRE
Sliding Doors,../lyrics/peterandre/slidingdoors.html,Revelation,2009,PETER ANDRE
Outta Control,../lyrics/peterandre/outtacontrol.html,Revelation,2009,PETER ANDRE
XOXO,../lyrics/peterandre/xoxo.html,Revelation,2009,PETER ANDRE
Replay,../lyrics/peterandre/replay.html,Revelation,2009,PETER ANDRE
Unconditional,../lyrics/peterandre/unconditional.html,Revelation,2009,PETER ANDRE
,,Revelation,2009,PETER ANDRE
XLR8,../lyrics/peterandre/xlr8.html,Accelerate,2010,PETER ANDRE
Defender,../lyrics/peterandre/defender.html,Accelerate,2010,PETER ANDRE
Under My Skin,../lyrics/peterandre/undermyskin.html,Accelerate,2010,PETER ANDRE
Perfect Night,../lyrics/peterandre/perfectnight.html,Accelerate,2010,PETER ANDRE
After The Love,../lyrics/peterandre/afterthelove.html,Accelerate,2010,PETER ANDRE
Wondergirl,../lyrics/peterandre/wondergirl.html,Accelerate,2010,PETER ANDRE
Kiss & Tell,../lyrics/peterandre/kisstell.html,Accelerate,2010,PETER ANDRE
Prisoner (DOA),../lyrics/peterandre/prisonerdoa.html,Accelerate,2010,PETER ANDRE
Cry In Public,../lyrics/peterandre/cryinpublic.html,Accelerate,2010,PETER ANDRE
Mercy On Me,../lyrics/peterandre/mercyonme.html,Accelerate,2010,PETER ANDRE
,,Accelerate,2010,PETER ANDRE
What A Girl,../lyrics/peterandre/whatagirl.html,Angels & Demons,2012,PETER ANDRE
Bad As You Are,../lyrics/peterandre/badasyouare.html,Angels & Demons,2012,PETER ANDRE
Angels & Demons,../lyrics/peterandre/angelsdemons.html,Angels & Demons,2012,PETER ANDRE
Fly Away,../lyrics/peterandre/flyaway.html,Angels & Demons,2012,PETER ANDRE
Don't Be Afraid,../lyrics/peterandre/dontbeafraid.html,Angels & Demons,2012,PETER ANDRE
Lift The Sky,../lyrics/peterandre/liftthesky.html,Angels & Demons,2012,PETER ANDRE
,,Angels & Demons,2012,PETER ANDRE
Big Night,../lyrics/peterandre/bignight.html,Big Night,2014,PETER ANDRE
Kid,../lyrics/peterandre/kid.html,Big Night,2014,PETER ANDRE
