song,link,album,year,artist
Early In The Morning,../lyrics/peterpaulandmary/earlyinthemorning.html,"Peter, Paul And Mary",1962,"PETER, PAUL AND MARY"
500 Miles,../lyrics/peterpaulandmary/500miles.html,"Peter, Paul And Mary",1962,"PETER, PAUL AND MARY"
Sorrow,../lyrics/peterpaulandmary/sorrow.html,"Peter, Paul And Mary",1962,"PETER, PAUL AND MARY"
This Train,../lyrics/peterpaulandmary/thistrain.html,"Peter, Paul And Mary",1962,"PETER, PAUL AND MARY"
Bamboo,../lyrics/peterpaulandmary/bamboo.html,"Peter, Paul And Mary",1962,"PETER, PAUL AND MARY"
It's Raining,../lyrics/peterpaulandmary/itsraining.html,"Peter, Paul And Mary",1962,"PETER, PAUL AND MARY"
If I Had My Way,../lyrics/peterpaulandmary/ifihadmyway.html,"Peter, Paul And Mary",1962,"PETER, PAUL AND MARY"
Cruel War,../lyrics/peterpaulandmary/cruelwar.html,"Peter, Paul And Mary",1962,"PETER, PAUL AND MARY"
Lemon Tree,../lyrics/peterpaulandmary/lemontree.html,"Peter, Paul And Mary",1962,"PETER, PAUL AND MARY"
If I Had A Hammer,../lyrics/peterpaulandmary/ifihadahammer.html,"Peter, Paul And Mary",1962,"PETER, PAUL AND MARY"
Autumn To May,../lyrics/peterpaulandmary/autumntomay.html,"Peter, Paul And Mary",1962,"PETER, PAUL AND MARY"
Where Have All The Flowers Gone,../lyrics/peterpaulandmary/wherehavealltheflowersgone.html,"Peter, Paul And Mary",1962,"PETER, PAUL AND MARY"
,,"Peter, Paul And Mary",1962,"PETER, PAUL AND MARY"
Settle Down (Goin' Down That Highway),../lyrics/peterpaulandmary/settledowngoindownthathighway.html,Moving,1963,"PETER, PAUL AND MARY"
Gone The Rainbow,../lyrics/peterpaulandmary/gonetherainbow.html,Moving,1963,"PETER, PAUL AND MARY"
Flora,../lyrics/peterpaulandmary/flora.html,Moving,1963,"PETER, PAUL AND MARY"
Pretty Mary,../lyrics/peterpaulandmary/prettymary.html,Moving,1963,"PETER, PAUL AND MARY"
"Puff, The Magic Dragon",../lyrics/peterpaulandmary/puffthemagicdragon.html,Moving,1963,"PETER, PAUL AND MARY"
This Land Is Your Land,../lyrics/peterpaulandmary/thislandisyourland.html,Moving,1963,"PETER, PAUL AND MARY"
Man Come Into Egypt,../lyrics/peterpaulandmary/mancomeintoegypt.html,Moving,1963,"PETER, PAUL AND MARY"
Old Coat,../lyrics/peterpaulandmary/oldcoat.html,Moving,1963,"PETER, PAUL AND MARY"
Tiny Sparrow,../lyrics/peterpaulandmary/tinysparrow.html,Moving,1963,"PETER, PAUL AND MARY"
Big Boat,../lyrics/peterpaulandmary/bigboat.html,Moving,1963,"PETER, PAUL AND MARY"
Morning Train,../lyrics/peterpaulandmary/morningtrain.html,Moving,1963,"PETER, PAUL AND MARY"
A Soalin',../lyrics/peterpaulandmary/asoalin.html,Moving,1963,"PETER, PAUL AND MARY"
,,Moving,1963,"PETER, PAUL AND MARY"
Very Last Day,../lyrics/peterpaulandmary/verylastday.html,In The Wind,1963,"PETER, PAUL AND MARY"
Hush-A-Bye,../lyrics/peterpaulandmary/hushabye.html,In The Wind,1963,"PETER, PAUL AND MARY"
Long Chain On,../lyrics/peterpaulandmary/longchainon.html,In The Wind,1963,"PETER, PAUL AND MARY"
Rocky Road,../lyrics/peterpaulandmary/rockyroad.html,In The Wind,1963,"PETER, PAUL AND MARY"
Tell It On The Mountain,../lyrics/peterpaulandmary/tellitonthemountain.html,In The Wind,1963,"PETER, PAUL AND MARY"
Polly Von,../lyrics/peterpaulandmary/pollyvon.html,In The Wind,1963,"PETER, PAUL AND MARY"
Stewball,../lyrics/peterpaulandmary/stewball.html,In The Wind,1963,"PETER, PAUL AND MARY"
All My Trials,../lyrics/peterpaulandmary/allmytrials.html,In The Wind,1963,"PETER, PAUL AND MARY"
"Don't Think Twice, It's All Right",../lyrics/peterpaulandmary/dontthinktwiceitsallright.html,In The Wind,1963,"PETER, PAUL AND MARY"
Freight Train,../lyrics/peterpaulandmary/freighttrain.html,In The Wind,1963,"PETER, PAUL AND MARY"
Quit Your Low Down Ways,../lyrics/peterpaulandmary/quityourlowdownways.html,In The Wind,1963,"PETER, PAUL AND MARY"
Blowin' In The Wind,../lyrics/peterpaulandmary/blowininthewind.html,In The Wind,1963,"PETER, PAUL AND MARY"
,,In The Wind,1963,"PETER, PAUL AND MARY"
When The Ship Comes In,../lyrics/peterpaulandmary/whentheshipcomesin.html,A Song Will Rise,1965,"PETER, PAUL AND MARY"
Jimmy Whalen,../lyrics/peterpaulandmary/jimmywhalen.html,A Song Will Rise,1965,"PETER, PAUL AND MARY"
Come And Go With Me,../lyrics/peterpaulandmary/comeandgowithme.html,A Song Will Rise,1965,"PETER, PAUL AND MARY"
Gilgarra Mountain,../lyrics/peterpaulandmary/gilgarramountain.html,A Song Will Rise,1965,"PETER, PAUL AND MARY"
Ballad Of Spring Hill (Spring Hill Disaster),../lyrics/peterpaulandmary/balladofspringhillspringhilldisaster.html,A Song Will Rise,1965,"PETER, PAUL AND MARY"
Motherless Child,../lyrics/peterpaulandmary/motherlesschild.html,A Song Will Rise,1965,"PETER, PAUL AND MARY"
Wasn't That A Time,../lyrics/peterpaulandmary/wasntthatatime.html,A Song Will Rise,1965,"PETER, PAUL AND MARY"
Monday Morning,../lyrics/peterpaulandmary/mondaymorning.html,A Song Will Rise,1965,"PETER, PAUL AND MARY"
The Cuckoo,../lyrics/peterpaulandmary/thecuckoo.html,A Song Will Rise,1965,"PETER, PAUL AND MARY"
The San Francisco Bay Blues,../lyrics/peterpaulandmary/thesanfranciscobayblues.html,A Song Will Rise,1965,"PETER, PAUL AND MARY"
Talkin' Candy Bar Blues,../lyrics/peterpaulandmary/talkincandybarblues.html,A Song Will Rise,1965,"PETER, PAUL AND MARY"
For Lovin' Me,../lyrics/peterpaulandmary/forlovinme.html,A Song Will Rise,1965,"PETER, PAUL AND MARY"
,,A Song Will Rise,1965,"PETER, PAUL AND MARY"
If I Were Free,../lyrics/peterpaulandmary/ifiwerefree.html,See What Tomorrow Brings,1965,"PETER, PAUL AND MARY"
Betty & Dupree,../lyrics/peterpaulandmary/bettydupree.html,See What Tomorrow Brings,1965,"PETER, PAUL AND MARY"
The Rising Of The Moon,../lyrics/peterpaulandmary/therisingofthemoon.html,See What Tomorrow Brings,1965,"PETER, PAUL AND MARY"
