song,link,album,year,artist
Stand Tough,../lyrics/pointbreak/standtough.html,Apocadelic,2000,POINT BREAK
Do We Rock,../lyrics/pointbreak/dowerock.html,Apocadelic,2000,POINT BREAK
Freaky Time,../lyrics/pointbreak/freakytime.html,Apocadelic,2000,POINT BREAK
The Game,../lyrics/pointbreak/thegame.html,Apocadelic,2000,POINT BREAK
Say Yeah!,../lyrics/pointbreak/sayyeah.html,Apocadelic,2000,POINT BREAK
Tag The Party,../lyrics/pointbreak/tagtheparty.html,Apocadelic,2000,POINT BREAK
Give It Up,../lyrics/pointbreak/giveitup.html,Apocadelic,2000,POINT BREAK
Apocadelic,../lyrics/pointbreak/apocadelic.html,Apocadelic,2000,POINT BREAK
What About Us?,../lyrics/pointbreak/whataboutus.html,Apocadelic,2000,POINT BREAK
Baby I Don't Care,../lyrics/pointbreak/babyidontcare.html,Apocadelic,2000,POINT BREAK
You,../lyrics/pointbreak/you.html,Apocadelic,2000,POINT BREAK
