song,link,album,year,artist
Don't Look At The Sun Or You'll Go Blind,../lyrics/pond/dontlookatthesunoryoullgoblind.html,Psychedelic Mango,2009,POND
Mick Manmoose,../lyrics/pond/mickmanmoose.html,Psychedelic Mango,2009,POND
,,Psychedelic Mango,2009,POND
Caterpillar Mansion,../lyrics/pond/caterpillarmansion.html,Corridors Of Blissterday,2009,POND
Sweet Loretta,../lyrics/pond/sweetloretta.html,Corridors Of Blissterday,2009,POND
Mist In My Brainforest,../lyrics/pond/mistinmybrainforest.html,Corridors Of Blissterday,2009,POND
,,Corridors Of Blissterday,2009,POND
Betty Davis (Will Come Down From The Heavens To Save Us),../lyrics/pond/bettydaviswillcomedownfromtheheavenstosaveus.html,Frond,2010,POND
Cloud City,../lyrics/pond/cloudcity.html,Frond,2010,POND
Duck And Clover,../lyrics/pond/duckandclover.html,Frond,2010,POND
Sunlight Cardigan,../lyrics/pond/sunlightcardigan.html,Frond,2010,POND
Annie Orangetree,../lyrics/pond/annieorangetree.html,Frond,2010,POND
Frond,../lyrics/pond/frond.html,Frond,2010,POND
,,Frond,2010,POND
Fantastic Explosion Of Time,../lyrics/pond/fantasticexplosionoftime.html,"Beard, Wives, Denim",2012,POND
When It Explodes,../lyrics/pond/whenitexplodes.html,"Beard, Wives, Denim",2012,POND
Elegant Design,../lyrics/pond/elegantdesign.html,"Beard, Wives, Denim",2012,POND
Sorry I Was Under The Sky,../lyrics/pond/sorryiwasunderthesky.html,"Beard, Wives, Denim",2012,POND
Sun And Sea And You,../lyrics/pond/sunandseaandyou.html,"Beard, Wives, Denim",2012,POND
Allergies,../lyrics/pond/allergies.html,"Beard, Wives, Denim",2012,POND
You Broke My Cool,../lyrics/pond/youbrokemycool.html,"Beard, Wives, Denim",2012,POND
Moth Wings,../lyrics/pond/mothwings.html,"Beard, Wives, Denim",2012,POND
Leisure Pony,../lyrics/pond/leisurepony.html,"Beard, Wives, Denim",2012,POND
Mystery,../lyrics/pond/mystery.html,"Beard, Wives, Denim",2012,POND
Dig Brother,../lyrics/pond/digbrother.html,"Beard, Wives, Denim",2012,POND
Eye Pattern Blindness,../lyrics/pond/eyepatternblindness.html,"Beard, Wives, Denim",2012,POND
Moreno's Blend,../lyrics/pond/morenosblend.html,"Beard, Wives, Denim",2012,POND
,,"Beard, Wives, Denim",2012,POND
Whatever Happened To The Million Head Collide,../lyrics/pond/whateverhappenedtothemillionheadcollide.html,Hobo Rocket,2013,POND
Xanman,../lyrics/pond/xanman.html,Hobo Rocket,2013,POND
O Dharma,../lyrics/pond/odharma.html,Hobo Rocket,2013,POND
Aloneaflameaflower,../lyrics/pond/aloneaflameaflower.html,Hobo Rocket,2013,POND
Giant Tortoise,../lyrics/pond/gianttortoise.html,Hobo Rocket,2013,POND
Hobo Rocket,../lyrics/pond/hoborocket.html,Hobo Rocket,2013,POND
Midnight Mass (At The Market Street Payphone),../lyrics/pond/midnightmassatthemarketstreetpayphone.html,Hobo Rocket,2013,POND
,,Hobo Rocket,2013,POND
Waiting Around For Grace,../lyrics/pond/waitingaroundforgrace.html,Man It Feels Like Space Again,2015,POND
Elvis' Flaming Star,../lyrics/pond/elvisflamingstar.html,Man It Feels Like Space Again,2015,POND
Holding Out For You,../lyrics/pond/holdingoutforyou.html,Man It Feels Like Space Again,2015,POND
Zond,../lyrics/pond/zond.html,Man It Feels Like Space Again,2015,POND
Heroic Shart,../lyrics/pond/heroicshart.html,Man It Feels Like Space Again,2015,POND
Sitting Up On Our Crane,../lyrics/pond/sittinguponourcrane.html,Man It Feels Like Space Again,2015,POND
Medicine Hat,../lyrics/pond/medicinehat.html,Man It Feels Like Space Again,2015,POND
Man It Feels Like Space Again,../lyrics/pond/manitfeelslikespaceagain.html,Man It Feels Like Space Again,2015,POND
,,Man It Feels Like Space Again,2015,POND
30000 Megatons,../lyrics/pond/30000megatons.html,The Weather,2017,POND
Sweep Me Off My Feet,../lyrics/pond/sweepmeoffmyfeet.html,The Weather,2017,POND
