song,link,album,year,artist
Hero,../lyrics/popevil/hero.html,Lipstick On The Mirror,2008,POP EVIL
Breathe,../lyrics/popevil/breathe.html,Lipstick On The Mirror,2008,POP EVIL
Shinedown,../lyrics/popevil/shinedown.html,Lipstick On The Mirror,2008,POP EVIL
100 In A 55,../lyrics/popevil/100ina55.html,Lipstick On The Mirror,2008,POP EVIL
Somebody Like You,../lyrics/popevil/somebodylikeyou.html,Lipstick On The Mirror,2008,POP EVIL
3 Seconds To Freedom,../lyrics/popevil/3secondstofreedom.html,Lipstick On The Mirror,2008,POP EVIL
Another Romeo & Juliet,../lyrics/popevil/anotherromeojuliet.html,Lipstick On The Mirror,2008,POP EVIL
Stepping Stone,../lyrics/popevil/steppingstone.html,Lipstick On The Mirror,2008,POP EVIL
Jupiter In June,../lyrics/popevil/jupiterinjune.html,Lipstick On The Mirror,2008,POP EVIL
One More Goodbye,../lyrics/popevil/onemoregoodbye.html,Lipstick On The Mirror,2008,POP EVIL
Ready Or Not,../lyrics/popevil/readyornot.html,Lipstick On The Mirror,2008,POP EVIL
Hard Highway,../lyrics/popevil/hardhighway.html,Lipstick On The Mirror,2008,POP EVIL
Hey Mister,../lyrics/popevil/heymister.html,Lipstick On The Mirror,2008,POP EVIL
,,Lipstick On The Mirror,2008,POP EVIL
Last Man Standing,../lyrics/popevil/lastmanstanding.html,War Of Angels,2011,POP EVIL
Epitaph,../lyrics/popevil/epitaph.html,War Of Angels,2011,POP EVIL
Broken & Betrayed,../lyrics/popevil/brokenbetrayed.html,War Of Angels,2011,POP EVIL
Monster You Made,../lyrics/popevil/monsteryoumade.html,War Of Angels,2011,POP EVIL
Let It Go,../lyrics/popevil/letitgo.html,War Of Angels,2011,POP EVIL
Boss's Daughter,../lyrics/popevil/bosssdaughter.html,War Of Angels,2011,POP EVIL
Daisy Chain,../lyrics/popevil/daisychain.html,War Of Angels,2011,POP EVIL
Purple,../lyrics/popevil/purple.html,War Of Angels,2011,POP EVIL
Black & Blue,../lyrics/popevil/blackblue.html,War Of Angels,2011,POP EVIL
Next Life,../lyrics/popevil/nextlife.html,War Of Angels,2011,POP EVIL
Save The World,../lyrics/popevil/savetheworld.html,War Of Angels,2011,POP EVIL
Good With The Bad,../lyrics/popevil/goodwiththebad.html,War Of Angels,2011,POP EVIL
Unstoppable,../lyrics/popevil/unstoppable.html,War Of Angels,2011,POP EVIL
,,War Of Angels,2011,POP EVIL
Goodbye My Friend,../lyrics/popevil/goodbyemyfriend.html,Onyx,2013,POP EVIL
Deal With The Devil,../lyrics/popevil/dealwiththedevil.html,Onyx,2013,POP EVIL
Trenches,../lyrics/popevil/trenches.html,Onyx,2013,POP EVIL
Torn To Pieces,../lyrics/popevil/torntopieces.html,Onyx,2013,POP EVIL
Divide,../lyrics/popevil/divide.html,Onyx,2013,POP EVIL
Beautiful,../lyrics/popevil/beautiful.html,Onyx,2013,POP EVIL
Silence & Scars,../lyrics/popevil/silencescars.html,Onyx,2013,POP EVIL
Sick Sense,../lyrics/popevil/sicksense.html,Onyx,2013,POP EVIL
Fly Away,../lyrics/popevil/flyaway.html,Onyx,2013,POP EVIL
Behind Closed Doors,../lyrics/popevil/behindcloseddoors.html,Onyx,2013,POP EVIL
Welcome To Reality,../lyrics/popevil/welcometoreality.html,Onyx,2013,POP EVIL
Flawed,../lyrics/popevil/flawed.html,Onyx,2013,POP EVIL
,,Onyx,2013,POP EVIL
Footsteps,../lyrics/popevil/footsteps.html,Up,2015,POP EVIL
Core,../lyrics/popevil/core.html,Up,2015,POP EVIL
In Disarray,../lyrics/popevil/indisarray.html,Up,2015,POP EVIL
Take It All,../lyrics/popevil/takeitall.html,Up,2015,POP EVIL
Ghost Of Muskegon,../lyrics/popevil/ghostofmuskegon.html,Up,2015,POP EVIL
If Only For Now,../lyrics/popevil/ifonlyfornow.html,Up,2015,POP EVIL
Ways To Get High,../lyrics/popevil/waystogethigh.html,Up,2015,POP EVIL
Lux,../lyrics/popevil/lux.html,Up,2015,POP EVIL
Vendetta,../lyrics/popevil/vendetta.html,Up,2015,POP EVIL
Dead In The Water,../lyrics/popevil/deadinthewater.html,Up,2015,POP EVIL
Seattle Rain,../lyrics/popevil/seattlerain.html,Up,2015,POP EVIL
Til Kingdom Come,../lyrics/popevil/tilkingdomcome.html,Up,2015,POP EVIL
My Confessions,../lyrics/popevil/myconfessions.html,Up,2015,POP EVIL
