song,link,album,year,artist
Walking Stick,../lyrics/powderfinger/walkingstick.html,Parables For Wooden Ears,1994,POWDERFINGER
Tail,../lyrics/powderfinger/tail.html,Parables For Wooden Ears,1994,POWDERFINGER
Hurried Bloom,../lyrics/powderfinger/hurriedbloom.html,Parables For Wooden Ears,1994,POWDERFINGER
Fathers' Pyramid,../lyrics/powderfinger/fatherspyramid.html,Parables For Wooden Ears,1994,POWDERFINGER
Bridle You,../lyrics/powderfinger/bridleyou.html,Parables For Wooden Ears,1994,POWDERFINGER
Citadel,../lyrics/powderfinger/citadel.html,Parables For Wooden Ears,1994,POWDERFINGER
Sink Low,../lyrics/powderfinger/sinklow.html,Parables For Wooden Ears,1994,POWDERFINGER
Grave Concern,../lyrics/powderfinger/graveconcern.html,Parables For Wooden Ears,1994,POWDERFINGER
Solution,../lyrics/powderfinger/solution.html,Parables For Wooden Ears,1994,POWDERFINGER
This Syrup To Exchange,../lyrics/powderfinger/thissyruptoexchange.html,Parables For Wooden Ears,1994,POWDERFINGER
Blanket,../lyrics/powderfinger/blanket.html,Parables For Wooden Ears,1994,POWDERFINGER
Save Your Skin,../lyrics/powderfinger/saveyourskin.html,Parables For Wooden Ears,1994,POWDERFINGER
,,Parables For Wooden Ears,1994,POWDERFINGER
Skinny Jean,../lyrics/powderfinger/skinnyjean.html,Double Allergic,1996,POWDERFINGER
Turtle's Head,../lyrics/powderfinger/turtleshead.html,Double Allergic,1996,POWDERFINGER
Pick You Up,../lyrics/powderfinger/pickyouup.html,Double Allergic,1996,POWDERFINGER
D.A.F.,../lyrics/powderfinger/daf.html,Double Allergic,1996,POWDERFINGER
Boing Boing,../lyrics/powderfinger/boingboing.html,Double Allergic,1996,POWDERFINGER
Give,../lyrics/powderfinger/give.html,Double Allergic,1996,POWDERFINGER
Oipic,../lyrics/powderfinger/oipic.html,Double Allergic,1996,POWDERFINGER
Living Type,../lyrics/powderfinger/livingtype.html,Double Allergic,1996,POWDERFINGER
JC,../lyrics/powderfinger/jc.html,Double Allergic,1996,POWDERFINGER
Glimpse,../lyrics/powderfinger/glimpse.html,Double Allergic,1996,POWDERFINGER
Take Me In,../lyrics/powderfinger/takemein.html,Double Allergic,1996,POWDERFINGER
(Return Of) The Electric Horseman,../lyrics/powderfinger/returnoftheelectrichorseman.html,Double Allergic,1996,POWDERFINGER
,,Double Allergic,1996,POWDERFINGER
Hindley Street,../lyrics/powderfinger/hindleystreet.html,Internationalist,1998,POWDERFINGER
Belter,../lyrics/powderfinger/belter.html,Internationalist,1998,POWDERFINGER
The Day You Come,../lyrics/powderfinger/thedayyoucome.html,Internationalist,1998,POWDERFINGER
Already Gone,../lyrics/powderfinger/alreadygone.html,Internationalist,1998,POWDERFINGER
Passenger,../lyrics/powderfinger/passenger.html,Internationalist,1998,POWDERFINGER
Don't Wanna Be Left Out,../lyrics/powderfinger/dontwannabeleftout.html,Internationalist,1998,POWDERFINGER
Good-Day Ray,../lyrics/powderfinger/gooddayray.html,Internationalist,1998,POWDERFINGER
Trading Places,../lyrics/powderfinger/tradingplaces.html,Internationalist,1998,POWDERFINGER
Private Man,../lyrics/powderfinger/privateman.html,Internationalist,1998,POWDERFINGER
Celebrity Head,../lyrics/powderfinger/celebrityhead.html,Internationalist,1998,POWDERFINGER
Over My Head,../lyrics/powderfinger/overmyhead.html,Internationalist,1998,POWDERFINGER
Capoicity,../lyrics/powderfinger/capoicity.html,Internationalist,1998,POWDERFINGER
Lemon Sunrise,../lyrics/powderfinger/lemonsunrise.html,Internationalist,1998,POWDERFINGER
,,Internationalist,1998,POWDERFINGER
Waiting For The Sun,../lyrics/powderfinger/waitingforthesun.html,Odyssey Number Five,2001,POWDERFINGER
My Happiness,../lyrics/powderfinger/myhappiness.html,Odyssey Number Five,2001,POWDERFINGER
The Metre,../lyrics/powderfinger/themetre.html,Odyssey Number Five,2001,POWDERFINGER
