song,link,album,year,artist
Let's Go!,../lyrics/presets/letsgo.html,Blow Up,2003,"PRESETS, THE"
Get The Fuck Outta Here,../lyrics/presets/getthefuckouttahere.html,Blow Up,2003,"PRESETS, THE"
Cookie,../lyrics/presets/cookie.html,Blow Up,2003,"PRESETS, THE"
Waiting For You,../lyrics/presets/waitingforyou.html,Blow Up,2003,"PRESETS, THE"
,,Blow Up,2003,"PRESETS, THE"
Are You The One?,../lyrics/presets/areyoutheone.html,Beams,2005,"PRESETS, THE"
Down Down Down,../lyrics/presets/downdowndown.html,Beams,2005,"PRESETS, THE"
Girl And The Sea,../lyrics/presets/girlandthesea.html,Beams,2005,"PRESETS, THE"
Kitty In The Middle,../lyrics/presets/kittyinthemiddle.html,Beams,2005,"PRESETS, THE"
Girl (You Chew My Mind Up),../lyrics/presets/girlyouchewmymindup.html,Beams,2005,"PRESETS, THE"
"I Go Hard, I Go Home",../lyrics/presets/igohardigohome.html,Beams,2005,"PRESETS, THE"
Bad Up Your Betterness,../lyrics/presets/badupyourbetterness.html,Beams,2005,"PRESETS, THE"
,,Beams,2005,"PRESETS, THE"
Kicking And Screaming,../lyrics/presets/kickingandscreaming.html,Apocalypso,2008,"PRESETS, THE"
My People,../lyrics/presets/mypeople.html,Apocalypso,2008,"PRESETS, THE"
A New Sky,../lyrics/presets/anewsky.html,Apocalypso,2008,"PRESETS, THE"
This Boy's In Love,../lyrics/presets/thisboysinlove.html,Apocalypso,2008,"PRESETS, THE"
Yippiyo-Ay,../lyrics/presets/yippiyoay.html,Apocalypso,2008,"PRESETS, THE"
Talk Like That,../lyrics/presets/talklikethat.html,Apocalypso,2008,"PRESETS, THE"
Eucalyptus,../lyrics/presets/eucalyptus.html,Apocalypso,2008,"PRESETS, THE"
If I Know You,../lyrics/presets/ifiknowyou.html,Apocalypso,2008,"PRESETS, THE"
Together,../lyrics/presets/together.html,Apocalypso,2008,"PRESETS, THE"
Anywhere,../lyrics/presets/anywhere.html,Apocalypso,2008,"PRESETS, THE"
Buzz Factory,../lyrics/presets/buzzfactory.html,Apocalypso,2008,"PRESETS, THE"
,,Apocalypso,2008,"PRESETS, THE"
Youth In Trouble,../lyrics/presets/youthintrouble.html,Pacifica,2012,"PRESETS, THE"
Ghosts,../lyrics/presets/ghosts.html,Pacifica,2012,"PRESETS, THE"
Promises,../lyrics/presets/promises.html,Pacifica,2012,"PRESETS, THE"
Push,../lyrics/presets/push.html,Pacifica,2012,"PRESETS, THE"
Fall,../lyrics/presets/fall.html,Pacifica,2012,"PRESETS, THE"
It's Cool,../lyrics/presets/itscool.html,Pacifica,2012,"PRESETS, THE"
A.O.,../lyrics/presets/ao.html,Pacifica,2012,"PRESETS, THE"
Surrender,../lyrics/presets/surrender.html,Pacifica,2012,"PRESETS, THE"
Fast Seconds,../lyrics/presets/fastseconds.html,Pacifica,2012,"PRESETS, THE"
Fail Epic,../lyrics/presets/failepic.html,Pacifica,2012,"PRESETS, THE"
Goodbye Future,../lyrics/presets/goodbyefuture.html,,,"PRESETS, THE"
No Fun,../lyrics/presets/nofun.html,,,"PRESETS, THE"
