song,link,album,year,artist
Kids That Love To Dance,../lyrics/professorgreen/kidsthatlovetodance.html,Alive Till I'm Dead,2010,PROFESSOR GREEN
Just Be Good To Green,../lyrics/professorgreen/justbegoodtogreen.html,Alive Till I'm Dead,2010,PROFESSOR GREEN
I Need You Tonight,../lyrics/professorgreen/ineedyoutonight.html,Alive Till I'm Dead,2010,PROFESSOR GREEN
City Of Gold,../lyrics/professorgreen/cityofgold.html,Alive Till I'm Dead,2010,PROFESSOR GREEN
Oh My God,../lyrics/professorgreen/ohmygod.html,Alive Till I'm Dead,2010,PROFESSOR GREEN
Jungle,../lyrics/professorgreen/jungle.html,Alive Till I'm Dead,2010,PROFESSOR GREEN
Do For You,../lyrics/professorgreen/doforyou.html,Alive Till I'm Dead,2010,PROFESSOR GREEN
Falling Down,../lyrics/professorgreen/fallingdown.html,Alive Till I'm Dead,2010,PROFESSOR GREEN
Monster,../lyrics/professorgreen/monster.html,Alive Till I'm Dead,2010,PROFESSOR GREEN
Closing The Door,../lyrics/professorgreen/closingthedoor.html,Alive Till I'm Dead,2010,PROFESSOR GREEN
Where Do We Go,../lyrics/professorgreen/wheredowego.html,Alive Till I'm Dead,2010,PROFESSOR GREEN
Goodnight,../lyrics/professorgreen/goodnight.html,Alive Till I'm Dead,2010,PROFESSOR GREEN
Crying Game,../lyrics/professorgreen/cryinggame.html,Alive Till I'm Dead,2010,PROFESSOR GREEN
All To Myself,../lyrics/professorgreen/alltomyself.html,Alive Till I'm Dead,2010,PROFESSOR GREEN
,,Alive Till I'm Dead,2010,PROFESSOR GREEN
At Your Inconvenience,../lyrics/professorgreen/atyourinconvenience.html,At Your Inconvenience,2011,PROFESSOR GREEN
D.P.M.O.,../lyrics/professorgreen/dpmo.html,At Your Inconvenience,2011,PROFESSOR GREEN
Read All About It,../lyrics/professorgreen/readallaboutit.html,At Your Inconvenience,2011,PROFESSOR GREEN
Spinning Out,../lyrics/professorgreen/spinningout.html,At Your Inconvenience,2011,PROFESSOR GREEN
Remedy,../lyrics/professorgreen/remedy.html,At Your Inconvenience,2011,PROFESSOR GREEN
How Many Moons,../lyrics/professorgreen/howmanymoons.html,At Your Inconvenience,2011,PROFESSOR GREEN
Astronaut,../lyrics/professorgreen/astronaut.html,At Your Inconvenience,2011,PROFESSOR GREEN
Avalon,../lyrics/professorgreen/avalon.html,At Your Inconvenience,2011,PROFESSOR GREEN
Doll,../lyrics/professorgreen/doll.html,At Your Inconvenience,2011,PROFESSOR GREEN
Never Be A Right Time,../lyrics/professorgreen/neverbearighttime.html,At Your Inconvenience,2011,PROFESSOR GREEN
Today I Cried,../lyrics/professorgreen/todayicried.html,At Your Inconvenience,2011,PROFESSOR GREEN
Nightmares,../lyrics/professorgreen/nightmares.html,At Your Inconvenience,2011,PROFESSOR GREEN
Forever Falling,../lyrics/professorgreen/foreverfalling.html,At Your Inconvenience,2011,PROFESSOR GREEN
Into The Ground,../lyrics/professorgreen/intotheground.html,At Your Inconvenience,2011,PROFESSOR GREEN
Trouble,../lyrics/professorgreen/trouble.html,At Your Inconvenience,2011,PROFESSOR GREEN
,,At Your Inconvenience,2011,PROFESSOR GREEN
I Need Church,../lyrics/professorgreen/ineedchurch.html,Growing Up In Public,2014,PROFESSOR GREEN
Dead Man's Shoes,../lyrics/professorgreen/deadmansshoes.html,Growing Up In Public,2014,PROFESSOR GREEN
Lullaby,../lyrics/professorgreen/lullaby.html,Growing Up In Public,2014,PROFESSOR GREEN
Little Secrets,../lyrics/professorgreen/littlesecrets.html,Growing Up In Public,2014,PROFESSOR GREEN
Name In Lights,../lyrics/professorgreen/nameinlights.html,Growing Up In Public,2014,PROFESSOR GREEN
Fast Life,../lyrics/professorgreen/fastlife.html,Growing Up In Public,2014,PROFESSOR GREEN
Can't Dance Without You,../lyrics/professorgreen/cantdancewithoutyou.html,Growing Up In Public,2014,PROFESSOR GREEN
Not Your Man,../lyrics/professorgreen/notyourman.html,Growing Up In Public,2014,PROFESSOR GREEN
In The Shadow Of The Sun,../lyrics/professorgreen/intheshadowofthesun.html,Growing Up In Public,2014,PROFESSOR GREEN
Growing Up In Public,../lyrics/professorgreen/growingupinpublic.html,Growing Up In Public,2014,PROFESSOR GREEN
Not Your Man (Remix),../lyrics/professorgreen/notyourmanremix.html,Growing Up In Public,2014,PROFESSOR GREEN
Hugs And Kisses,../lyrics/professorgreen/hugsandkisses.html,Growing Up In Public,2014,PROFESSOR GREEN
Are You Getting Enough?,../lyrics/professorgreen/areyougettingenough.html,Growing Up In Public,2014,PROFESSOR GREEN
,,Growing Up In Public,2014,PROFESSOR GREEN
Active,../lyrics/professorgreen/active.html,Back On The Market,2017,PROFESSOR GREEN
Back On The Market,../lyrics/professorgreen/backonthemarket.html,Back On The Market,2017,PROFESSOR GREEN
One Eye On The Door,../lyrics/professorgreen/oneeyeonthedoor.html,Back On The Market,2017,PROFESSOR GREEN
Before I Die,../lyrics/professorgreen/beforeidie.html,,,PROFESSOR GREEN
Coming To Get Me,../lyrics/professorgreen/comingtogetme.html,,,PROFESSOR GREEN
Falling Down,../lyrics/professorgreen/fallingdown439015.html,,,PROFESSOR GREEN
Hard Night Out,../lyrics/professorgreen/hardnightout.html,,,PROFESSOR GREEN
Upper Clapton Dance,../lyrics/professorgreen/upperclaptondance.html,,,PROFESSOR GREEN
