song,link,album,year,artist
Is Anybody There?,../lyrics/protestthehero/isanybodythere.html,Search For The Truth,2002,PROTEST THE HERO
Silent Genocide,../lyrics/protestthehero/silentgenocide.html,Search For The Truth,2002,PROTEST THE HERO
,,Search For The Truth,2002,PROTEST THE HERO
Red Stars Over The Battle Of The Cowshed,../lyrics/protestthehero/redstarsoverthebattleofthecowshed.html,A Calculated Use Of Sound,2003,PROTEST THE HERO
An Apathetic New World,../lyrics/protestthehero/anapatheticnewworld.html,A Calculated Use Of Sound,2003,PROTEST THE HERO
These Colours Don't Run,../lyrics/protestthehero/thesecoloursdontrun.html,A Calculated Use Of Sound,2003,PROTEST THE HERO
Fear And Loathing In Laramie,../lyrics/protestthehero/fearandloathinginlaramie.html,A Calculated Use Of Sound,2003,PROTEST THE HERO
Led Astray,../lyrics/protestthehero/ledastray.html,A Calculated Use Of Sound,2003,PROTEST THE HERO
I Am Dmitri Karamazov And The World Is My Father,../lyrics/protestthehero/iamdmitrikaramazovandtheworldismyfather.html,A Calculated Use Of Sound,2003,PROTEST THE HERO
,,A Calculated Use Of Sound,2003,PROTEST THE HERO
No Stars Over Bethlehem,../lyrics/protestthehero/nostarsoverbethlehem.html,Kezia,2005,PROTEST THE HERO
Heretics & Killers,../lyrics/protestthehero/hereticskillers.html,Kezia,2005,PROTEST THE HERO
Divinity Within,../lyrics/protestthehero/divinitywithin.html,Kezia,2005,PROTEST THE HERO
Bury The Hatchet,../lyrics/protestthehero/burythehatchet.html,Kezia,2005,PROTEST THE HERO
Nautical,../lyrics/protestthehero/nautical.html,Kezia,2005,PROTEST THE HERO
Blindfolds Aside,../lyrics/protestthehero/blindfoldsaside.html,Kezia,2005,PROTEST THE HERO
She Who Mars The Skin Of Gods,../lyrics/protestthehero/shewhomarstheskinofgods.html,Kezia,2005,PROTEST THE HERO
Turn Soonest To The Sea,../lyrics/protestthehero/turnsoonesttothesea.html,Kezia,2005,PROTEST THE HERO
The Divine Suicide Of K.,../lyrics/protestthehero/thedivinesuicideofk.html,Kezia,2005,PROTEST THE HERO
A Plateful Of Our Dead,../lyrics/protestthehero/aplatefulofourdead.html,Kezia,2005,PROTEST THE HERO
,,Kezia,2005,PROTEST THE HERO
Bloodmeat,../lyrics/protestthehero/bloodmeat.html,Fortress,2008,PROTEST THE HERO
The Dissentience,../lyrics/protestthehero/thedissentience.html,Fortress,2008,PROTEST THE HERO
Bone Marrow,../lyrics/protestthehero/bonemarrow.html,Fortress,2008,PROTEST THE HERO
Sequoia Throne,../lyrics/protestthehero/sequoiathrone.html,Fortress,2008,PROTEST THE HERO
Palms Read,../lyrics/protestthehero/palmsread.html,Fortress,2008,PROTEST THE HERO
Limb From Limb,../lyrics/protestthehero/limbfromlimb.html,Fortress,2008,PROTEST THE HERO
Spoils,../lyrics/protestthehero/spoils.html,Fortress,2008,PROTEST THE HERO
Wretch,../lyrics/protestthehero/wretch.html,Fortress,2008,PROTEST THE HERO
Goddess Bound,../lyrics/protestthehero/goddessbound.html,Fortress,2008,PROTEST THE HERO
Goddess Gagged,../lyrics/protestthehero/goddessgagged.html,Fortress,2008,PROTEST THE HERO
,,Fortress,2008,PROTEST THE HERO
C'est La Vie,../lyrics/protestthehero/cestlavie.html,Scurrilous,2011,PROTEST THE HERO
Hair-Trigger,../lyrics/protestthehero/hairtrigger.html,Scurrilous,2011,PROTEST THE HERO
Tandem,../lyrics/protestthehero/tandem.html,Scurrilous,2011,PROTEST THE HERO
Moonlight,../lyrics/protestthehero/moonlight.html,Scurrilous,2011,PROTEST THE HERO
Tapestry,../lyrics/protestthehero/tapestry.html,Scurrilous,2011,PROTEST THE HERO
Dunsel,../lyrics/protestthehero/dunsel.html,Scurrilous,2011,PROTEST THE HERO
The Reign Of Unending Terror,../lyrics/protestthehero/thereignofunendingterror.html,Scurrilous,2011,PROTEST THE HERO
Termites,../lyrics/protestthehero/termites.html,Scurrilous,2011,PROTEST THE HERO
Tongue-Splitter,../lyrics/protestthehero/tonguesplitter.html,Scurrilous,2011,PROTEST THE HERO
Sex Tapes,../lyrics/protestthehero/sextapes.html,Scurrilous,2011,PROTEST THE HERO
,,Scurrilous,2011,PROTEST THE HERO
Clarity,../lyrics/protestthehero/clarity.html,Volition,2013,PROTEST THE HERO
Drumhead Trial,../lyrics/protestthehero/drumheadtrial.html,Volition,2013,PROTEST THE HERO
Tilting Against Windmills,../lyrics/protestthehero/tiltingagainstwindmills.html,Volition,2013,PROTEST THE HERO
