song,link,album,year,artist
You're Gonna Get Yours,../lyrics/publicenemy/youregonnagetyours.html,Yo! Bum Rush The Show,1987,PUBLIC ENEMY
Sophisticated Bitch,../lyrics/publicenemy/sophisticatedbitch.html,Yo! Bum Rush The Show,1987,PUBLIC ENEMY
Miuzi Weighs A Ton,../lyrics/publicenemy/miuziweighsaton.html,Yo! Bum Rush The Show,1987,PUBLIC ENEMY
Timebomb,../lyrics/publicenemy/timebomb.html,Yo! Bum Rush The Show,1987,PUBLIC ENEMY
Too Much Posse,../lyrics/publicenemy/toomuchposse.html,Yo! Bum Rush The Show,1987,PUBLIC ENEMY
Righstarter (Message To A Black Man),../lyrics/publicenemy/righstartermessagetoablackman.html,Yo! Bum Rush The Show,1987,PUBLIC ENEMY
Public Enemy No. 1,../lyrics/publicenemy/publicenemyno1.html,Yo! Bum Rush The Show,1987,PUBLIC ENEMY
MPE,../lyrics/publicenemy/mpe.html,Yo! Bum Rush The Show,1987,PUBLIC ENEMY
Yo! Bumrush The Show,../lyrics/publicenemy/yobumrushtheshow.html,Yo! Bum Rush The Show,1987,PUBLIC ENEMY
Raise The Roof,../lyrics/publicenemy/raisetheroof.html,Yo! Bum Rush The Show,1987,PUBLIC ENEMY
Megablast,../lyrics/publicenemy/megablast.html,Yo! Bum Rush The Show,1987,PUBLIC ENEMY
Terminator X Speaks With His Hands,../lyrics/publicenemy/terminatorxspeakswithhishands.html,Yo! Bum Rush The Show,1987,PUBLIC ENEMY
,,Yo! Bum Rush The Show,1987,PUBLIC ENEMY
Bring The Noise,../lyrics/publicenemy/bringthenoise.html,It Takes A Nation Of Millions To Hold Us Back,1988,PUBLIC ENEMY
Don't Believe The Hype,../lyrics/publicenemy/dontbelievethehype.html,It Takes A Nation Of Millions To Hold Us Back,1988,PUBLIC ENEMY
Cold Lampin' With Flavor,../lyrics/publicenemy/coldlampinwithflavor.html,It Takes A Nation Of Millions To Hold Us Back,1988,PUBLIC ENEMY
Terminator X To The Edge Of Panic,../lyrics/publicenemy/terminatorxtotheedgeofpanic.html,It Takes A Nation Of Millions To Hold Us Back,1988,PUBLIC ENEMY
Mind Terrorist,../lyrics/publicenemy/mindterrorist.html,It Takes A Nation Of Millions To Hold Us Back,1988,PUBLIC ENEMY
Louder Than A Bomb,../lyrics/publicenemy/louderthanabomb.html,It Takes A Nation Of Millions To Hold Us Back,1988,PUBLIC ENEMY
"Caught, Can We Get A Witness?",../lyrics/publicenemy/caughtcanwegetawitness.html,It Takes A Nation Of Millions To Hold Us Back,1988,PUBLIC ENEMY
Show Em Whatcha Got,../lyrics/publicenemy/showemwhatchagot.html,It Takes A Nation Of Millions To Hold Us Back,1988,PUBLIC ENEMY
She Watch Channel Zero?!,../lyrics/publicenemy/shewatchchannelzero.html,It Takes A Nation Of Millions To Hold Us Back,1988,PUBLIC ENEMY
Night Of The Living Basheads,../lyrics/publicenemy/nightofthelivingbasheads.html,It Takes A Nation Of Millions To Hold Us Back,1988,PUBLIC ENEMY
Black Steel In The Hour Of Chaos,../lyrics/publicenemy/blacksteelinthehourofchaos.html,It Takes A Nation Of Millions To Hold Us Back,1988,PUBLIC ENEMY
Rebel Without A Pause,../lyrics/publicenemy/rebelwithoutapause.html,It Takes A Nation Of Millions To Hold Us Back,1988,PUBLIC ENEMY
Prophets Of Rage,../lyrics/publicenemy/prophetsofrage.html,It Takes A Nation Of Millions To Hold Us Back,1988,PUBLIC ENEMY
Reggie Jax,../lyrics/publicenemy/reggiejax.html,It Takes A Nation Of Millions To Hold Us Back,1988,PUBLIC ENEMY
Party For Your Right To Fight,../lyrics/publicenemy/partyforyourrighttofight.html,It Takes A Nation Of Millions To Hold Us Back,1988,PUBLIC ENEMY
,,It Takes A Nation Of Millions To Hold Us Back,1988,PUBLIC ENEMY
Brothers Gonna Work It Out,../lyrics/publicenemy/brothersgonnaworkitout.html,Fear Of A Black Planet,1990,PUBLIC ENEMY
911 Is A Joke,../lyrics/publicenemy/911isajoke.html,Fear Of A Black Planet,1990,PUBLIC ENEMY
Welcome To The Terrordome,../lyrics/publicenemy/welcometotheterrordome.html,Fear Of A Black Planet,1990,PUBLIC ENEMY
Meet The G That Killed Me,../lyrics/publicenemy/meetthegthatkilledme.html,Fear Of A Black Planet,1990,PUBLIC ENEMY
Pollywanacraka,../lyrics/publicenemy/pollywanacraka.html,Fear Of A Black Planet,1990,PUBLIC ENEMY
Anti-Nigger Machine,../lyrics/publicenemy/antiniggermachine.html,Fear Of A Black Planet,1990,PUBLIC ENEMY
Burn Hollywood Burn,../lyrics/publicenemy/burnhollywoodburn.html,Fear Of A Black Planet,1990,PUBLIC ENEMY
Power To The People,../lyrics/publicenemy/powertothepeople.html,Fear Of A Black Planet,1990,PUBLIC ENEMY
Who Stole The Soul,../lyrics/publicenemy/whostolethesoul.html,Fear Of A Black Planet,1990,PUBLIC ENEMY
Fear Of A Black Planet,../lyrics/publicenemy/fearofablackplanet.html,Fear Of A Black Planet,1990,PUBLIC ENEMY
Revolutionary Generation,../lyrics/publicenemy/revolutionarygeneration.html,Fear Of A Black Planet,1990,PUBLIC ENEMY
Can't Do Nuttin' For Ya Man,../lyrics/publicenemy/cantdonuttinforyaman.html,Fear Of A Black Planet,1990,PUBLIC ENEMY
B Side Wins Again,../lyrics/publicenemy/bsidewinsagain.html,Fear Of A Black Planet,1990,PUBLIC ENEMY
War At 33 1/3,../lyrics/publicenemy/warat3313.html,Fear Of A Black Planet,1990,PUBLIC ENEMY
