song,link,album,year,artist
Don't Cha,../lyrics/pussycatdolls/dontcha.html,PCD,2005,"PUSSYCAT DOLLS, THE"
Beep,../lyrics/pussycatdolls/beep.html,PCD,2005,"PUSSYCAT DOLLS, THE"
Wait A Minute,../lyrics/pussycatdolls/waitaminute.html,PCD,2005,"PUSSYCAT DOLLS, THE"
Stickwitu,../lyrics/pussycatdolls/stickwitu.html,PCD,2005,"PUSSYCAT DOLLS, THE"
Buttons,../lyrics/pussycatdolls/buttons.html,PCD,2005,"PUSSYCAT DOLLS, THE"
I Don't Need A Man,../lyrics/pussycatdolls/idontneedaman.html,PCD,2005,"PUSSYCAT DOLLS, THE"
Hot Stuff (I Want You Back),../lyrics/pussycatdolls/hotstuffiwantyouback.html,PCD,2005,"PUSSYCAT DOLLS, THE"
"How Many Times, How Many Lies",../lyrics/pussycatdolls/howmanytimeshowmanylies.html,PCD,2005,"PUSSYCAT DOLLS, THE"
Bite The Dust,../lyrics/pussycatdolls/bitethedust.html,PCD,2005,"PUSSYCAT DOLLS, THE"
Right Now,../lyrics/pussycatdolls/rightnow.html,PCD,2005,"PUSSYCAT DOLLS, THE"
Tainted Love / Where Did Our Love Go,../lyrics/pussycatdolls/taintedlovewheredidourlovego.html,PCD,2005,"PUSSYCAT DOLLS, THE"
Feelin' Good,../lyrics/pussycatdolls/feelingood.html,PCD,2005,"PUSSYCAT DOLLS, THE"
Sway,../lyrics/pussycatdolls/sway.html,PCD,2005,"PUSSYCAT DOLLS, THE"
Flirt,../lyrics/pussycatdolls/flirt.html,PCD,2005,"PUSSYCAT DOLLS, THE"
We Went As Far As We Felt Like Going,../lyrics/pussycatdolls/wewentasfaraswefeltlikegoing.html,PCD,2005,"PUSSYCAT DOLLS, THE"
,,PCD,2005,"PUSSYCAT DOLLS, THE"
When I Grow Up,../lyrics/pussycatdolls/whenigrowup.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Bottle Pop,../lyrics/pussycatdolls/bottlepop.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Whatcha Think About That,../lyrics/pussycatdolls/whatchathinkaboutthat.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
I Hate This Part,../lyrics/pussycatdolls/ihatethispart.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Takin' Over The World,../lyrics/pussycatdolls/takinovertheworld.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Out Of This Club,../lyrics/pussycatdolls/outofthisclub.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Who's Gonna Love You,../lyrics/pussycatdolls/whosgonnaloveyou.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Happily Never After,../lyrics/pussycatdolls/happilyneverafter.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Magic,../lyrics/pussycatdolls/magic.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Halo,../lyrics/pussycatdolls/halo.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
In Person,../lyrics/pussycatdolls/inperson.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Elevator,../lyrics/pussycatdolls/elevator.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Hush Hush,../lyrics/pussycatdolls/hushhush.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Love The Way You Love Me,../lyrics/pussycatdolls/lovethewayyouloveme.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Whatchamacallit,../lyrics/pussycatdolls/whatchamacallit.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
I'm Done,../lyrics/pussycatdolls/imdone.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
"Lights, Camera, Action",../lyrics/pussycatdolls/lightscameraaction.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
"Perhaps, Perhaps, Perhaps",../lyrics/pussycatdolls/perhapsperhapsperhaps.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Baby Love (J.R. Rotem Remix),../lyrics/pussycatdolls/babylovejrrotemremix.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
If I Was A Man,../lyrics/pussycatdolls/ifiwasaman.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Space,../lyrics/pussycatdolls/space.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Don't Wanna Fall In Love,../lyrics/pussycatdolls/dontwannafallinlove.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Played,../lyrics/pussycatdolls/played.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Until U Love U,../lyrics/pussycatdolls/untiluloveu.html,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
,,Doll Domination,2008,"PUSSYCAT DOLLS, THE"
Jai Ho! (You Are My Destiny),../lyrics/pussycatdolls/jaihoyouaremydestiny.html,The Mini Collection,2009,"PUSSYCAT DOLLS, THE"
When I Grow Up,../lyrics/pussycatdolls/whenigrowup.html,The Mini Collection,2009,"PUSSYCAT DOLLS, THE"
Whatcha Think About That,../lyrics/pussycatdolls/whatchathinkaboutthat.html,The Mini Collection,2009,"PUSSYCAT DOLLS, THE"
Painted Windows,../lyrics/pussycatdolls/paintedwindows.html,The Mini Collection,2009,"PUSSYCAT DOLLS, THE"
