song,link,album,year,artist
Radio Free Europe,../lyrics/rem/radiofreeeurope.html,Murmur,1983,R.E.M.
Pilgrimage,../lyrics/rem/pilgrimage.html,Murmur,1983,R.E.M.
Laughing,../lyrics/rem/laughing.html,Murmur,1983,R.E.M.
Talk About The Passion,../lyrics/rem/talkaboutthepassion.html,Murmur,1983,R.E.M.
Moral Kiosk,../lyrics/rem/moralkiosk.html,Murmur,1983,R.E.M.
Perfect Circle,../lyrics/rem/perfectcircle.html,Murmur,1983,R.E.M.
Catapult,../lyrics/rem/catapult.html,Murmur,1983,R.E.M.
Sitting Still,../lyrics/rem/sittingstill.html,Murmur,1983,R.E.M.
9-9,../lyrics/rem/99.html,Murmur,1983,R.E.M.
Shaking Through,../lyrics/rem/shakingthrough.html,Murmur,1983,R.E.M.
We Walk,../lyrics/rem/wewalk.html,Murmur,1983,R.E.M.
West Of The Fields,../lyrics/rem/westofthefields.html,Murmur,1983,R.E.M.
,,Murmur,1983,R.E.M.
Harborcoat,../lyrics/rem/harborcoat.html,Reckoning,1984,R.E.M.
Seven Chinese Brothers,../lyrics/rem/sevenchinesebrothers.html,Reckoning,1984,R.E.M.
So. Central Rain,../lyrics/rem/socentralrain.html,Reckoning,1984,R.E.M.
Pretty Persuasion,../lyrics/rem/prettypersuasion.html,Reckoning,1984,R.E.M.
Time After Time (AnnElise),../lyrics/rem/timeaftertimeannelise.html,Reckoning,1984,R.E.M.
Second Guessing,../lyrics/rem/secondguessing.html,Reckoning,1984,R.E.M.
Letter Never Sent,../lyrics/rem/letterneversent.html,Reckoning,1984,R.E.M.
Camera,../lyrics/rem/camera.html,Reckoning,1984,R.E.M.
(Don't Go Back To) Rockville,../lyrics/rem/dontgobacktorockville.html,Reckoning,1984,R.E.M.
Little America,../lyrics/rem/littleamerica.html,Reckoning,1984,R.E.M.
Wind Out,../lyrics/rem/windout.html,Reckoning,1984,R.E.M.
Moon River,../lyrics/rem/moonriver.html,Reckoning,1984,R.E.M.
,,Reckoning,1984,R.E.M.
Feeling Gravitys Pull,../lyrics/rem/feelinggravityspull.html,Fables Of The Reconstruction,1985,R.E.M.
Maps And Legends,../lyrics/rem/mapsandlegends.html,Fables Of The Reconstruction,1985,R.E.M.
Driver 8,../lyrics/rem/driver8.html,Fables Of The Reconstruction,1985,R.E.M.
Life And How To Live It,../lyrics/rem/lifeandhowtoliveit.html,Fables Of The Reconstruction,1985,R.E.M.
Old Man Kensey,../lyrics/rem/oldmankensey.html,Fables Of The Reconstruction,1985,R.E.M.
Can't Get There From Here,../lyrics/rem/cantgettherefromhere.html,Fables Of The Reconstruction,1985,R.E.M.
Green Grow The Rushes,../lyrics/rem/greengrowtherushes.html,Fables Of The Reconstruction,1985,R.E.M.
Kohoutek,../lyrics/rem/kohoutek.html,Fables Of The Reconstruction,1985,R.E.M.
Auctioneer (Another Engine),../lyrics/rem/auctioneeranotherengine.html,Fables Of The Reconstruction,1985,R.E.M.
Good Advices,../lyrics/rem/goodadvices.html,Fables Of The Reconstruction,1985,R.E.M.
Wendell Gee,../lyrics/rem/wendellgee.html,Fables Of The Reconstruction,1985,R.E.M.
,,Fables Of The Reconstruction,1985,R.E.M.
Begin The Begin,../lyrics/rem/beginthebegin.html,Lifes Rich Pageant,1986,R.E.M.
These Days,../lyrics/rem/thesedays.html,Lifes Rich Pageant,1986,R.E.M.
Fall On Me,../lyrics/rem/fallonme.html,Lifes Rich Pageant,1986,R.E.M.
Cuyahoga,../lyrics/rem/cuyahoga.html,Lifes Rich Pageant,1986,R.E.M.
Hyena,../lyrics/rem/hyena.html,Lifes Rich Pageant,1986,R.E.M.
Underneath The Bunker,../lyrics/rem/underneaththebunker.html,Lifes Rich Pageant,1986,R.E.M.
The Flowers Of Guatemala,../lyrics/rem/theflowersofguatemala.html,Lifes Rich Pageant,1986,R.E.M.
I Believe,../lyrics/rem/ibelieve.html,Lifes Rich Pageant,1986,R.E.M.
What If We Give It Away?,../lyrics/rem/whatifwegiveitaway.html,Lifes Rich Pageant,1986,R.E.M.
Just A Touch,../lyrics/rem/justatouch.html,Lifes Rich Pageant,1986,R.E.M.
Swan Swan H,../lyrics/rem/swanswanh.html,Lifes Rich Pageant,1986,R.E.M.
Superman,../lyrics/rem/superman.html,Lifes Rich Pageant,1986,R.E.M.
Tired Of Singing Trouble,../lyrics/rem/tiredofsingingtrouble.html,Lifes Rich Pageant,1986,R.E.M.
Toys In The Attic,../lyrics/rem/toysintheattic.html,Lifes Rich Pageant,1986,R.E.M.
Dream (All I Have To Do),../lyrics/rem/dreamallihavetodo.html,Lifes Rich Pageant,1986,R.E.M.
,,Lifes Rich Pageant,1986,R.E.M.
Crazy,../lyrics/rem/crazy.html,Dead Letter Office,1987,R.E.M.
There She Goes Again,../lyrics/rem/thereshegoesagain.html,Dead Letter Office,1987,R.E.M.
Burning Down,../lyrics/rem/burningdown.html,Dead Letter Office,1987,R.E.M.
Voice Of Harold,../lyrics/rem/voiceofharold.html,Dead Letter Office,1987,R.E.M.
Burning Hell,../lyrics/rem/burninghell.html,Dead Letter Office,1987,R.E.M.
Toys In The Attic,../lyrics/rem/toysintheattic.html,Dead Letter Office,1987,R.E.M.
Windout,../lyrics/rem/windout.html,Dead Letter Office,1987,R.E.M.
Ages Of You,../lyrics/rem/agesofyou.html,Dead Letter Office,1987,R.E.M.
Pale Blue Eyes,../lyrics/rem/paleblueeyes.html,Dead Letter Office,1987,R.E.M.
Bandwagon,../lyrics/rem/bandwagon.html,Dead Letter Office,1987,R.E.M.
Femme Fatale,../lyrics/rem/femmefatale.html,Dead Letter Office,1987,R.E.M.
Walters Theme,../lyrics/rem/walterstheme.html,Dead Letter Office,1987,R.E.M.
King Of The Road,../lyrics/rem/kingoftheroad.html,Dead Letter Office,1987,R.E.M.
"Wolves, Lower",../lyrics/rem/wolveslower.html,Dead Letter Office,1987,R.E.M.
Gardening At Night,../lyrics/rem/gardeningatnight.html,Dead Letter Office,1987,R.E.M.
Carnival Of Sorts (Box Cars),../lyrics/rem/carnivalofsortsboxcars.html,Dead Letter Office,1987,R.E.M.
"1,000,000",../lyrics/rem/1000000.html,Dead Letter Office,1987,R.E.M.
Stumble,../lyrics/rem/stumble.html,Dead Letter Office,1987,R.E.M.
All The Right Friends,../lyrics/rem/alltherightfriends185556.html,Dead Letter Office,1987,R.E.M.
,,Dead Letter Office,1987,R.E.M.
Finest Worksong,../lyrics/rem/finestworksong.html,Document,1987,R.E.M.
Welcome To The Occupation,../lyrics/rem/welcometotheoccupation.html,Document,1987,R.E.M.
Exhuming McCarthy,../lyrics/rem/exhumingmccarthy.html,Document,1987,R.E.M.
Disturbance At The Heron House,../lyrics/rem/disturbanceattheheronhouse.html,Document,1987,R.E.M.
Strange,../lyrics/rem/strange.html,Document,1987,R.E.M.
It's The End Of The World As We Know It (And I Feel Fine),../lyrics/rem/itstheendoftheworldasweknowitandifeelfine.html,Document,1987,R.E.M.
The One I Love,../lyrics/rem/theoneilove.html,Document,1987,R.E.M.
Fireplace,../lyrics/rem/fireplace.html,Document,1987,R.E.M.
Lightnin' Hopkins,../lyrics/rem/lightninhopkins.html,Document,1987,R.E.M.
King Of Birds,../lyrics/rem/kingofbirds.html,Document,1987,R.E.M.
Oddfellows Local 151,../lyrics/rem/oddfellowslocal151.html,Document,1987,R.E.M.
,,Document,1987,R.E.M.
Pop Song 89,../lyrics/rem/popsong89.html,Green,1988,R.E.M.
Get Up,../lyrics/rem/getup.html,Green,1988,R.E.M.
You Are The Everything,../lyrics/rem/youaretheeverything.html,Green,1988,R.E.M.
Stand,../lyrics/rem/stand185498.html,Green,1988,R.E.M.
World Leader Pretend,../lyrics/rem/worldleaderpretend.html,Green,1988,R.E.M.
The Wrong Child,../lyrics/rem/thewrongchild.html,Green,1988,R.E.M.
Orange Crush,../lyrics/rem/orangecrush185501.html,Green,1988,R.E.M.
Turn You Inside-Out,../lyrics/rem/turnyouinsideout.html,Green,1988,R.E.M.
Hairshirt,../lyrics/rem/hairshirt.html,Green,1988,R.E.M.
I Remember California,../lyrics/rem/iremembercalifornia.html,Green,1988,R.E.M.
Untitled,../lyrics/rem/untitled.html,Green,1988,R.E.M.
,,Green,1988,R.E.M.
Radio Song,../lyrics/rem/radiosong.html,Out Of Time,1991,R.E.M.
Losing My Religion,../lyrics/rem/losingmyreligion.html,Out Of Time,1991,R.E.M.
Low,../lyrics/rem/low.html,Out Of Time,1991,R.E.M.
Near Wild Heaven,../lyrics/rem/nearwildheaven.html,Out Of Time,1991,R.E.M.
Shiny Happy People,../lyrics/rem/shinyhappypeople.html,Out Of Time,1991,R.E.M.
Belong,../lyrics/rem/belong.html,Out Of Time,1991,R.E.M.
Half A World Away,../lyrics/rem/halfaworldaway.html,Out Of Time,1991,R.E.M.
Texarkana,../lyrics/rem/texarkana.html,Out Of Time,1991,R.E.M.
Country Feedback,../lyrics/rem/countryfeedback.html,Out Of Time,1991,R.E.M.
Me In Honey,../lyrics/rem/meinhoney.html,Out Of Time,1991,R.E.M.
,,Out Of Time,1991,R.E.M.
Drive,../lyrics/rem/drive.html,Automatic For The People,1992,R.E.M.
Try Not To Breathe,../lyrics/rem/trynottobreathe.html,Automatic For The People,1992,R.E.M.
The Sidewinder Sleeps Tonite,../lyrics/rem/thesidewindersleepstonite.html,Automatic For The People,1992,R.E.M.
Everybody Hurts,../lyrics/rem/everybodyhurts.html,Automatic For The People,1992,R.E.M.
Sweetness Follows,../lyrics/rem/sweetnessfollows.html,Automatic For The People,1992,R.E.M.
Monty Got A Raw Deal,../lyrics/rem/montygotarawdeal.html,Automatic For The People,1992,R.E.M.
Ignoreland,../lyrics/rem/ignoreland.html,Automatic For The People,1992,R.E.M.
Star Me Kitten,../lyrics/rem/starmekitten.html,Automatic For The People,1992,R.E.M.
Man On The Moon,../lyrics/rem/manonthemoon.html,Automatic For The People,1992,R.E.M.
Nightswimming,../lyrics/rem/nightswimming.html,Automatic For The People,1992,R.E.M.
