song,link,album,year,artist
Peace & Blessings,../lyrics/raef/peaceblessings.html,The Path,2014,RAEF
The Bright Moon (Tala'al Badru),../lyrics/raef/thebrightmoontalaalbadru.html,The Path,2014,RAEF
So Real,../lyrics/raef/soreal.html,The Path,2014,RAEF
You Are The One,../lyrics/raef/youaretheone.html,The Path,2014,RAEF
Home,../lyrics/raef/home.html,The Path,2014,RAEF
No One Knows But Me,../lyrics/raef/nooneknowsbutme.html,The Path,2014,RAEF
The Path,../lyrics/raef/thepath.html,The Path,2014,RAEF
Mawlaya,../lyrics/raef/mawlaya.html,The Path,2014,RAEF
Call On Him,../lyrics/raef/callonhim.html,The Path,2014,RAEF
Freedom Ain't Free,../lyrics/raef/freedomaintfree.html,The Path,2014,RAEF
Dream,../lyrics/raef/dream.html,The Path,2014,RAEF
You're There,../lyrics/raef/yourethere.html,The Path,2014,RAEF
(Rabbee) I'm Yours,../lyrics/raef/rabbeeimyours.html,,,RAEF
It's Jumuah (Friday),../lyrics/raef/itsjumuahfriday.html,,,RAEF
Your Mercy,../lyrics/raef/yourmercy.html,,,RAEF
