song,link,album,year,artist
Empire Of Our Own,../lyrics/raign/empireofourown.html,Knocking On Heavens Door,2015,RAIGN
Knocking On Heavens Door,../lyrics/raign/knockingonheavensdoor.html,Knocking On Heavens Door,2015,RAIGN
Don't Let Me Go,../lyrics/raign/dontletmego.html,Knocking On Heavens Door,2015,RAIGN
Wicked Games,../lyrics/raign/wickedgames.html,Knocking On Heavens Door,2015,RAIGN
,,Knocking On Heavens Door,2015,RAIGN
Kiss Me A Thousand Times,../lyrics/raign/kissmeathousandtimes.html,When It's All Over,2016,RAIGN
When It's All Over,../lyrics/raign/whenitsallover.html,When It's All Over,2016,RAIGN
Walk On Fire,../lyrics/raign/walkonfire.html,When It's All Over,2016,RAIGN
Heaven Help Me,../lyrics/raign/heavenhelpme.html,When It's All Over,2016,RAIGN
Shine,../lyrics/raign/shine.html,When It's All Over,2016,RAIGN
Don't Let Me Go (Acoustic),../lyrics/raign/dontletmegoacoustic.html,When It's All Over,2016,RAIGN
Raise The Dead,../lyrics/raign/raisethedead.html,,,RAIGN
