song,link,album,year,artist
Melangkah,../lyrics/raisa/melangkah.html,Raisa,2011,RAISA
Serba Salah,../lyrics/raisa/serbasalah.html,Raisa,2011,RAISA
Cinta Sempurna,../lyrics/raisa/cintasempurna.html,Raisa,2011,RAISA
Inginku,../lyrics/raisa/inginku.html,Raisa,2011,RAISA
Apalah (Arti Menunggu),../lyrics/raisa/apalahartimenunggu.html,Raisa,2011,RAISA
Bersama,../lyrics/raisa/bersama.html,Raisa,2011,RAISA
Could It Be,../lyrics/raisa/coulditbe.html,Raisa,2011,RAISA
Terjebak Nostalgia,../lyrics/raisa/terjebaknostalgia.html,Raisa,2011,RAISA
Pergilah,../lyrics/raisa/pergilah.html,Raisa,2011,RAISA
,,Raisa,2011,RAISA
Bersinar,../lyrics/raisa/bersinar.html,Heart To Heart,2013,RAISA
Hari Bahagia,../lyrics/raisa/haribahagia.html,Heart To Heart,2013,RAISA
Pemeran Utama,../lyrics/raisa/pemeranutama.html,Heart To Heart,2013,RAISA
Teka - Teki,../lyrics/raisa/tekateki.html,Heart To Heart,2013,RAISA
Let Me Be (I Do),../lyrics/raisa/letmebeido.html,Heart To Heart,2013,RAISA
Katakan!,../lyrics/raisa/katakan.html,Heart To Heart,2013,RAISA
LDR,../lyrics/raisa/ldr.html,Heart To Heart,2013,RAISA
Bye Bye,../lyrics/raisa/byebye.html,Heart To Heart,2013,RAISA
Mantan Terindah,../lyrics/raisa/mantanterindah.html,Heart To Heart,2013,RAISA
,,Heart To Heart,2013,RAISA
Kali Kedua,../lyrics/raisa/kalikedua.html,Handmade,2016,RAISA
Percayalah,../lyrics/raisa/percayalah.html,Handmade,2016,RAISA
Sang Rembulan,../lyrics/raisa/sangrembulan.html,Handmade,2016,RAISA
Tentang Cinta,../lyrics/raisa/tentangcinta.html,Handmade,2016,RAISA
Jatuh Hati,../lyrics/raisa/jatuhhati.html,Handmade,2016,RAISA
Letting You Go,../lyrics/raisa/lettingyougo.html,Handmade,2016,RAISA
Usai Di Sini,../lyrics/raisa/usaidisini.html,Handmade,2016,RAISA
Love You Longer,../lyrics/raisa/loveyoulonger.html,Handmade,2016,RAISA
Biarkanlah,../lyrics/raisa/biarkanlah.html,Handmade,2016,RAISA
Nyawa Dan Harapan,../lyrics/raisa/nyawadanharapan.html,Handmade,2016,RAISA
Bercahaya,../lyrics/raisa/bercahaya.html,,,RAISA
Firasat,../lyrics/raisa/firasat.html,,,RAISA
Mimpi Adalah Harapan Hati,../lyrics/raisa/mimpiadalahharapanhati.html,,,RAISA
