song,link,album,year,artist
Ojitos SoÃ±adores,../lyrics/ramonayala/ojitossoadores.html,,,RAMON AYALA
Ella,../lyrics/ramonayala/ella.html,,,RAMON AYALA
,,,,RAMON AYALA
Por El Amor A Mi Madre,../lyrics/ramonayala/porelamoramimadre.html,,,RAMON AYALA
,,,,RAMON AYALA
Ojitos SoÃ±adores,../lyrics/ramonayala/ojitossoadores.html,Somos NorteÃ±os...Total!,1997,RAMON AYALA
Alla,../lyrics/ramonayala/alla.html,Somos NorteÃ±os...Total!,1997,RAMON AYALA
Porque,../lyrics/ramonayala/porque.html,Somos NorteÃ±os...Total!,1997,RAMON AYALA
El Espejo,../lyrics/ramonayala/elespejo.html,Somos NorteÃ±os...Total!,1997,RAMON AYALA
,,Somos NorteÃ±os...Total!,1997,RAMON AYALA
Mujer Paseada,../lyrics/ramonayala/mujerpaseada.html,RamÃ³n Ayala,1998,RAMON AYALA
CallejÃ³n Sin Salida,../lyrics/ramonayala/callejnsinsalida.html,RamÃ³n Ayala,1998,RAMON AYALA
,,RamÃ³n Ayala,1998,RAMON AYALA
Mujer Paseada,../lyrics/ramonayala/mujerpaseada.html,Puros Tiros,2000,RAMON AYALA
CallejÃ³n Sin Salida,../lyrics/ramonayala/callejnsinsalida.html,Puros Tiros,2000,RAMON AYALA
,,Puros Tiros,2000,RAMON AYALA
Mi Muchachita,../lyrics/ramonayala/mimuchachita.html,Quemame Los Ojos,2000,RAMON AYALA
"Loco, Loco",../lyrics/ramonayala/locoloco.html,Quemame Los Ojos,2000,RAMON AYALA
Amigos Del Alma,../lyrics/ramonayala/amigosdelalma.html,Quemame Los Ojos,2000,RAMON AYALA
,,Quemame Los Ojos,2000,RAMON AYALA
Y Bailando,../lyrics/ramonayala/ybailando.html,Titere En Tus Manos,2003,RAMON AYALA
La Hoja Y Yo,../lyrics/ramonayala/lahojayyo.html,Titere En Tus Manos,2003,RAMON AYALA
Casa De Locos,../lyrics/ramonayala/casadelocos.html,Titere En Tus Manos,2003,RAMON AYALA
A Mi Mejor Amigo,../lyrics/ramonayala/amimejoramigo.html,Titere En Tus Manos,2003,RAMON AYALA
Dama Y Cortesana,../lyrics/ramonayala/damaycortesana.html,Titere En Tus Manos,2003,RAMON AYALA
El Invicto,../lyrics/ramonayala/elinvicto.html,Titere En Tus Manos,2003,RAMON AYALA
,,Titere En Tus Manos,2003,RAMON AYALA
Te Equivocaste,../lyrics/ramonayala/teequivocaste.html,,,RAMON AYALA
Mujer Paseada,../lyrics/ramonayala/mujerpaseada.html,,,RAMON AYALA
,,,,RAMON AYALA
Lo Lindo De Ti,../lyrics/ramonayala/lolindodeti.html,,,RAMON AYALA
,,,,RAMON AYALA
Ya No Llores,../lyrics/ramonayala/yanollores.html,Ya No Llores,2005,RAMON AYALA
Como Una Fantasma,../lyrics/ramonayala/comounafantasma.html,Ya No Llores,2005,RAMON AYALA
,,Ya No Llores,2005,RAMON AYALA
Ahi Perdimos Todos,../lyrics/ramonayala/ahiperdimostodos.html,,,RAMON AYALA
,,,,RAMON AYALA
Baraja De Oro,../lyrics/ramonayala/barajadeoro.html,,,RAMON AYALA
El Disgusto,../lyrics/ramonayala/eldisgusto.html,,,RAMON AYALA
,,,,RAMON AYALA
CallejÃ³n Sin Salida,../lyrics/ramonayala/callejnsinsalida.html,,,RAMON AYALA
,,,,RAMON AYALA
Tragos Amargos,../lyrics/ramonayala/tragosamargos.html,Cruzando Fronteras,2007,RAMON AYALA
Bonita Finca De Adobe,../lyrics/ramonayala/bonitafincadeadobe.html,Cruzando Fronteras,2007,RAMON AYALA
Lagrimas De Mi Barrio,../lyrics/ramonayala/lagrimasdemibarrio.html,Cruzando Fronteras,2007,RAMON AYALA
Fijate Bien,../lyrics/ramonayala/fijatebien.html,Cruzando Fronteras,2007,RAMON AYALA
Amor Vaquero,../lyrics/ramonayala/amorvaquero.html,Cruzando Fronteras,2007,RAMON AYALA
Un PuÃ±o De Tierra,../lyrics/ramonayala/unpuodetierra.html,Cruzando Fronteras,2007,RAMON AYALA
Cuatro Carreras,../lyrics/ramonayala/cuatrocarreras.html,Cruzando Fronteras,2007,RAMON AYALA
Entierrenme Cantando,../lyrics/ramonayala/entierrenmecantando.html,Cruzando Fronteras,2007,RAMON AYALA
Dos Hojas Sin Rumbo,../lyrics/ramonayala/doshojassinrumbo.html,Cruzando Fronteras,2007,RAMON AYALA
Rinconcito En El Cielo,../lyrics/ramonayala/rinconcitoenelcielo.html,Cruzando Fronteras,2007,RAMON AYALA
Del Otro Lado Del Porton,../lyrics/ramonayala/delotroladodelporton.html,Cruzando Fronteras,2007,RAMON AYALA
Me Sacaron Del Tenampa,../lyrics/ramonayala/mesacarondeltenampa.html,Cruzando Fronteras,2007,RAMON AYALA
Mandame A La Tumba,../lyrics/ramonayala/mandamealatumba.html,Cruzando Fronteras,2007,RAMON AYALA
Quemame Los Ojos,../lyrics/ramonayala/quemamelosojos.html,Cruzando Fronteras,2007,RAMON AYALA
,,Cruzando Fronteras,2007,RAMON AYALA
Ay Que Pegarle La Mujer,../lyrics/ramonayala/ayquepegarlelamujer.html,Accordion Hero,2008,RAMON AYALA
El Tejano Enamorado,../lyrics/ramonayala/eltejanoenamorado.html,Accordion Hero,2008,RAMON AYALA
Fijate Bien,../lyrics/ramonayala/fijatebien.html,Accordion Hero,2008,RAMON AYALA
"Chiquilla, Loca Y Traviesa",../lyrics/ramonayala/chiquillalocaytraviesa.html,Accordion Hero,2008,RAMON AYALA
Hasta Que Te Perdi,../lyrics/ramonayala/hastaqueteperdi.html,Accordion Hero,2008,RAMON AYALA
Cuatro Carreras,../lyrics/ramonayala/cuatrocarreras.html,Accordion Hero,2008,RAMON AYALA
Bailando Vaquero,../lyrics/ramonayala/bailandovaquero.html,Accordion Hero,2008,RAMON AYALA
Rinconcito En El Cielo,../lyrics/ramonayala/rinconcitoenelcielo.html,Accordion Hero,2008,RAMON AYALA
,,Accordion Hero,2008,RAMON AYALA
PosadeÃ±a Linda,../lyrics/ramonayala/posadealinda.html,Donde La Selva Y El RÃ­o,2008,RAMON AYALA
2 Monedas,../lyrics/ramonayala/2monedas.html,,,RAMON AYALA
3000 Cigarros,../lyrics/ramonayala/3000cigarros.html,,,RAMON AYALA
6 Pies Abajo,../lyrics/ramonayala/6piesabajo.html,,,RAMON AYALA
Aferrado A Ti,../lyrics/ramonayala/aferradoati.html,,,RAMON AYALA
Ahora Si Estoy Solo En El Mundo,../lyrics/ramonayala/ahorasiestoysoloenelmundo.html,,,RAMON AYALA
Alma Gemela,../lyrics/ramonayala/almagemela.html,,,RAMON AYALA
