song,link,album,year,artist
Ain't That Love,../lyrics/raycharles/aintthatlove.html,Ray Charles,1957,RAY CHARLES
Drown In My Own Tears,../lyrics/raycharles/drowninmyowntears.html,Ray Charles,1957,RAY CHARLES
Come Back Baby,../lyrics/raycharles/comebackbaby.html,Ray Charles,1957,RAY CHARLES
Sinner's Prayer,../lyrics/raycharles/sinnersprayer.html,Ray Charles,1957,RAY CHARLES
Funny (But I Still Love You),../lyrics/raycharles/funnybutistillloveyou.html,Ray Charles,1957,RAY CHARLES
Losing Hand,../lyrics/raycharles/losinghand.html,Ray Charles,1957,RAY CHARLES
A Fool For You,../lyrics/raycharles/afoolforyou.html,Ray Charles,1957,RAY CHARLES
"Hallelujah, I Love Her So",../lyrics/raycharles/hallelujahiloveherso.html,Ray Charles,1957,RAY CHARLES
Mess Around,../lyrics/raycharles/messaround.html,Ray Charles,1957,RAY CHARLES
This Little Girl Of Mine,../lyrics/raycharles/thislittlegirlofmine.html,Ray Charles,1957,RAY CHARLES
Don't You Know,../lyrics/raycharles/dontyouknow.html,Ray Charles,1957,RAY CHARLES
Mary Ann,../lyrics/raycharles/maryann.html,Ray Charles,1957,RAY CHARLES
Greenbacks,../lyrics/raycharles/greenbacks.html,Ray Charles,1957,RAY CHARLES
I Got A Woman,../lyrics/raycharles/igotawoman.html,Ray Charles,1957,RAY CHARLES
,,Ray Charles,1957,RAY CHARLES
Black Coffee,../lyrics/raycharles/blackcoffee.html,The Great Ray Charles,1957,RAY CHARLES
Doodlin',../lyrics/raycharles/doodlin.html,The Great Ray Charles,1957,RAY CHARLES
I Surrender Dear,../lyrics/raycharles/isurrenderdear.html,The Great Ray Charles,1957,RAY CHARLES
Undecided,../lyrics/raycharles/undecided.html,The Great Ray Charles,1957,RAY CHARLES
,,The Great Ray Charles,1957,RAY CHARLES
What Would I Do Without You,../lyrics/raycharles/whatwouldidowithoutyou.html,Yes Indeed!,1958,RAY CHARLES
It's Alright,../lyrics/raycharles/itsalright.html,Yes Indeed!,1958,RAY CHARLES
I Want To Know,../lyrics/raycharles/iwanttoknow.html,Yes Indeed!,1958,RAY CHARLES
Yes Indeed,../lyrics/raycharles/yesindeed.html,Yes Indeed!,1958,RAY CHARLES
Get On The Right Track Baby,../lyrics/raycharles/getontherighttrackbaby.html,Yes Indeed!,1958,RAY CHARLES
Talkin' About You,../lyrics/raycharles/talkinaboutyou.html,Yes Indeed!,1958,RAY CHARLES
Swanee River Rock (Talkin' 'Bout That River),../lyrics/raycharles/swaneeriverrocktalkinboutthatriver.html,Yes Indeed!,1958,RAY CHARLES
Lonely Avenue,../lyrics/raycharles/lonelyavenue.html,Yes Indeed!,1958,RAY CHARLES
Blackjack,../lyrics/raycharles/blackjack.html,Yes Indeed!,1958,RAY CHARLES
The Sun's Gonna Shine Again,../lyrics/raycharles/thesunsgonnashineagain.html,Yes Indeed!,1958,RAY CHARLES
I Had A Dream,../lyrics/raycharles/ihadadream.html,Yes Indeed!,1958,RAY CHARLES
I Want A Little Girl,../lyrics/raycharles/iwantalittlegirl.html,Yes Indeed!,1958,RAY CHARLES
Heartbreaker,../lyrics/raycharles/heartbreaker.html,Yes Indeed!,1958,RAY CHARLES
Leave My Woman Alone,../lyrics/raycharles/leavemywomanalone.html,Yes Indeed!,1958,RAY CHARLES
,,Yes Indeed!,1958,RAY CHARLES
What'd I Say (Parts 1 & 2),../lyrics/raycharles/whatdisayparts12.html,What'd I Say,1959,RAY CHARLES
Jumpin' In The Morning,../lyrics/raycharles/jumpininthemorning.html,What'd I Say,1959,RAY CHARLES
You Be My Baby,../lyrics/raycharles/youbemybaby.html,What'd I Say,1959,RAY CHARLES
Tell Me How Do You Feel,../lyrics/raycharles/tellmehowdoyoufeel.html,What'd I Say,1959,RAY CHARLES
What Kind Of Man Are You,../lyrics/raycharles/whatkindofmanareyou.html,What'd I Say,1959,RAY CHARLES
Roll With My Baby,../lyrics/raycharles/rollwithmybaby.html,What'd I Say,1959,RAY CHARLES
Tell All The World About You,../lyrics/raycharles/tellalltheworldaboutyou.html,What'd I Say,1959,RAY CHARLES
My Bonnie,../lyrics/raycharles/mybonnie.html,What'd I Say,1959,RAY CHARLES
That's Enough,../lyrics/raycharles/thatsenough.html,What'd I Say,1959,RAY CHARLES
,,What'd I Say,1959,RAY CHARLES
Let The Good Times Roll,../lyrics/raycharles/letthegoodtimesroll.html,The Genius Of Ray Charles,1959,RAY CHARLES
It Had To Be You,../lyrics/raycharles/ithadtobeyou.html,The Genius Of Ray Charles,1959,RAY CHARLES
Alexander's Ragtime Band,../lyrics/raycharles/alexandersragtimeband.html,The Genius Of Ray Charles,1959,RAY CHARLES
When Your Lover Has Gone,../lyrics/raycharles/whenyourloverhasgone.html,The Genius Of Ray Charles,1959,RAY CHARLES
Deed I Do,../lyrics/raycharles/deedido.html,The Genius Of Ray Charles,1959,RAY CHARLES
Just For A Thrill,../lyrics/raycharles/justforathrill.html,The Genius Of Ray Charles,1959,RAY CHARLES
You Won't Let Me Go,../lyrics/raycharles/youwontletmego.html,The Genius Of Ray Charles,1959,RAY CHARLES
Tell Me You'll Wait For Me,../lyrics/raycharles/tellmeyoullwaitforme.html,The Genius Of Ray Charles,1959,RAY CHARLES
Don't Let The Sun Catch You Cryin',../lyrics/raycharles/dontletthesuncatchyoucryin.html,The Genius Of Ray Charles,1959,RAY CHARLES
Am I Blue,../lyrics/raycharles/amiblue.html,The Genius Of Ray Charles,1959,RAY CHARLES
Come Rain Or Come Shine,../lyrics/raycharles/comerainorcomeshine.html,The Genius Of Ray Charles,1959,RAY CHARLES
,,The Genius Of Ray Charles,1959,RAY CHARLES
Alabamy Bound,../lyrics/raycharles/alabamybound.html,The Genius Hits The Road,1960,RAY CHARLES
Georgia On My Mind,../lyrics/raycharles/georgiaonmymind.html,The Genius Hits The Road,1960,RAY CHARLES
Basin Street Blues,../lyrics/raycharles/basinstreetblues.html,The Genius Hits The Road,1960,RAY CHARLES
Mississippi Mud,../lyrics/raycharles/mississippimud.html,The Genius Hits The Road,1960,RAY CHARLES
Moonlight In Vermont,../lyrics/raycharles/moonlightinvermont.html,The Genius Hits The Road,1960,RAY CHARLES
New York's My Home,../lyrics/raycharles/newyorksmyhome.html,The Genius Hits The Road,1960,RAY CHARLES
"California, Here I Come",../lyrics/raycharles/californiahereicome.html,The Genius Hits The Road,1960,RAY CHARLES
Moon Over Miami,../lyrics/raycharles/moonovermiami.html,The Genius Hits The Road,1960,RAY CHARLES
Deep In The Heart Of Texas,../lyrics/raycharles/deepintheheartoftexas.html,The Genius Hits The Road,1960,RAY CHARLES
Carry Me Back To Old Virginny,../lyrics/raycharles/carrymebacktooldvirginny.html,The Genius Hits The Road,1960,RAY CHARLES
Chattanooga Choo Choo,../lyrics/raycharles/chattanoogachoochoo.html,The Genius Hits The Road,1960,RAY CHARLES
Sentimental Journey,../lyrics/raycharles/sentimentaljourney.html,The Genius Hits The Road,1960,RAY CHARLES
Hit The Road Jack,../lyrics/raycharles/hittheroadjack.html,The Genius Hits The Road,1960,RAY CHARLES
Rainy Night In Georgia,../lyrics/raycharles/rainynightingeorgia.html,The Genius Hits The Road,1960,RAY CHARLES
I'm Movin' On,../lyrics/raycharles/immovinon.html,The Genius Hits The Road,1960,RAY CHARLES
,,The Genius Hits The Road,1960,RAY CHARLES
Hardhearted Hannah,../lyrics/raycharles/hardheartedhannah.html,Dedicated To You,1961,RAY CHARLES
Nancy (With The Laughing Face),../lyrics/raycharles/nancywiththelaughingface.html,Dedicated To You,1961,RAY CHARLES
Margie,../lyrics/raycharles/margie.html,Dedicated To You,1961,RAY CHARLES
Ruby,../lyrics/raycharles/ruby.html,Dedicated To You,1961,RAY CHARLES
Rosetta,../lyrics/raycharles/rosetta.html,Dedicated To You,1961,RAY CHARLES
Stella By Starlight,../lyrics/raycharles/stellabystarlight.html,Dedicated To You,1961,RAY CHARLES
Cherry,../lyrics/raycharles/cherry.html,Dedicated To You,1961,RAY CHARLES
Candy,../lyrics/raycharles/candy.html,Dedicated To You,1961,RAY CHARLES
Marie,../lyrics/raycharles/marie.html,Dedicated To You,1961,RAY CHARLES
Diane,../lyrics/raycharles/diane.html,Dedicated To You,1961,RAY CHARLES
Sweet Georgia Brown,../lyrics/raycharles/sweetgeorgiabrown.html,Dedicated To You,1961,RAY CHARLES
,,Dedicated To You,1961,RAY CHARLES
Early In The Morning,../lyrics/raycharles/earlyinthemorning.html,The Genius Sings The Blues,1961,RAY CHARLES
Hard Times (No One Knows Better Than I),../lyrics/raycharles/hardtimesnooneknowsbetterthani.html,The Genius Sings The Blues,1961,RAY CHARLES
The Midnight Hour,../lyrics/raycharles/themidnighthour.html,The Genius Sings The Blues,1961,RAY CHARLES
(Night Time Is) The Right Time,../lyrics/raycharles/nighttimeistherighttime.html,The Genius Sings The Blues,1961,RAY CHARLES
Feelin' Sad,../lyrics/raycharles/feelinsad.html,The Genius Sings The Blues,1961,RAY CHARLES
Ray's Blues,../lyrics/raycharles/raysblues.html,The Genius Sings The Blues,1961,RAY CHARLES
I'm Movin' On,../lyrics/raycharles/immovinon.html,The Genius Sings The Blues,1961,RAY CHARLES
I Believe To My Soul,../lyrics/raycharles/ibelievetomysoul.html,The Genius Sings The Blues,1961,RAY CHARLES
Nobody Cares,../lyrics/raycharles/nobodycares.html,The Genius Sings The Blues,1961,RAY CHARLES
Mr. Charles' Blues,../lyrics/raycharles/mrcharlesblues.html,The Genius Sings The Blues,1961,RAY CHARLES
Some Day Baby,../lyrics/raycharles/somedaybaby.html,The Genius Sings The Blues,1961,RAY CHARLES
I Wonder Who,../lyrics/raycharles/iwonderwho.html,The Genius Sings The Blues,1961,RAY CHARLES
,,The Genius Sings The Blues,1961,RAY CHARLES
Busted,../lyrics/raycharles/busted.html,Ingredients In A Recipe For Soul,1963,RAY CHARLES
Where Can I Go?,../lyrics/raycharles/wherecanigo.html,Ingredients In A Recipe For Soul,1963,RAY CHARLES
Born To Be Blue,../lyrics/raycharles/borntobeblue.html,Ingredients In A Recipe For Soul,1963,RAY CHARLES
That Lucky Old Sun,../lyrics/raycharles/thatluckyoldsun.html,Ingredients In A Recipe For Soul,1963,RAY CHARLES
Ol' Man River,../lyrics/raycharles/olmanriver.html,Ingredients In A Recipe For Soul,1963,RAY CHARLES
