song,link,album,year,artist
Feel The Funk I...(Intro),../lyrics/rayj/feelthefunkiintro.html,Everything You Want,1997,RAY J
Let It Go,../lyrics/rayj/letitgo.html,Everything You Want,1997,RAY J
Everything You Want,../lyrics/rayj/everythingyouwant.html,Everything You Want,1997,RAY J
Good Thangs,../lyrics/rayj/goodthangs.html,Everything You Want,1997,RAY J
The Promise,../lyrics/rayj/thepromise.html,Everything You Want,1997,RAY J
Changes,../lyrics/rayj/changes.html,Everything You Want,1997,RAY J
Thank You,../lyrics/rayj/thankyou.html,Everything You Want,1997,RAY J
"Can't Run, Can't Hide",../lyrics/rayj/cantruncanthide.html,Everything You Want,1997,RAY J
Love You From My Heart,../lyrics/rayj/loveyoufrommyheart.html,Everything You Want,1997,RAY J
High On You,../lyrics/rayj/highonyou.html,Everything You Want,1997,RAY J
Because Of You,../lyrics/rayj/becauseofyou.html,Everything You Want,1997,RAY J
Feel The Funk II...(Outro),../lyrics/rayj/feelthefunkiioutro.html,Everything You Want,1997,RAY J
,,Everything You Want,1997,RAY J
Intro,../lyrics/rayj/intro.html,This Ain't A Game,2001,RAY J
Wait A Minute,../lyrics/rayj/waitaminute.html,This Ain't A Game,2001,RAY J
Takin' Control,../lyrics/rayj/takincontrol.html,This Ain't A Game,2001,RAY J
Formal Invite,../lyrics/rayj/formalinvite.html,This Ain't A Game,2001,RAY J
Keep Your Head Up,../lyrics/rayj/keepyourheadup.html,This Ain't A Game,2001,RAY J
I Tried,../lyrics/rayj/itried.html,This Ain't A Game,2001,RAY J
U Need It / U Don't,../lyrics/rayj/uneeditudont.html,This Ain't A Game,2001,RAY J
Out Tha Ghetto,../lyrics/rayj/outthaghetto.html,This Ain't A Game,2001,RAY J
No More,../lyrics/rayj/nomore.html,This Ain't A Game,2001,RAY J
This Ain't A Game,../lyrics/rayj/thisaintagame.html,This Ain't A Game,2001,RAY J
Interlude,../lyrics/rayj/interlude.html,This Ain't A Game,2001,RAY J
Wet Me,../lyrics/rayj/wetme.html,This Ain't A Game,2001,RAY J
Crazy,../lyrics/rayj/crazy.html,This Ain't A Game,2001,RAY J
I Got It All,../lyrics/rayj/igotitall.html,This Ain't A Game,2001,RAY J
Airport Skit,../lyrics/rayj/airportskit.html,This Ain't A Game,2001,RAY J
Where Do We Go From Here,../lyrics/rayj/wheredowegofromhere.html,This Ain't A Game,2001,RAY J
,,This Ain't A Game,2001,RAY J
Raydiation Intro,../lyrics/rayj/raydiationintro.html,Raydiation,2005,RAY J
Keep Sweatin',../lyrics/rayj/keepsweatin.html,Raydiation,2005,RAY J
What I Need,../lyrics/rayj/whatineed.html,Raydiation,2005,RAY J
One Wish,../lyrics/rayj/onewish.html,Raydiation,2005,RAY J
Let's Play House,../lyrics/rayj/letsplayhouse.html,Raydiation,2005,RAY J
Blue High Heels,../lyrics/rayj/bluehighheels.html,Raydiation,2005,RAY J
Melody,../lyrics/rayj/melody.html,Raydiation,2005,RAY J
War Is Over,../lyrics/rayj/warisover.html,Raydiation,2005,RAY J
Quit Actin',../lyrics/rayj/quitactin.html,Raydiation,2005,RAY J
