song,link,album,year,artist
Beach Comber,../lyrics/realestate/beachcomber.html,Real Estate,2009,REAL ESTATE
Pool Swimmers,../lyrics/realestate/poolswimmers.html,Real Estate,2009,REAL ESTATE
Suburban Dogs,../lyrics/realestate/suburbandogs.html,Real Estate,2009,REAL ESTATE
Black Lake,../lyrics/realestate/blacklake.html,Real Estate,2009,REAL ESTATE
Fake Blues,../lyrics/realestate/fakeblues.html,Real Estate,2009,REAL ESTATE
Green River,../lyrics/realestate/greenriver.html,Real Estate,2009,REAL ESTATE
Suburban Beverage,../lyrics/realestate/suburbanbeverage.html,Real Estate,2009,REAL ESTATE
Snow Days,../lyrics/realestate/snowdays.html,Real Estate,2009,REAL ESTATE
,,Real Estate,2009,REAL ESTATE
Easy,../lyrics/realestate/easy.html,Days,2011,REAL ESTATE
Green Aisles,../lyrics/realestate/greenaisles.html,Days,2011,REAL ESTATE
It's Real,../lyrics/realestate/itsreal.html,Days,2011,REAL ESTATE
Out Of Tune,../lyrics/realestate/outoftune.html,Days,2011,REAL ESTATE
Municipality,../lyrics/realestate/municipality.html,Days,2011,REAL ESTATE
Wonder Years,../lyrics/realestate/wonderyears.html,Days,2011,REAL ESTATE
Three Blocks,../lyrics/realestate/threeblocks.html,Days,2011,REAL ESTATE
Younger Than Yesterday,../lyrics/realestate/youngerthanyesterday.html,Days,2011,REAL ESTATE
All The Same,../lyrics/realestate/allthesame.html,Days,2011,REAL ESTATE
,,Days,2011,REAL ESTATE
Had To Hear,../lyrics/realestate/hadtohear.html,Atlas,2014,REAL ESTATE
Past Lives,../lyrics/realestate/pastlives.html,Atlas,2014,REAL ESTATE
Talking Backwards,../lyrics/realestate/talkingbackwards.html,Atlas,2014,REAL ESTATE
The Bend,../lyrics/realestate/thebend.html,Atlas,2014,REAL ESTATE
Crime,../lyrics/realestate/crime.html,Atlas,2014,REAL ESTATE
Primitive,../lyrics/realestate/primitive.html,Atlas,2014,REAL ESTATE
How Might I Live,../lyrics/realestate/howmightilive.html,Atlas,2014,REAL ESTATE
Horizon,../lyrics/realestate/horizon.html,Atlas,2014,REAL ESTATE
Navigator,../lyrics/realestate/navigator.html,Atlas,2014,REAL ESTATE
,,Atlas,2014,REAL ESTATE
Darling,../lyrics/realestate/darling.html,In Mind,2017,REAL ESTATE
