song,link,album,year,artist
Pain In My Heart,../lyrics/otisredding/paininmyheart.html,Pain In My Heart,1964,"REDDING, OTIS"
The Dog,../lyrics/otisredding/thedog.html,Pain In My Heart,1964,"REDDING, OTIS"
Stand By Me,../lyrics/otisredding/standbyme.html,Pain In My Heart,1964,"REDDING, OTIS"
Hey Hey Baby,../lyrics/otisredding/heyheybaby.html,Pain In My Heart,1964,"REDDING, OTIS"
You Send Me,../lyrics/otisredding/yousendme.html,Pain In My Heart,1964,"REDDING, OTIS"
I Need Your Lovin',../lyrics/otisredding/ineedyourlovin.html,Pain In My Heart,1964,"REDDING, OTIS"
These Arms Of Mine,../lyrics/otisredding/thesearmsofmine.html,Pain In My Heart,1964,"REDDING, OTIS"
"Louie, Louie",../lyrics/otisredding/louielouie.html,Pain In My Heart,1964,"REDDING, OTIS"
Something Is Worrying Me,../lyrics/otisredding/somethingisworryingme.html,Pain In My Heart,1964,"REDDING, OTIS"
Security,../lyrics/otisredding/security.html,Pain In My Heart,1964,"REDDING, OTIS"
That's What My Heart Needs,../lyrics/otisredding/thatswhatmyheartneeds.html,Pain In My Heart,1964,"REDDING, OTIS"
Lucille,../lyrics/otisredding/lucille.html,Pain In My Heart,1964,"REDDING, OTIS"
,,Pain In My Heart,1964,"REDDING, OTIS"
That's How Strong My Love Is,../lyrics/otisredding/thatshowstrongmyloveis.html,The Great Otis Redding Sings Soul Ballads,1965,"REDDING, OTIS"
Chained And Bound,../lyrics/otisredding/chainedandbound.html,The Great Otis Redding Sings Soul Ballads,1965,"REDDING, OTIS"
"A Woman, A Lover, A Friend",../lyrics/otisredding/awomanaloverafriend.html,The Great Otis Redding Sings Soul Ballads,1965,"REDDING, OTIS"
Your One And Only Man,../lyrics/otisredding/youroneandonlyman.html,The Great Otis Redding Sings Soul Ballads,1965,"REDDING, OTIS"
Nothing Can Change This Love,../lyrics/otisredding/nothingcanchangethislove.html,The Great Otis Redding Sings Soul Ballads,1965,"REDDING, OTIS"
It's Too Late,../lyrics/otisredding/itstoolate.html,The Great Otis Redding Sings Soul Ballads,1965,"REDDING, OTIS"
For Your Precious Love,../lyrics/otisredding/foryourpreciouslove.html,The Great Otis Redding Sings Soul Ballads,1965,"REDDING, OTIS"
I Want To Thank You,../lyrics/otisredding/iwanttothankyou.html,The Great Otis Redding Sings Soul Ballads,1965,"REDDING, OTIS"
Come To Me,../lyrics/otisredding/cometome.html,The Great Otis Redding Sings Soul Ballads,1965,"REDDING, OTIS"
Home In Your Heart,../lyrics/otisredding/homeinyourheart.html,The Great Otis Redding Sings Soul Ballads,1965,"REDDING, OTIS"
Keep Your Arms Around Me,../lyrics/otisredding/keepyourarmsaroundme.html,The Great Otis Redding Sings Soul Ballads,1965,"REDDING, OTIS"
Mr. Pitiful,../lyrics/otisredding/mrpitiful.html,The Great Otis Redding Sings Soul Ballads,1965,"REDDING, OTIS"
,,The Great Otis Redding Sings Soul Ballads,1965,"REDDING, OTIS"
Ole Man Trouble,../lyrics/otisredding/olemantrouble.html,Otis Blue,1965,"REDDING, OTIS"
Respect,../lyrics/otisredding/respect.html,Otis Blue,1965,"REDDING, OTIS"
A Change Is Gonna Come,../lyrics/otisredding/achangeisgonnacome.html,Otis Blue,1965,"REDDING, OTIS"
Down In The Valley,../lyrics/otisredding/downinthevalley.html,Otis Blue,1965,"REDDING, OTIS"
I've Been Loving You Too Long,../lyrics/otisredding/ivebeenlovingyoutoolong.html,Otis Blue,1965,"REDDING, OTIS"
Shake,../lyrics/otisredding/shake.html,Otis Blue,1965,"REDDING, OTIS"
My Girl,../lyrics/otisredding/mygirl.html,Otis Blue,1965,"REDDING, OTIS"
Wonderful World,../lyrics/otisredding/wonderfulworld.html,Otis Blue,1965,"REDDING, OTIS"
Rock Me Baby,../lyrics/otisredding/rockmebaby.html,Otis Blue,1965,"REDDING, OTIS"
Satisfaction,../lyrics/otisredding/satisfaction.html,Otis Blue,1965,"REDDING, OTIS"
You Don't Miss Your Water,../lyrics/otisredding/youdontmissyourwater.html,Otis Blue,1965,"REDDING, OTIS"
,,Otis Blue,1965,"REDDING, OTIS"
Just One More Day,../lyrics/otisredding/justonemoreday.html,The Soul Album,1966,"REDDING, OTIS"
It's Growing,../lyrics/otisredding/itsgrowing.html,The Soul Album,1966,"REDDING, OTIS"
Cigarettes And Coffee,../lyrics/otisredding/cigarettesandcoffee.html,The Soul Album,1966,"REDDING, OTIS"
Chain Gang,../lyrics/otisredding/chaingang.html,The Soul Album,1966,"REDDING, OTIS"
Nobody Knows You (When You're Down and Out),../lyrics/otisredding/nobodyknowsyouwhenyouredownandout.html,The Soul Album,1966,"REDDING, OTIS"
Good To Me,../lyrics/otisredding/goodtome.html,The Soul Album,1966,"REDDING, OTIS"
Scratch My Back,../lyrics/otisredding/scratchmyback.html,The Soul Album,1966,"REDDING, OTIS"
Treat Her Right,../lyrics/otisredding/treatherright.html,The Soul Album,1966,"REDDING, OTIS"
Everybody Makes A Mistake,../lyrics/otisredding/everybodymakesamistake.html,The Soul Album,1966,"REDDING, OTIS"
Any Ole Way,../lyrics/otisredding/anyoleway.html,The Soul Album,1966,"REDDING, OTIS"
634-5789,../lyrics/otisredding/6345789.html,The Soul Album,1966,"REDDING, OTIS"
,,The Soul Album,1966,"REDDING, OTIS"
Fa-Fa-Fa-Fa-Fa (Sad Song),../lyrics/otisredding/fafafafafasadsong.html,Complete & Unbelievable: The Otis Redding Dictionary Of Soul,1966,"REDDING, OTIS"
I'm Sick Y'All,../lyrics/otisredding/imsickyall.html,Complete & Unbelievable: The Otis Redding Dictionary Of Soul,1966,"REDDING, OTIS"
Tennessee Waltz,../lyrics/otisredding/tennesseewaltz.html,Complete & Unbelievable: The Otis Redding Dictionary Of Soul,1966,"REDDING, OTIS"
Sweet Lorene,../lyrics/otisredding/sweetlorene.html,Complete & Unbelievable: The Otis Redding Dictionary Of Soul,1966,"REDDING, OTIS"
Try A Little Tenderness,../lyrics/otisredding/tryalittletenderness.html,Complete & Unbelievable: The Otis Redding Dictionary Of Soul,1966,"REDDING, OTIS"
Day Tripper,../lyrics/otisredding/daytripper.html,Complete & Unbelievable: The Otis Redding Dictionary Of Soul,1966,"REDDING, OTIS"
My Lover's Prayer,../lyrics/otisredding/myloversprayer.html,Complete & Unbelievable: The Otis Redding Dictionary Of Soul,1966,"REDDING, OTIS"
She Put The Hurt On Me,../lyrics/otisredding/sheputthehurtonme.html,Complete & Unbelievable: The Otis Redding Dictionary Of Soul,1966,"REDDING, OTIS"
Ton Of Joy,../lyrics/otisredding/tonofjoy.html,Complete & Unbelievable: The Otis Redding Dictionary Of Soul,1966,"REDDING, OTIS"
You're Still My Baby,../lyrics/otisredding/yourestillmybaby.html,Complete & Unbelievable: The Otis Redding Dictionary Of Soul,1966,"REDDING, OTIS"
Hawg For You,../lyrics/otisredding/hawgforyou.html,Complete & Unbelievable: The Otis Redding Dictionary Of Soul,1966,"REDDING, OTIS"
Love Have Mercy,../lyrics/otisredding/lovehavemercy.html,Complete & Unbelievable: The Otis Redding Dictionary Of Soul,1966,"REDDING, OTIS"
,,Complete & Unbelievable: The Otis Redding Dictionary Of Soul,1966,"REDDING, OTIS"
Knock On Wood,../lyrics/otisredding/knockonwood.html,,,"REDDING, OTIS"
Let Me Be Good To You,../lyrics/otisredding/letmebegoodtoyou.html,,,"REDDING, OTIS"
Tramp,../lyrics/otisredding/tramp.html,,,"REDDING, OTIS"
Tell It Like It Is,../lyrics/otisredding/tellitlikeitis.html,,,"REDDING, OTIS"
When Something Is Wrong With My Baby,../lyrics/otisredding/whensomethingiswrongwithmybaby.html,,,"REDDING, OTIS"
Lovey Dovey,../lyrics/otisredding/loveydovey.html,,,"REDDING, OTIS"
New Year's Resolution,../lyrics/otisredding/newyearsresolution.html,,,"REDDING, OTIS"
It Takes Two,../lyrics/otisredding/ittakestwo.html,,,"REDDING, OTIS"
Are You Lonely For Me Baby,../lyrics/otisredding/areyoulonelyformebaby.html,,,"REDDING, OTIS"
Bring It On Home To Me,../lyrics/otisredding/bringitonhometome.html,,,"REDDING, OTIS"
"Ooh Carla, Ooh Otis",../lyrics/otisredding/oohcarlaoohotis.html,,,"REDDING, OTIS"
,,,,"REDDING, OTIS"
(Sittin' On) The Dock Of The Bay,../lyrics/otisredding/sittinonthedockofthebay.html,The Dock Of The Bay,1968,"REDDING, OTIS"
I Love You More Than Words Can Say,../lyrics/otisredding/iloveyoumorethanwordscansay.html,The Dock Of The Bay,1968,"REDDING, OTIS"
Let Me Come On Home,../lyrics/otisredding/letmecomeonhome.html,The Dock Of The Bay,1968,"REDDING, OTIS"
Open the Door,../lyrics/otisredding/openthedoor.html,The Dock Of The Bay,1968,"REDDING, OTIS"
Don't Mess With Cupid,../lyrics/otisredding/dontmesswithcupid.html,The Dock Of The Bay,1968,"REDDING, OTIS"
The Glory of Love,../lyrics/otisredding/thegloryoflove.html,The Dock Of The Bay,1968,"REDDING, OTIS"
I'm Coming Home to See About You,../lyrics/otisredding/imcominghometoseeaboutyou.html,The Dock Of The Bay,1968,"REDDING, OTIS"
Tramp,../lyrics/otisredding/tramp.html,The Dock Of The Bay,1968,"REDDING, OTIS"
The Huckle-Buck,../lyrics/otisredding/thehucklebuck.html,The Dock Of The Bay,1968,"REDDING, OTIS"
Nobody Knows You (When You're Down and Out),../lyrics/otisredding/nobodyknowsyouwhenyouredownandout.html,The Dock Of The Bay,1968,"REDDING, OTIS"
Ole Man Trouble,../lyrics/otisredding/olemantrouble.html,The Dock Of The Bay,1968,"REDDING, OTIS"
,,The Dock Of The Bay,1968,"REDDING, OTIS"
I've Got Dreams To Remember,../lyrics/otisredding/ivegotdreamstoremember.html,The Immortal Otis Redding,1968,"REDDING, OTIS"
You Made A Man Out Of Me,../lyrics/otisredding/youmadeamanoutofme.html,The Immortal Otis Redding,1968,"REDDING, OTIS"
Nobody's Fault But Mine,../lyrics/otisredding/nobodysfaultbutmine.html,The Immortal Otis Redding,1968,"REDDING, OTIS"
Hard To Handle,../lyrics/otisredding/hardtohandle.html,The Immortal Otis Redding,1968,"REDDING, OTIS"
Thousand Miles Away,../lyrics/otisredding/thousandmilesaway.html,The Immortal Otis Redding,1968,"REDDING, OTIS"
The Happy Song (Dum-Dum),../lyrics/otisredding/thehappysongdumdum.html,The Immortal Otis Redding,1968,"REDDING, OTIS"
Think About It,../lyrics/otisredding/thinkaboutit.html,The Immortal Otis Redding,1968,"REDDING, OTIS"
A Waste Of Time,../lyrics/otisredding/awasteoftime.html,The Immortal Otis Redding,1968,"REDDING, OTIS"
Champagne And Wine,../lyrics/otisredding/champagneandwine.html,The Immortal Otis Redding,1968,"REDDING, OTIS"
A Fool For You,../lyrics/otisredding/afoolforyou.html,The Immortal Otis Redding,1968,"REDDING, OTIS"
