song,link,album,year,artist
Forever,../lyrics/chrisrene/forever.html,Soul'd Out,2009,"RENE, CHRIS"
Were Still Here,../lyrics/chrisrene/werestillhere.html,Soul'd Out,2009,"RENE, CHRIS"
,,Soul'd Out,2009,"RENE, CHRIS"
Chains,../lyrics/chrisrene/chains.html,I'm Right Here,2012,"RENE, CHRIS"
Rocking With You,../lyrics/chrisrene/rockingwithyou.html,I'm Right Here,2012,"RENE, CHRIS"
Back From The Dead,../lyrics/chrisrene/backfromthedead.html,I'm Right Here,2012,"RENE, CHRIS"
Trouble,../lyrics/chrisrene/trouble.html,I'm Right Here,2012,"RENE, CHRIS"
Gonna Be Ok,../lyrics/chrisrene/gonnabeok.html,I'm Right Here,2012,"RENE, CHRIS"
Love Me Like You,../lyrics/chrisrene/lovemelikeyou.html,I'm Right Here,2012,"RENE, CHRIS"
Young Homie,../lyrics/chrisrene/younghomie.html,I'm Right Here,2012,"RENE, CHRIS"
Tidal Wave,../lyrics/chrisrene/tidalwave.html,I'm Right Here,2012,"RENE, CHRIS"
