song,link,album,year,artist
Mother No Longer Awaits Me At Home,../lyrics/rickyskaggs/mothernolongerawaitsmeathome.html,Tribute To The Stanley Brothers,1971,RICKY SKAGGS
White Dove,../lyrics/rickyskaggs/whitedove.html,Tribute To The Stanley Brothers,1971,RICKY SKAGGS
Lonesome River,../lyrics/rickyskaggs/lonesomeriver.html,Tribute To The Stanley Brothers,1971,RICKY SKAGGS
I Love No One But You,../lyrics/rickyskaggs/ilovenoonebutyou.html,Tribute To The Stanley Brothers,1971,RICKY SKAGGS
Angels Are Singing In Heaven Tonight,../lyrics/rickyskaggs/angelsaresinginginheaventonight.html,Tribute To The Stanley Brothers,1971,RICKY SKAGGS
It's Never Too Late,../lyrics/rickyskaggs/itsnevertoolate.html,Tribute To The Stanley Brothers,1971,RICKY SKAGGS
Little Glass Of Wine,../lyrics/rickyskaggs/littleglassofwine.html,Tribute To The Stanley Brothers,1971,RICKY SKAGGS
,,Tribute To The Stanley Brothers,1971,RICKY SKAGGS
Don't Cheat In Our Hometown,../lyrics/rickyskaggs/dontcheatinourhometown.html,Second Generation Bluegrass,1972,RICKY SKAGGS
Dream Of A Miner's Child,../lyrics/rickyskaggs/dreamofaminerschild.html,Second Generation Bluegrass,1972,RICKY SKAGGS
Memories Of Mother,../lyrics/rickyskaggs/memoriesofmother.html,Second Generation Bluegrass,1972,RICKY SKAGGS
Poor Monroe,../lyrics/rickyskaggs/poormonroe.html,Second Generation Bluegrass,1972,RICKY SKAGGS
All I Ever Loved Was You,../lyrics/rickyskaggs/allieverlovedwasyou.html,Second Generation Bluegrass,1972,RICKY SKAGGS
My Deceitful Heart,../lyrics/rickyskaggs/mydeceitfulheart.html,Second Generation Bluegrass,1972,RICKY SKAGGS
Sea Of Regret,../lyrics/rickyskaggs/seaofregret.html,Second Generation Bluegrass,1972,RICKY SKAGGS
Wildwood Flower,../lyrics/rickyskaggs/wildwoodflower.html,Second Generation Bluegrass,1972,RICKY SKAGGS
This Weary Heart You Stole Away,../lyrics/rickyskaggs/thiswearyheartyoustoleaway.html,Second Generation Bluegrass,1972,RICKY SKAGGS
,,Second Generation Bluegrass,1972,RICKY SKAGGS
Southern Moon,../lyrics/rickyskaggs/southernmoon.html,That's It,1976,RICKY SKAGGS
Evergreen Shore,../lyrics/rickyskaggs/evergreenshore.html,That's It,1976,RICKY SKAGGS
,,That's It,1976,RICKY SKAGGS
I'll Take The Blame,../lyrics/rickyskaggs/illtaketheblame.html,Sweet Temptation,1979,RICKY SKAGGS
Little Cabin Home On The Hill,../lyrics/rickyskaggs/littlecabinhomeonthehill.html,Sweet Temptation,1979,RICKY SKAGGS
Baby I'm In Love With You,../lyrics/rickyskaggs/babyiminlovewithyou.html,Sweet Temptation,1979,RICKY SKAGGS
Could You Love Me One More Time,../lyrics/rickyskaggs/couldyoulovemeonemoretime.html,Sweet Temptation,1979,RICKY SKAGGS
Sweet Temptation,../lyrics/rickyskaggs/sweettemptation.html,Sweet Temptation,1979,RICKY SKAGGS
Put It Off Until Tomorrow,../lyrics/rickyskaggs/putitoffuntiltomorrow.html,Sweet Temptation,1979,RICKY SKAGGS
Baby Girl,../lyrics/rickyskaggs/babygirl.html,Sweet Temptation,1979,RICKY SKAGGS
Forgive Me,../lyrics/rickyskaggs/forgiveme.html,Sweet Temptation,1979,RICKY SKAGGS
I Know What It Means To Be Lonesome,../lyrics/rickyskaggs/iknowwhatitmeanstobelonesome.html,Sweet Temptation,1979,RICKY SKAGGS
,,Sweet Temptation,1979,RICKY SKAGGS
Bury Me Beneath The Weeping Willow Tree,../lyrics/rickyskaggs/burymebeneaththeweepingwillowtree.html,Skaggs And Rice,1980,RICKY SKAGGS
Mansions For Me,../lyrics/rickyskaggs/mansionsforme.html,Skaggs And Rice,1980,RICKY SKAGGS
There's More Pretty Girls Than One,../lyrics/rickyskaggs/theresmoreprettygirlsthanone.html,Skaggs And Rice,1980,RICKY SKAGGS
Memories Of Mother And Dad,../lyrics/rickyskaggs/memoriesofmotheranddad.html,Skaggs And Rice,1980,RICKY SKAGGS
Where The Soul Of Man Never Dies,../lyrics/rickyskaggs/wherethesoulofmanneverdies.html,Skaggs And Rice,1980,RICKY SKAGGS
Talk About Suffering,../lyrics/rickyskaggs/talkaboutsuffering.html,Skaggs And Rice,1980,RICKY SKAGGS
Will The Roses Bloom,../lyrics/rickyskaggs/willtherosesbloom.html,Skaggs And Rice,1980,RICKY SKAGGS
Tennessee Blues,../lyrics/rickyskaggs/tennesseeblues.html,Skaggs And Rice,1980,RICKY SKAGGS
Have You Someone In Heaven Waiting,../lyrics/rickyskaggs/haveyousomeoneinheavenwaiting.html,Skaggs And Rice,1980,RICKY SKAGGS
,,Skaggs And Rice,1980,RICKY SKAGGS
If That's The Way You Feel,../lyrics/rickyskaggs/ifthatsthewayyoufeel.html,Waitin' For The Sun To Shine,1981,RICKY SKAGGS
Don't Get Above Your Raising,../lyrics/rickyskaggs/dontgetaboveyourraising.html,Waitin' For The Sun To Shine,1981,RICKY SKAGGS
Your Old Love Letters,../lyrics/rickyskaggs/youroldloveletters.html,Waitin' For The Sun To Shine,1981,RICKY SKAGGS
Low And Lonely,../lyrics/rickyskaggs/lowandlonely.html,Waitin' For The Sun To Shine,1981,RICKY SKAGGS
Waitin' For The Sun To Shine,../lyrics/rickyskaggs/waitinforthesuntoshine.html,Waitin' For The Sun To Shine,1981,RICKY SKAGGS
You May See Me Walkin',../lyrics/rickyskaggs/youmayseemewalkin.html,Waitin' For The Sun To Shine,1981,RICKY SKAGGS
Crying My Heart Out Over You,../lyrics/rickyskaggs/cryingmyheartoutoveryou.html,Waitin' For The Sun To Shine,1981,RICKY SKAGGS
Lost To A Stranger,../lyrics/rickyskaggs/losttoastranger.html,Waitin' For The Sun To Shine,1981,RICKY SKAGGS
I Don't Care,../lyrics/rickyskaggs/idontcare.html,Waitin' For The Sun To Shine,1981,RICKY SKAGGS
"So Round, So Firm, So Fully Packed",../lyrics/rickyskaggs/soroundsofirmsofullypacked.html,Waitin' For The Sun To Shine,1981,RICKY SKAGGS
,,Waitin' For The Sun To Shine,1981,RICKY SKAGGS
Talk About Sufferin',../lyrics/rickyskaggs/talkaboutsufferin.html,Family And Friends,1982,RICKY SKAGGS
Think Of What You've Done,../lyrics/rickyskaggs/thinkofwhatyouvedone.html,Family And Friends,1982,RICKY SKAGGS
Toy Heart,../lyrics/rickyskaggs/toyheart.html,Family And Friends,1982,RICKY SKAGGS
Hallelujah I'm Ready,../lyrics/rickyskaggs/hallelujahimready.html,Family And Friends,1982,RICKY SKAGGS
"Say, Won't You Be Mine",../lyrics/rickyskaggs/saywontyoubemine.html,Family And Friends,1982,RICKY SKAGGS
River Of Jordan,../lyrics/rickyskaggs/riverofjordan.html,Family And Friends,1982,RICKY SKAGGS
,,Family And Friends,1982,RICKY SKAGGS
Heartbroke,../lyrics/rickyskaggs/heartbroke.html,Highways And Heartaches,1982,RICKY SKAGGS
You've Got A Lover,../lyrics/rickyskaggs/youvegotalover.html,Highways And Heartaches,1982,RICKY SKAGGS
Don't Think I'll Cry,../lyrics/rickyskaggs/dontthinkillcry.html,Highways And Heartaches,1982,RICKY SKAGGS
Don't Let Your Sweet Love Die,../lyrics/rickyskaggs/dontletyoursweetlovedie.html,Highways And Heartaches,1982,RICKY SKAGGS
Nothing Can Hurt You,../lyrics/rickyskaggs/nothingcanhurtyou.html,Highways And Heartaches,1982,RICKY SKAGGS
I Wouldn't Change You If I Could,../lyrics/rickyskaggs/iwouldntchangeyouificould.html,Highways And Heartaches,1982,RICKY SKAGGS
Can't You Hear Me Calling,../lyrics/rickyskaggs/cantyouhearmecalling.html,Highways And Heartaches,1982,RICKY SKAGGS
Highway 40 Blues,../lyrics/rickyskaggs/highway40blues.html,Highways And Heartaches,1982,RICKY SKAGGS
Let's Love The Bad Times Away,../lyrics/rickyskaggs/letslovethebadtimesaway.html,Highways And Heartaches,1982,RICKY SKAGGS
One Way Rider,../lyrics/rickyskaggs/onewayrider.html,Highways And Heartaches,1982,RICKY SKAGGS
,,Highways And Heartaches,1982,RICKY SKAGGS
Don't Cheat In Our Hometown,../lyrics/rickyskaggs/dontcheatinourhometown.html,Don't Cheat In Our Hometown,1983,RICKY SKAGGS
Honey (Open That Door),../lyrics/rickyskaggs/honeyopenthatdoor.html,Don't Cheat In Our Hometown,1983,RICKY SKAGGS
A Wound Time Can't Erase,../lyrics/rickyskaggs/awoundtimecanterase.html,Don't Cheat In Our Hometown,1983,RICKY SKAGGS
A Vision Of Mother,../lyrics/rickyskaggs/avisionofmother.html,Don't Cheat In Our Hometown,1983,RICKY SKAGGS
Uncle Pen,../lyrics/rickyskaggs/unclepen.html,Don't Cheat In Our Hometown,1983,RICKY SKAGGS
I'm Head Over Heels In Love,../lyrics/rickyskaggs/imheadoverheelsinlove.html,Don't Cheat In Our Hometown,1983,RICKY SKAGGS
Don't Step Over An Old Love,../lyrics/rickyskaggs/dontstepoveranoldlove.html,Don't Cheat In Our Hometown,1983,RICKY SKAGGS
She's More To Be Pitied,../lyrics/rickyskaggs/shesmoretobepitied.html,Don't Cheat In Our Hometown,1983,RICKY SKAGGS
Keep A Memory,../lyrics/rickyskaggs/keepamemory.html,Don't Cheat In Our Hometown,1983,RICKY SKAGGS
Children Go Where I Send Thee,../lyrics/rickyskaggs/childrengowhereisendthee.html,Don't Cheat In Our Hometown,1983,RICKY SKAGGS
,,Don't Cheat In Our Hometown,1983,RICKY SKAGGS
