song,link,album,year,artist
It's On,../lyrics/rockstarsupernova/itson.html,Rock Star Supernova,2006,ROCK STAR SUPERNOVA
Leave The Lights On,../lyrics/rockstarsupernova/leavethelightson.html,Rock Star Supernova,2006,ROCK STAR SUPERNOVA
Be Yourself (And 5 Other Cliches),../lyrics/rockstarsupernova/beyourselfand5othercliches.html,Rock Star Supernova,2006,ROCK STAR SUPERNOVA
It's All Love,../lyrics/rockstarsupernova/itsalllove.html,Rock Star Supernova,2006,ROCK STAR SUPERNOVA
Can't Bring Myself To Light This Fuse,../lyrics/rockstarsupernova/cantbringmyselftolightthisfuse.html,Rock Star Supernova,2006,ROCK STAR SUPERNOVA
Underdog,../lyrics/rockstarsupernova/underdog.html,Rock Star Supernova,2006,ROCK STAR SUPERNOVA
Make No Mistake...This Is The Take,../lyrics/rockstarsupernova/makenomistakethisisthetake.html,Rock Star Supernova,2006,ROCK STAR SUPERNOVA
Headspin,../lyrics/rockstarsupernova/headspin.html,Rock Star Supernova,2006,ROCK STAR SUPERNOVA
Valentine,../lyrics/rockstarsupernova/valentine.html,Rock Star Supernova,2006,ROCK STAR SUPERNOVA
Social Disgrace,../lyrics/rockstarsupernova/socialdisgrace.html,Rock Star Supernova,2006,ROCK STAR SUPERNOVA
The Dead Parade,../lyrics/rockstarsupernova/thedeadparade.html,Rock Star Supernova,2006,ROCK STAR SUPERNOVA
