song,link,album,year,artist
Uh Oh,../lyrics/rosette/uhoh.html,Uh Oh,2005,ROSETTE
I'm So Gone,../lyrics/rosette/imsogone.html,Uh Oh,2005,ROSETTE
Crushed,../lyrics/rosette/crushed.html,Uh Oh,2005,ROSETTE
Bounce,../lyrics/rosette/bounce.html,Uh Oh,2005,ROSETTE
I Owe,../lyrics/rosette/iowe.html,Uh Oh,2005,ROSETTE
Mirage,../lyrics/rosette/mirage.html,Uh Oh,2005,ROSETTE
I Got It,../lyrics/rosette/igotit.html,Uh Oh,2005,ROSETTE
How Can Sorry Ever Mend A Broken Heart,../lyrics/rosette/howcansorryevermendabrokenheart.html,Uh Oh,2005,ROSETTE
Delirious,../lyrics/rosette/delirious.html,Uh Oh,2005,ROSETTE
No More,../lyrics/rosette/nomore.html,Uh Oh,2005,ROSETTE
One Wish,../lyrics/rosette/onewish.html,Uh Oh,2005,ROSETTE
Crushed Remix,../lyrics/rosette/crushedremix.html,,,ROSETTE
I Wanna Fly,../lyrics/rosette/iwannafly.html,,,ROSETTE
