song,link,album,year,artist
Drop,../lyrics/ryerye/drop.html,Go! Pop! Bang!,2012,RYE RYE
Holla Holla,../lyrics/ryerye/hollaholla.html,Go! Pop! Bang!,2012,RYE RYE
DNA,../lyrics/ryerye/dna.html,Go! Pop! Bang!,2012,RYE RYE
Crazy Bitch,../lyrics/ryerye/crazybitch.html,Go! Pop! Bang!,2012,RYE RYE
Hotter,../lyrics/ryerye/hotter.html,Go! Pop! Bang!,2012,RYE RYE
Sunshine,../lyrics/ryerye/sunshine.html,Go! Pop! Bang!,2012,RYE RYE
Boom Boom,../lyrics/ryerye/boomboom.html,Go! Pop! Bang!,2012,RYE RYE
Better Than You,../lyrics/ryerye/betterthanyou.html,Go! Pop! Bang!,2012,RYE RYE
Dance,../lyrics/ryerye/dance.html,Go! Pop! Bang!,2012,RYE RYE
Shake It To The Ground,../lyrics/ryerye/shakeittotheground.html,Go! Pop! Bang!,2012,RYE RYE
Rock Off Shake Off,../lyrics/ryerye/rockoffshakeoff.html,Go! Pop! Bang!,2012,RYE RYE
New Thing,../lyrics/ryerye/newthing.html,Go! Pop! Bang!,2012,RYE RYE
Bang,../lyrics/ryerye/bang.html,Go! Pop! Bang!,2012,RYE RYE
Never Will Be Mine,../lyrics/ryerye/neverwillbemine.html,Go! Pop! Bang!,2012,RYE RYE
Dum Dum,../lyrics/ryerye/dumdum.html,Go! Pop! Bang!,2012,RYE RYE
Get Up,../lyrics/ryerye/getup.html,Go! Pop! Bang!,2012,RYE RYE
