song,link,album,year,artist
Be Here,../lyrics/raphaelsaadiq/behere.html,Instant Vintage,2002,"SAADIQ, RAPHAEL"
Still Ray,../lyrics/raphaelsaadiq/stillray.html,Instant Vintage,2002,"SAADIQ, RAPHAEL"
Excuse Me,../lyrics/raphaelsaadiq/excuseme.html,Instant Vintage,2002,"SAADIQ, RAPHAEL"
Different Times,../lyrics/raphaelsaadiq/differenttimes.html,Instant Vintage,2002,"SAADIQ, RAPHAEL"
Tick Tock,../lyrics/raphaelsaadiq/ticktock.html,Instant Vintage,2002,"SAADIQ, RAPHAEL"
People,../lyrics/raphaelsaadiq/people.html,Instant Vintage,2002,"SAADIQ, RAPHAEL"
Faithful,../lyrics/raphaelsaadiq/faithful.html,Instant Vintage,2002,"SAADIQ, RAPHAEL"
Make My Day,../lyrics/raphaelsaadiq/makemyday.html,Instant Vintage,2002,"SAADIQ, RAPHAEL"
Uptown,../lyrics/raphaelsaadiq/uptown.html,Instant Vintage,2002,"SAADIQ, RAPHAEL"
"Skyy, Can You Feel Me",../lyrics/raphaelsaadiq/skyycanyoufeelme.html,Instant Vintage,2002,"SAADIQ, RAPHAEL"
,,Instant Vintage,2002,"SAADIQ, RAPHAEL"
Chic Like You,../lyrics/raphaelsaadiq/chiclikeyou.html,Ray Ray,2004,"SAADIQ, RAPHAEL"
Rifle Love,../lyrics/raphaelsaadiq/riflelove.html,Ray Ray,2004,"SAADIQ, RAPHAEL"
I Want You Back,../lyrics/raphaelsaadiq/iwantyouback.html,Ray Ray,2004,"SAADIQ, RAPHAEL"
,,Ray Ray,2004,"SAADIQ, RAPHAEL"
Sure Hope You Mean It,../lyrics/raphaelsaadiq/surehopeyoumeanit.html,The Way I See It,2008,"SAADIQ, RAPHAEL"
100 Yard Dash,../lyrics/raphaelsaadiq/100yarddash.html,The Way I See It,2008,"SAADIQ, RAPHAEL"
Keep Marchin',../lyrics/raphaelsaadiq/keepmarchin.html,The Way I See It,2008,"SAADIQ, RAPHAEL"
Big Easy,../lyrics/raphaelsaadiq/bigeasy.html,The Way I See It,2008,"SAADIQ, RAPHAEL"
Just One Kiss,../lyrics/raphaelsaadiq/justonekiss.html,The Way I See It,2008,"SAADIQ, RAPHAEL"
Love That Girl,../lyrics/raphaelsaadiq/lovethatgirl.html,The Way I See It,2008,"SAADIQ, RAPHAEL"
Calling,../lyrics/raphaelsaadiq/calling.html,The Way I See It,2008,"SAADIQ, RAPHAEL"
Staying In Love,../lyrics/raphaelsaadiq/stayinginlove.html,The Way I See It,2008,"SAADIQ, RAPHAEL"
Oh Girl,../lyrics/raphaelsaadiq/ohgirl.html,The Way I See It,2008,"SAADIQ, RAPHAEL"
Let's Take A Walk,../lyrics/raphaelsaadiq/letstakeawalk.html,The Way I See It,2008,"SAADIQ, RAPHAEL"
Never Give You Up,../lyrics/raphaelsaadiq/nevergiveyouup.html,The Way I See It,2008,"SAADIQ, RAPHAEL"
Sometimes,../lyrics/raphaelsaadiq/sometimes.html,The Way I See It,2008,"SAADIQ, RAPHAEL"
Oh Girl (Remix),../lyrics/raphaelsaadiq/ohgirlremix.html,The Way I See It,2008,"SAADIQ, RAPHAEL"
,,The Way I See It,2008,"SAADIQ, RAPHAEL"
Heart Attack,../lyrics/raphaelsaadiq/heartattack.html,Stone Rollin',2011,"SAADIQ, RAPHAEL"
Go To Hell,../lyrics/raphaelsaadiq/gotohell.html,Stone Rollin',2011,"SAADIQ, RAPHAEL"
Radio,../lyrics/raphaelsaadiq/radio.html,Stone Rollin',2011,"SAADIQ, RAPHAEL"
Over You,../lyrics/raphaelsaadiq/overyou.html,Stone Rollin',2011,"SAADIQ, RAPHAEL"
Stone Rollin',../lyrics/raphaelsaadiq/stonerollin.html,Stone Rollin',2011,"SAADIQ, RAPHAEL"
Day Dreams,../lyrics/raphaelsaadiq/daydreams.html,Stone Rollin',2011,"SAADIQ, RAPHAEL"
Movin' Down The Line,../lyrics/raphaelsaadiq/movindowntheline.html,Stone Rollin',2011,"SAADIQ, RAPHAEL"
Just Don't,../lyrics/raphaelsaadiq/justdont.html,Stone Rollin',2011,"SAADIQ, RAPHAEL"
Good Man,../lyrics/raphaelsaadiq/goodman.html,Stone Rollin',2011,"SAADIQ, RAPHAEL"
The Answer,../lyrics/raphaelsaadiq/theanswer.html,Stone Rollin',2011,"SAADIQ, RAPHAEL"
Ask Of You,../lyrics/raphaelsaadiq/askofyou.html,,,"SAADIQ, RAPHAEL"
Get Involved,../lyrics/raphaelsaadiq/getinvolved.html,,,"SAADIQ, RAPHAEL"
Just A Man,../lyrics/raphaelsaadiq/justaman.html,,,"SAADIQ, RAPHAEL"
Scream,../lyrics/raphaelsaadiq/scream.html,,,"SAADIQ, RAPHAEL"
You,../lyrics/raphaelsaadiq/you.html,,,"SAADIQ, RAPHAEL"
