song,link,album,year,artist
The Time Of My Life,../lyrics/sagefrancis/thetimeofmylife.html,Still Sick...Urine Trouble,2000,SAGE FRANCIS
Majority Rule,../lyrics/sagefrancis/majorityrule.html,Still Sick...Urine Trouble,2000,SAGE FRANCIS
Eye Of The Tiger,../lyrics/sagefrancis/eyeofthetiger.html,Still Sick...Urine Trouble,2000,SAGE FRANCIS
Strange Famous Radio Rhyme,../lyrics/sagefrancis/strangefamousradiorhyme.html,Still Sick...Urine Trouble,2000,SAGE FRANCIS
All Word No Play,../lyrics/sagefrancis/allwordnoplay.html,Still Sick...Urine Trouble,2000,SAGE FRANCIS
Life Is What Distracts You From Death,../lyrics/sagefrancis/lifeiswhatdistractsyoufromdeath.html,Still Sick...Urine Trouble,2000,SAGE FRANCIS
Whore Monger Sing - Along,../lyrics/sagefrancis/whoremongersingalong.html,Still Sick...Urine Trouble,2000,SAGE FRANCIS
Mullet,../lyrics/sagefrancis/mullet.html,Still Sick...Urine Trouble,2000,SAGE FRANCIS
Come Come Now,../lyrics/sagefrancis/comecomenow.html,Still Sick...Urine Trouble,2000,SAGE FRANCIS
Her Schlag,../lyrics/sagefrancis/herschlag.html,Still Sick...Urine Trouble,2000,SAGE FRANCIS
Strange Famous Spoken Word,../lyrics/sagefrancis/strangefamousspokenword.html,Still Sick...Urine Trouble,2000,SAGE FRANCIS
Andy Kaufman,../lyrics/sagefrancis/andykaufman.html,Still Sick...Urine Trouble,2000,SAGE FRANCIS
,,Still Sick...Urine Trouble,2000,SAGE FRANCIS
Vital Signs,../lyrics/sagefrancis/vitalsigns.html,Sick Of Waiting Tables,2001,SAGE FRANCIS
Drop Bass,../lyrics/sagefrancis/dropbass.html,Sick Of Waiting Tables,2001,SAGE FRANCIS
Who's Crying?,../lyrics/sagefrancis/whoscrying.html,Sick Of Waiting Tables,2001,SAGE FRANCIS
Rewrite,../lyrics/sagefrancis/rewrite.html,Sick Of Waiting Tables,2001,SAGE FRANCIS
