song,link,album,year,artist
Gas Pedal,../lyrics/sagethegemini/gaspedal.html,Gas Pedal,2013,SAGE THE GEMINI
Mack Down,../lyrics/sagethegemini/mackdown.html,Gas Pedal,2013,SAGE THE GEMINI
Swerve,../lyrics/sagethegemini/swerve.html,Gas Pedal,2013,SAGE THE GEMINI
Red Nose,../lyrics/sagethegemini/rednose.html,Gas Pedal,2013,SAGE THE GEMINI
Don't You,../lyrics/sagethegemini/dontyou.html,Gas Pedal,2013,SAGE THE GEMINI
,,Gas Pedal,2013,SAGE THE GEMINI
Remember Me,../lyrics/sagethegemini/rememberme.html,Remember Me,2014,SAGE THE GEMINI
Bad Girls,../lyrics/sagethegemini/badgirls.html,Remember Me,2014,SAGE THE GEMINI
Go Somewhere,../lyrics/sagethegemini/gosomewhere.html,Remember Me,2014,SAGE THE GEMINI
Gas Pedal,../lyrics/sagethegemini/gaspedal.html,Remember Me,2014,SAGE THE GEMINI
Red Nose,../lyrics/sagethegemini/rednose.html,Remember Me,2014,SAGE THE GEMINI
College Drop,../lyrics/sagethegemini/collegedrop.html,Remember Me,2014,SAGE THE GEMINI
Put Me On,../lyrics/sagethegemini/putmeon.html,Remember Me,2014,SAGE THE GEMINI
Down On Your Luck,../lyrics/sagethegemini/downonyourluck.html,Remember Me,2014,SAGE THE GEMINI
Mad At Me,../lyrics/sagethegemini/madatme.html,Remember Me,2014,SAGE THE GEMINI
Nothing To Me,../lyrics/sagethegemini/nothingtome.html,Remember Me,2014,SAGE THE GEMINI
Don't You,../lyrics/sagethegemini/dontyou.html,Remember Me,2014,SAGE THE GEMINI
Second Hand Smoke,../lyrics/sagethegemini/secondhandsmoke.html,Remember Me,2014,SAGE THE GEMINI
Just A Kiss,../lyrics/sagethegemini/justakiss.html,Remember Me,2014,SAGE THE GEMINI
Desert Of Mirages,../lyrics/sagethegemini/desertofmirages.html,Remember Me,2014,SAGE THE GEMINI
Give It Up,../lyrics/sagethegemini/giveitup.html,Remember Me,2014,SAGE THE GEMINI
Gas Pedal (Remix),../lyrics/sagethegemini/gaspedalremix.html,Remember Me,2014,SAGE THE GEMINI
Do Not Disturb,../lyrics/sagethegemini/donotdisturb.html,,,SAGE THE GEMINI
Good Thing,../lyrics/sagethegemini/goodthing.html,,,SAGE THE GEMINI
Guantanamera,../lyrics/sagethegemini/guantanamera.html,,,SAGE THE GEMINI
I'll Keep Loving You,../lyrics/sagethegemini/illkeeplovingyou.html,,,SAGE THE GEMINI
It Ain't My Fault,../lyrics/sagethegemini/itaintmyfault.html,,,SAGE THE GEMINI
Now And Later,../lyrics/sagethegemini/nowandlater.html,,,SAGE THE GEMINI
Panoramic,../lyrics/sagethegemini/panoramic.html,,,SAGE THE GEMINI
Payback,http://www.azlyrics.com/lyrics/juicyj/payback.html,,,SAGE THE GEMINI
