song,link,album,year,artist
The Power Of Love,../lyrics/sambailey/thepoweroflove.html,The Power Of Love,2014,SAM BAILEY
From This Moment On,../lyrics/sambailey/fromthismomenton.html,The Power Of Love,2014,SAM BAILEY
There You'll Be,../lyrics/sambailey/thereyoullbe.html,The Power Of Love,2014,SAM BAILEY
And I Am Telling You,../lyrics/sambailey/andiamtellingyou.html,The Power Of Love,2014,SAM BAILEY
Compass,../lyrics/sambailey/compass.html,The Power Of Love,2014,SAM BAILEY
Lord Is It Mine,../lyrics/sambailey/lordisitmine.html,The Power Of Love,2014,SAM BAILEY
Get Here,../lyrics/sambailey/gethere.html,The Power Of Love,2014,SAM BAILEY
Treasure,../lyrics/sambailey/treasure.html,The Power Of Love,2014,SAM BAILEY
Ain't No Mountain High Enough,../lyrics/sambailey/aintnomountainhighenough.html,The Power Of Love,2014,SAM BAILEY
Superwoman,../lyrics/sambailey/superwoman.html,The Power Of Love,2014,SAM BAILEY
Skyscraper,../lyrics/sambailey/skyscraper.html,The Power Of Love,2014,SAM BAILEY
With You,../lyrics/sambailey/withyou.html,The Power Of Love,2014,SAM BAILEY
Please Come Home For Christmas,../lyrics/sambailey/pleasecomehomeforchristmas.html,The Power Of Love,2014,SAM BAILEY
Treasure (Christmas Mix),../lyrics/sambailey/treasurechristmasmix.html,The Power Of Love,2014,SAM BAILEY
O Holy Night,../lyrics/sambailey/oholynight.html,The Power Of Love,2014,SAM BAILEY
Silent Night,../lyrics/sambailey/silentnight.html,The Power Of Love,2014,SAM BAILEY
,,The Power Of Love,2014,SAM BAILEY
Sing My Heart Out,../lyrics/sambailey/singmyheartout.html,Sing My Heart Out,2016,SAM BAILEY
