song,link,album,year,artist
Comin' Up,../lyrics/sammyadams/cominup.html,Boston's Boy,2010,SAMMY ADAMS
Driving Me Crazy,../lyrics/sammyadams/drivingmecrazy.html,Boston's Boy,2010,SAMMY ADAMS
Swang,../lyrics/sammyadams/swang.html,Boston's Boy,2010,SAMMY ADAMS
Just Love Here,../lyrics/sammyadams/justlovehere.html,Boston's Boy,2010,SAMMY ADAMS
Coast 2 Coast,../lyrics/sammyadams/coast2coast.html,Boston's Boy,2010,SAMMY ADAMS
You Girl,../lyrics/sammyadams/yougirl.html,Boston's Boy,2010,SAMMY ADAMS
Tab Open,../lyrics/sammyadams/tabopen.html,Boston's Boy,2010,SAMMY ADAMS
I'm So High,../lyrics/sammyadams/imsohigh.html,Boston's Boy,2010,SAMMY ADAMS
Still I Rise,../lyrics/sammyadams/stillirise.html,Boston's Boy,2010,SAMMY ADAMS
See Me Now,../lyrics/sammyadams/seemenow.html,Boston's Boy,2010,SAMMY ADAMS
Fly Jets Over Boston,../lyrics/sammyadams/flyjetsoverboston.html,Boston's Boy,2010,SAMMY ADAMS
Just Sayin',../lyrics/sammyadams/justsayin.html,Boston's Boy,2010,SAMMY ADAMS
Opening Day,../lyrics/sammyadams/openingday.html,Boston's Boy,2010,SAMMY ADAMS
Brand New,../lyrics/sammyadams/brandnew.html,Boston's Boy,2010,SAMMY ADAMS
Better Than You,../lyrics/sammyadams/betterthanyou.html,Boston's Boy,2010,SAMMY ADAMS
,,Boston's Boy,2010,SAMMY ADAMS
Whole World Watchin',../lyrics/sammyadams/wholeworldwatchin.html,Ok Cool (Pre-Album 2.0),2012,SAMMY ADAMS
Hands On The Wheel,../lyrics/sammyadams/handsonthewheel.html,Ok Cool (Pre-Album 2.0),2012,SAMMY ADAMS
Tear It Up,../lyrics/sammyadams/tearitup.html,Ok Cool (Pre-Album 2.0),2012,SAMMY ADAMS
Over Again,../lyrics/sammyadams/overagain.html,Ok Cool (Pre-Album 2.0),2012,SAMMY ADAMS
Fall Back,../lyrics/sammyadams/fallback.html,Ok Cool (Pre-Album 2.0),2012,SAMMY ADAMS
Just Me And My Vocals,../lyrics/sammyadams/justmeandmyvocals.html,Ok Cool (Pre-Album 2.0),2012,SAMMY ADAMS
O.K,../lyrics/sammyadams/ok.html,Ok Cool (Pre-Album 2.0),2012,SAMMY ADAMS
Total Recall,../lyrics/sammyadams/totalrecall.html,Ok Cool (Pre-Album 2.0),2012,SAMMY ADAMS
The Night Out (Remix),../lyrics/sammyadams/thenightoutremix.html,Ok Cool (Pre-Album 2.0),2012,SAMMY ADAMS
All Night Longer,../lyrics/sammyadams/allnightlonger.html,Ok Cool (Pre-Album 2.0),2012,SAMMY ADAMS
Undefeated,../lyrics/sammyadams/undefeated.html,Ok Cool (Pre-Album 2.0),2012,SAMMY ADAMS
We Can Have A Ball,../lyrics/sammyadams/wecanhaveaball.html,Ok Cool (Pre-Album 2.0),2012,SAMMY ADAMS
Live Free Stay Young,../lyrics/sammyadams/livefreestayyoung.html,Ok Cool (Pre-Album 2.0),2012,SAMMY ADAMS
,,Ok Cool (Pre-Album 2.0),2012,SAMMY ADAMS
Touch,../lyrics/sammyadams/touch.html,Homecoming,2013,SAMMY ADAMS
Kings,../lyrics/sammyadams/kings.html,Homecoming,2013,SAMMY ADAMS
Waste,../lyrics/sammyadams/waste.html,Homecoming,2013,SAMMY ADAMS
Stop the Music,../lyrics/sammyadams/stopthemusic.html,Homecoming,2013,SAMMY ADAMS
,,Homecoming,2013,SAMMY ADAMS
Remember,../lyrics/sammyadams/remember.html,The Long Way,2016,SAMMY ADAMS
Helluva,../lyrics/sammyadams/helluva.html,The Long Way,2016,SAMMY ADAMS
War,../lyrics/sammyadams/war.html,The Long Way,2016,SAMMY ADAMS
Long Way,../lyrics/sammyadams/longway.html,The Long Way,2016,SAMMY ADAMS
Rock With You,../lyrics/sammyadams/rockwithyou.html,The Long Way,2016,SAMMY ADAMS
All Night Longer,../lyrics/sammyadams/all-night-longer-remix-bob.html,The Long Way,2016,SAMMY ADAMS
Overboard,../lyrics/sammyadams/overboard.html,The Long Way,2016,SAMMY ADAMS
Electric Appeal,../lyrics/sammyadams/electricappeal.html,The Long Way,2016,SAMMY ADAMS
Vinyl,../lyrics/sammyadams/vinyl.html,The Long Way,2016,SAMMY ADAMS
We Are The Ones,../lyrics/sammyadams/wearetheones.html,The Long Way,2016,SAMMY ADAMS
Blow Up,../lyrics/sammyadams/blowup.html,,,SAMMY ADAMS
I Hate College (Remix),../lyrics/sammyadams/ihatecollegeremix.html,,,SAMMY ADAMS
Kimber,../lyrics/sammyadams/kimber.html,,,SAMMY ADAMS
LA Story,../lyrics/sammyadams/lastory.html,,,SAMMY ADAMS
Letter To The Lost,../lyrics/sammyadams/lettertothelost.html,,,SAMMY ADAMS
Lion's Den,../lyrics/sammyadams/lionsden.html,,,SAMMY ADAMS
Living The Dream,../lyrics/sammyadams/livingthedream.html,,,SAMMY ADAMS
Only One,../lyrics/sammyadams/onlyone.html,,,SAMMY ADAMS
Summertime,../lyrics/sammyadams/summertime.html,,,SAMMY ADAMS
