song,link,album,year,artist
Song Up In Her Head,../lyrics/sarahjarosz/songupinherhead.html,Song Up In Her Head,2009,SARAH JAROSZ
Edge Of A Dream,../lyrics/sarahjarosz/edgeofadream.html,Song Up In Her Head,2009,SARAH JAROSZ
Tell Me True,../lyrics/sarahjarosz/tellmetrue.html,Song Up In Her Head,2009,SARAH JAROSZ
I Can't Love You Now,../lyrics/sarahjarosz/icantloveyounow.html,Song Up In Her Head,2009,SARAH JAROSZ
Broussard's Lament,../lyrics/sarahjarosz/broussardslament.html,Song Up In Her Head,2009,SARAH JAROSZ
Left Home,../lyrics/sarahjarosz/lefthome.html,Song Up In Her Head,2009,SARAH JAROSZ
Shankill Butchers,../lyrics/sarahjarosz/shankillbutchers.html,Song Up In Her Head,2009,SARAH JAROSZ
Can't Hide,../lyrics/sarahjarosz/canthide.html,Song Up In Her Head,2009,SARAH JAROSZ
Long Journey,../lyrics/sarahjarosz/longjourney.html,Song Up In Her Head,2009,SARAH JAROSZ
Come On Up To The House,../lyrics/sarahjarosz/comeonuptothehouse.html,Song Up In Her Head,2009,SARAH JAROSZ
Little Song,../lyrics/sarahjarosz/littlesong.html,Song Up In Her Head,2009,SARAH JAROSZ
,,Song Up In Her Head,2009,SARAH JAROSZ
Run Away,../lyrics/sarahjarosz/runaway.html,Follow Me Down,2011,SARAH JAROSZ
Come Around,../lyrics/sarahjarosz/comearound.html,Follow Me Down,2011,SARAH JAROSZ
Annabelle Lee,../lyrics/sarahjarosz/annabellelee.html,Follow Me Down,2011,SARAH JAROSZ
Ring Them Bells,../lyrics/sarahjarosz/ringthembells.html,Follow Me Down,2011,SARAH JAROSZ
My Muse,../lyrics/sarahjarosz/mymuse.html,Follow Me Down,2011,SARAH JAROSZ
Floating In The Balance,../lyrics/sarahjarosz/floatinginthebalance.html,Follow Me Down,2011,SARAH JAROSZ
The Tourist,../lyrics/sarahjarosz/thetourist.html,Follow Me Down,2011,SARAH JAROSZ
Here Nor There,../lyrics/sarahjarosz/herenorthere.html,Follow Me Down,2011,SARAH JAROSZ
Gypsy,../lyrics/sarahjarosz/gypsy.html,Follow Me Down,2011,SARAH JAROSZ
,,Follow Me Down,2011,SARAH JAROSZ
Over The Edge,../lyrics/sarahjarosz/overtheedge.html,Build Me Up From Bones,2013,SARAH JAROSZ
Fuel The Fire,../lyrics/sarahjarosz/fuelthefire.html,Build Me Up From Bones,2013,SARAH JAROSZ
Mile On The Moon,../lyrics/sarahjarosz/mileonthemoon.html,Build Me Up From Bones,2013,SARAH JAROSZ
Build Me Up From Bones,../lyrics/sarahjarosz/buildmeupfrombones.html,Build Me Up From Bones,2013,SARAH JAROSZ
Dark Road,../lyrics/sarahjarosz/darkroad.html,Build Me Up From Bones,2013,SARAH JAROSZ
Simple Twist Of Fate,../lyrics/sarahjarosz/simpletwistoffate.html,Build Me Up From Bones,2013,SARAH JAROSZ
"1,000 Things",../lyrics/sarahjarosz/1000things.html,Build Me Up From Bones,2013,SARAH JAROSZ
Gone Too Soon,../lyrics/sarahjarosz/gonetoosoon.html,Build Me Up From Bones,2013,SARAH JAROSZ
Anything Else,../lyrics/sarahjarosz/anythingelse.html,Build Me Up From Bones,2013,SARAH JAROSZ
The Book Of Right-On,../lyrics/sarahjarosz/thebookofrighton.html,Build Me Up From Bones,2013,SARAH JAROSZ
Rearrange The Art,../lyrics/sarahjarosz/rearrangetheart.html,Build Me Up From Bones,2013,SARAH JAROSZ
,,Build Me Up From Bones,2013,SARAH JAROSZ
Early Morning Light,../lyrics/sarahjarosz/earlymorninglight.html,Undercurrent,2016,SARAH JAROSZ
Green Lights,../lyrics/sarahjarosz/greenlights.html,Undercurrent,2016,SARAH JAROSZ
House Of Mercy,../lyrics/sarahjarosz/houseofmercy.html,Undercurrent,2016,SARAH JAROSZ
Everything To Hide,../lyrics/sarahjarosz/everythingtohide.html,Undercurrent,2016,SARAH JAROSZ
Back Of My Mind,../lyrics/sarahjarosz/backofmymind.html,Undercurrent,2016,SARAH JAROSZ
Comin' Undone,../lyrics/sarahjarosz/cominundone.html,Undercurrent,2016,SARAH JAROSZ
Take Another Turn,../lyrics/sarahjarosz/takeanotherturn.html,Undercurrent,2016,SARAH JAROSZ
Lost Dog,../lyrics/sarahjarosz/lostdog.html,Undercurrent,2016,SARAH JAROSZ
Take Me Back,../lyrics/sarahjarosz/takemeback.html,Undercurrent,2016,SARAH JAROSZ
Still Life,../lyrics/sarahjarosz/stilllife.html,Undercurrent,2016,SARAH JAROSZ
Jacqueline,../lyrics/sarahjarosz/jacqueline.html,Undercurrent,2016,SARAH JAROSZ
