song,link,album,year,artist
Figg Get Da Money,../lyrics/schoolboyq/figggetdamoney.html,Setbacks,2011,SCHOOLBOY Q
Kamikaze,../lyrics/schoolboyq/kamikaze.html,Setbacks,2011,SCHOOLBOY Q
Light Years Ahead (Sky High),../lyrics/schoolboyq/lightyearsaheadskyhigh.html,Setbacks,2011,SCHOOLBOY Q
What's The Word,../lyrics/schoolboyq/whatstheword.html,Setbacks,2011,SCHOOLBOY Q
iBETiGOTSUMWEED,../lyrics/schoolboyq/ibetigotsumweed.html,Setbacks,2011,SCHOOLBOY Q
Druggys Wit Hoes,../lyrics/schoolboyq/druggyswithoes.html,Setbacks,2011,SCHOOLBOY Q
Cycle,../lyrics/schoolboyq/cycle.html,Setbacks,2011,SCHOOLBOY Q
To tHa Beat (F'd Up),../lyrics/schoolboyq/tothabeatfdup.html,Setbacks,2011,SCHOOLBOY Q
Crazy,../lyrics/schoolboyq/crazy.html,Setbacks,2011,SCHOOLBOY Q
Phenomenon,../lyrics/schoolboyq/phenomenon.html,Setbacks,2011,SCHOOLBOY Q
Situations,../lyrics/schoolboyq/situations.html,Setbacks,2011,SCHOOLBOY Q
Fantasy,../lyrics/schoolboyq/fantasy.html,Setbacks,2011,SCHOOLBOY Q
I'm Good,../lyrics/schoolboyq/imgood.html,Setbacks,2011,SCHOOLBOY Q
Birds & The Beez,../lyrics/schoolboyq/birdsthebeez.html,Setbacks,2011,SCHOOLBOY Q
Rolling Stone,../lyrics/schoolboyq/rollingstone.html,Setbacks,2011,SCHOOLBOY Q
,,Setbacks,2011,SCHOOLBOY Q
Sacrilegious,../lyrics/schoolboyq/sacrilegious.html,Habits & Contradictions,2012,SCHOOLBOY Q
There He Go,../lyrics/schoolboyq/therehego.html,Habits & Contradictions,2012,SCHOOLBOY Q
Hands On The Wheel,../lyrics/schoolboyq/handsonthewheel.html,Habits & Contradictions,2012,SCHOOLBOY Q
Sex Drive,../lyrics/schoolboyq/sexdrive.html,Habits & Contradictions,2012,SCHOOLBOY Q
Oxy Music,../lyrics/schoolboyq/oxymusic.html,Habits & Contradictions,2012,SCHOOLBOY Q
My Hatin' Joint,../lyrics/schoolboyq/myhatinjoint.html,Habits & Contradictions,2012,SCHOOLBOY Q
Tookie Knows (Interlude),../lyrics/schoolboyq/tookieknowsinterlude.html,Habits & Contradictions,2012,SCHOOLBOY Q
Raymond 1969,../lyrics/schoolboyq/raymond1969.html,Habits & Contradictions,2012,SCHOOLBOY Q
Sexting,../lyrics/schoolboyq/sexting.html,Habits & Contradictions,2012,SCHOOLBOY Q
Grooveline Pt. 1,../lyrics/schoolboyq/groovelinept1.html,Habits & Contradictions,2012,SCHOOLBOY Q
Gangsta In Designer (No Concept),../lyrics/schoolboyq/gangstaindesignernoconcept.html,Habits & Contradictions,2012,SCHOOLBOY Q
How We Feeling,../lyrics/schoolboyq/howwefeeling.html,Habits & Contradictions,2012,SCHOOLBOY Q
Druggy's Wit Hoes Again,../lyrics/schoolboyq/druggyswithoesagain.html,Habits & Contradictions,2012,SCHOOLBOY Q
Nightmare On Figg St.,../lyrics/schoolboyq/nightmareonfiggst.html,Habits & Contradictions,2012,SCHOOLBOY Q
My Homie,../lyrics/schoolboyq/myhomie.html,Habits & Contradictions,2012,SCHOOLBOY Q
Blessed,../lyrics/schoolboyq/blessed.html,Habits & Contradictions,2012,SCHOOLBOY Q
Niggahs.Already.Know.Davers.Flow,../lyrics/schoolboyq/niggahsalreadyknowdaversflow.html,Habits & Contradictions,2012,SCHOOLBOY Q
2 Raw,../lyrics/schoolboyq/2raw.html,Habits & Contradictions,2012,SCHOOLBOY Q
,,Habits & Contradictions,2012,SCHOOLBOY Q
Gangsta,../lyrics/schoolboyq/gangsta.html,Oxymoron,2014,SCHOOLBOY Q
Los Awesome,../lyrics/schoolboyq/losawesome.html,Oxymoron,2014,SCHOOLBOY Q
Collard Greens,../lyrics/schoolboyq/collardgreens.html,Oxymoron,2014,SCHOOLBOY Q
What They Want,../lyrics/schoolboyq/whattheywant.html,Oxymoron,2014,SCHOOLBOY Q
Hoover Street,../lyrics/schoolboyq/hooverstreet.html,Oxymoron,2014,SCHOOLBOY Q
Studio,../lyrics/schoolboyq/studio.html,Oxymoron,2014,SCHOOLBOY Q
Prescription / Oxymoron,../lyrics/schoolboyq/prescriptionoxymoron.html,Oxymoron,2014,SCHOOLBOY Q
The Purge,../lyrics/schoolboyq/thepurge.html,Oxymoron,2014,SCHOOLBOY Q
Blind Threats,../lyrics/schoolboyq/blindthreats.html,Oxymoron,2014,SCHOOLBOY Q
Hell Of A Night,../lyrics/schoolboyq/hellofanight.html,Oxymoron,2014,SCHOOLBOY Q
Break The Bank,../lyrics/schoolboyq/breakthebank.html,Oxymoron,2014,SCHOOLBOY Q
Man Of The Year,../lyrics/schoolboyq/manoftheyear.html,Oxymoron,2014,SCHOOLBOY Q
His & Her Friend,../lyrics/schoolboyq/hisherfriend.html,Oxymoron,2014,SCHOOLBOY Q
Grooveline Pt. 2,../lyrics/schoolboyq/groovelinept2.html,Oxymoron,2014,SCHOOLBOY Q
Fuck LA,../lyrics/schoolboyq/fuckla.html,Oxymoron,2014,SCHOOLBOY Q
Gravy,../lyrics/schoolboyq/gravy.html,Oxymoron,2014,SCHOOLBOY Q
Yay Yay,../lyrics/schoolboyq/yayyay.html,Oxymoron,2014,SCHOOLBOY Q
Pusha Man,../lyrics/schoolboyq/pushaman.html,Oxymoron,2014,SCHOOLBOY Q
Californication,../lyrics/schoolboyq/californication.html,Oxymoron,2014,SCHOOLBOY Q
,,Oxymoron,2014,SCHOOLBOY Q
What They Want,../lyrics/schoolboyq/whattheywant.html,Schoolboy Q 2,2015,SCHOOLBOY Q
Banger,../lyrics/schoolboyq/banger.html,Schoolboy Q 2,2015,SCHOOLBOY Q
Drugs,../lyrics/schoolboyq/drugs.html,Schoolboy Q 2,2015,SCHOOLBOY Q
