song,link,album,year,artist
Gone Either Way,../lyrics/rayscott/goneeitherway.html,My Kind Of Music,2005,"SCOTT, RAY"
Makin' My Way,../lyrics/rayscott/makinmyway.html,My Kind Of Music,2005,"SCOTT, RAY"
Different Kind Of Cowboy,../lyrics/rayscott/differentkindofcowboy.html,My Kind Of Music,2005,"SCOTT, RAY"
Walls,../lyrics/rayscott/walls.html,My Kind Of Music,2005,"SCOTT, RAY"
My Kind Of Music,../lyrics/rayscott/mykindofmusic.html,My Kind Of Music,2005,"SCOTT, RAY"
Plowboy,../lyrics/rayscott/plowboy.html,My Kind Of Music,2005,"SCOTT, RAY"
I Didn't Come Here To Talk,../lyrics/rayscott/ididntcomeheretotalk.html,My Kind Of Music,2005,"SCOTT, RAY"
Dirty Shirt,../lyrics/rayscott/dirtyshirt.html,My Kind Of Music,2005,"SCOTT, RAY"
Time,../lyrics/rayscott/time.html,My Kind Of Music,2005,"SCOTT, RAY"
Rats Don't Race,../lyrics/rayscott/ratsdontrace.html,My Kind Of Music,2005,"SCOTT, RAY"
Fly With An Angel,../lyrics/rayscott/flywithanangel.html,My Kind Of Music,2005,"SCOTT, RAY"
Gypsy,../lyrics/rayscott/gypsy.html,My Kind Of Music,2005,"SCOTT, RAY"
Bear With Me Lord,../lyrics/rayscott/bearwithmelord.html,My Kind Of Music,2005,"SCOTT, RAY"
,,My Kind Of Music,2005,"SCOTT, RAY"
Those Jeans,../lyrics/rayscott/thosejeans.html,Rayality,2011,"SCOTT, RAY"
Tell Me I'm Wrong,../lyrics/rayscott/tellmeimwrong.html,Rayality,2011,"SCOTT, RAY"
,,Rayality,2011,"SCOTT, RAY"
Ain't Always Thirsty,../lyrics/rayscott/aintalwaysthirsty.html,Ray Scott,2014,"SCOTT, RAY"
Drinkin Beer,../lyrics/rayscott/drinkinbeer.html,Ray Scott,2014,"SCOTT, RAY"
Papa And Mama,../lyrics/rayscott/papaandmama.html,Ray Scott,2014,"SCOTT, RAY"
