song,link,album,year,artist
Infiltrate,../lyrics/seanpaul/infiltrate.html,Stage One,2000,SEAN PAUL
Check It Deeply,../lyrics/seanpaul/checkitdeeply.html,Stage One,2000,SEAN PAUL
Mek It Go So Den,../lyrics/seanpaul/mekitgosoden.html,Stage One,2000,SEAN PAUL
Deport Them,../lyrics/seanpaul/deportthem.html,Stage One,2000,SEAN PAUL
Faded,../lyrics/seanpaul/faded.html,Stage One,2000,SEAN PAUL
No Bligh,../lyrics/seanpaul/nobligh.html,Stage One,2000,SEAN PAUL
Strategy,../lyrics/seanpaul/strategy.html,Stage One,2000,SEAN PAUL
,,Stage One,2000,SEAN PAUL
Shout (Street Respect),../lyrics/seanpaul/shoutstreetrespect.html,Dutty Rock,2003,SEAN PAUL
Gimme The Light,../lyrics/seanpaul/gimmethelight.html,Dutty Rock,2003,SEAN PAUL
Like Glue,../lyrics/seanpaul/likeglue.html,Dutty Rock,2003,SEAN PAUL
Get Busy,../lyrics/seanpaul/getbusy.html,Dutty Rock,2003,SEAN PAUL
Top Of The Game,../lyrics/seanpaul/topofthegame.html,Dutty Rock,2003,SEAN PAUL
Ganja Breed,../lyrics/seanpaul/ganjabreed.html,Dutty Rock,2003,SEAN PAUL
Concrete,../lyrics/seanpaul/concrete.html,Dutty Rock,2003,SEAN PAUL
I'm Still In Love With You,../lyrics/seanpaul/imstillinlovewithyou.html,Dutty Rock,2003,SEAN PAUL
International Affair,../lyrics/seanpaul/internationalaffair.html,Dutty Rock,2003,SEAN PAUL
Can You Do The Work,../lyrics/seanpaul/canyoudothework.html,Dutty Rock,2003,SEAN PAUL
Punkie,../lyrics/seanpaul/punkie.html,Dutty Rock,2003,SEAN PAUL
My Name,../lyrics/seanpaul/myname.html,Dutty Rock,2003,SEAN PAUL
Junkin' Punny,../lyrics/seanpaul/junkinpunny.html,Dutty Rock,2003,SEAN PAUL
Uptown Haters (Skit),../lyrics/seanpaul/uptownhatersskit.html,Dutty Rock,2003,SEAN PAUL
Gimme The Light (Remix),../lyrics/seanpaul/gimmethelightremix.html,Dutty Rock,2003,SEAN PAUL
Bubble,../lyrics/seanpaul/bubble.html,Dutty Rock,2003,SEAN PAUL
Shake That Thing,../lyrics/seanpaul/shakethatthing.html,Dutty Rock,2003,SEAN PAUL
Esa Loca,../lyrics/seanpaul/esaloca.html,Dutty Rock,2003,SEAN PAUL
It's On,../lyrics/seanpaul/itson.html,Dutty Rock,2003,SEAN PAUL
Punkie (Espanol),../lyrics/seanpaul/punkieespanol.html,Dutty Rock,2003,SEAN PAUL
,,Dutty Rock,2003,SEAN PAUL
Fire Links Intro,../lyrics/seanpaul/firelinksintro.html,The Trinity,2005,SEAN PAUL
Head In The Zone,../lyrics/seanpaul/headinthezone.html,The Trinity,2005,SEAN PAUL
We Be Burnin',../lyrics/seanpaul/webeburnin.html,The Trinity,2005,SEAN PAUL
Send It On,../lyrics/seanpaul/senditon.html,The Trinity,2005,SEAN PAUL
Ever Blazing,../lyrics/seanpaul/everblazing.html,The Trinity,2005,SEAN PAUL
Eye Deh A Mi Knee,../lyrics/seanpaul/eyedehamiknee.html,The Trinity,2005,SEAN PAUL
Give It Up To Me,../lyrics/seanpaul/giveituptome.html,The Trinity,2005,SEAN PAUL
Yardie Bone,../lyrics/seanpaul/yardiebone.html,The Trinity,2005,SEAN PAUL
Never Gonna Be The Same,../lyrics/seanpaul/nevergonnabethesame.html,The Trinity,2005,SEAN PAUL
I'll Take You There,../lyrics/seanpaul/illtakeyouthere.html,The Trinity,2005,SEAN PAUL
Temperature,../lyrics/seanpaul/temperature.html,The Trinity,2005,SEAN PAUL
Breakout,../lyrics/seanpaul/breakout.html,The Trinity,2005,SEAN PAUL
Head To Toe,../lyrics/seanpaul/headtotoe.html,The Trinity,2005,SEAN PAUL
Connection,../lyrics/seanpaul/connection.html,The Trinity,2005,SEAN PAUL
Straight Up,../lyrics/seanpaul/straightup.html,The Trinity,2005,SEAN PAUL
All On Me,../lyrics/seanpaul/allonme.html,The Trinity,2005,SEAN PAUL
Change The Game,../lyrics/seanpaul/changethegame.html,The Trinity,2005,SEAN PAUL
The Trinity,../lyrics/seanpaul/thetrinity.html,The Trinity,2005,SEAN PAUL
Oh Man,../lyrics/seanpaul/ohman.html,The Trinity,2005,SEAN PAUL
Cry Baby Cry,../lyrics/seanpaul/crybabycry.html,The Trinity,2005,SEAN PAUL
Break It Off,../lyrics/seanpaul/breakitoff.html,The Trinity,2005,SEAN PAUL
As Time Goes On,../lyrics/seanpaul/astimegoeson.html,The Trinity,2005,SEAN PAUL
,,The Trinity,2005,SEAN PAUL
Lace It,../lyrics/seanpaul/laceit.html,Imperial Blaze,2009,SEAN PAUL
So Fine,../lyrics/seanpaul/sofine.html,Imperial Blaze,2009,SEAN PAUL
Now That I've Got Your Love,../lyrics/seanpaul/nowthativegotyourlove.html,Imperial Blaze,2009,SEAN PAUL
Birthday Suit,../lyrics/seanpaul/birthdaysuit.html,Imperial Blaze,2009,SEAN PAUL
Press It Up,../lyrics/seanpaul/pressitup.html,Imperial Blaze,2009,SEAN PAUL
Evening Ride,../lyrics/seanpaul/eveningride.html,Imperial Blaze,2009,SEAN PAUL
Hold My Hand,../lyrics/seanpaul/holdmyhand.html,Imperial Blaze,2009,SEAN PAUL
She Want Me,../lyrics/seanpaul/shewantme.html,Imperial Blaze,2009,SEAN PAUL
Daddy's Home,../lyrics/seanpaul/daddyshome.html,Imperial Blaze,2009,SEAN PAUL
Bruk Out,../lyrics/seanpaul/brukout.html,Imperial Blaze,2009,SEAN PAUL
Pepperpot,../lyrics/seanpaul/pepperpot.html,Imperial Blaze,2009,SEAN PAUL
Wine Baby Wine,../lyrics/seanpaul/winebabywine.html,Imperial Blaze,2009,SEAN PAUL
Running Out Of Time,../lyrics/seanpaul/runningoutoftime.html,Imperial Blaze,2009,SEAN PAUL
Don't Tease Me,../lyrics/seanpaul/dontteaseme.html,Imperial Blaze,2009,SEAN PAUL
Lately,../lyrics/seanpaul/lately.html,Imperial Blaze,2009,SEAN PAUL
She Wanna Be Down,../lyrics/seanpaul/shewannabedown.html,Imperial Blaze,2009,SEAN PAUL
Straight From My Heart,../lyrics/seanpaul/straightfrommyheart.html,Imperial Blaze,2009,SEAN PAUL
Private Party,../lyrics/seanpaul/privateparty.html,Imperial Blaze,2009,SEAN PAUL
I Know U Like It,../lyrics/seanpaul/iknowulikeit.html,Imperial Blaze,2009,SEAN PAUL
Agarra Mi Mano,../lyrics/seanpaul/agarramimano.html,Imperial Blaze,2009,SEAN PAUL
,,Imperial Blaze,2009,SEAN PAUL
Got 2 Luv U,../lyrics/seanpaul/got2luvu.html,Tomahawk Technique,2012,SEAN PAUL
She Doesn't Mind,../lyrics/seanpaul/shedoesntmind.html,Tomahawk Technique,2012,SEAN PAUL
Body,../lyrics/seanpaul/body.html,Tomahawk Technique,2012,SEAN PAUL
What I Want,../lyrics/seanpaul/whatiwant.html,Tomahawk Technique,2012,SEAN PAUL
Won't Stop (Turn Me Out),../lyrics/seanpaul/wontstopturnmeout.html,Tomahawk Technique,2012,SEAN PAUL
Dream Girl,../lyrics/seanpaul/dreamgirl.html,Tomahawk Technique,2012,SEAN PAUL
Hold On,../lyrics/seanpaul/holdon.html,Tomahawk Technique,2012,SEAN PAUL
How Deep Is Your Love,../lyrics/seanpaul/howdeepisyourlove.html,Tomahawk Technique,2012,SEAN PAUL
Put It On You,../lyrics/seanpaul/putitonyou.html,Tomahawk Technique,2012,SEAN PAUL
Touch the Sky,../lyrics/seanpaul/touchthesky.html,Tomahawk Technique,2012,SEAN PAUL
Wedding Crashers,../lyrics/seanpaul/weddingcrashers.html,Tomahawk Technique,2012,SEAN PAUL
Waya Waya,../lyrics/seanpaul/wayawaya.html,Tomahawk Technique,2012,SEAN PAUL
,,Tomahawk Technique,2012,SEAN PAUL
Riot,../lyrics/seanpaul/riot.html,Full Frequency,2014,SEAN PAUL
Entertainment 2.0,../lyrics/seanpaul/entertainment20.html,Full Frequency,2014,SEAN PAUL
Want Dem All,../lyrics/seanpaul/wantdemall.html,Full Frequency,2014,SEAN PAUL
Hey Baby,../lyrics/seanpaul/heybaby.html,Full Frequency,2014,SEAN PAUL
Wickedest Style,../lyrics/seanpaul/wickedeststyle.html,Full Frequency,2014,SEAN PAUL
Dangerous Ground,../lyrics/seanpaul/dangerousground.html,Full Frequency,2014,SEAN PAUL
It's Your Life,../lyrics/seanpaul/itsyourlife.html,Full Frequency,2014,SEAN PAUL
Take It Low,../lyrics/seanpaul/takeitlow.html,Full Frequency,2014,SEAN PAUL
Anyday,../lyrics/seanpaul/anyday.html,Full Frequency,2014,SEAN PAUL
Lights On,../lyrics/seanpaul/lightson.html,Full Frequency,2014,SEAN PAUL
Legacy,../lyrics/seanpaul/legacy.html,Full Frequency,2014,SEAN PAUL
Other Side Of Love,../lyrics/seanpaul/othersideoflove.html,Full Frequency,2014,SEAN PAUL
Back It Up,../lyrics/seanpaul/backitup.html,,,SEAN PAUL
Beat Like Drum,../lyrics/seanpaul/beatlikedrum.html,,,SEAN PAUL
Build,../lyrics/seanpaul/build.html,,,SEAN PAUL
Crick Neck,../lyrics/seanpaul/crickneck.html,,,SEAN PAUL
Dat U Like,../lyrics/seanpaul/datulike.html,,,SEAN PAUL
Do Di Ting,../lyrics/seanpaul/doditing.html,,,SEAN PAUL
Entertainment,../lyrics/seanpaul/entertainment.html,,,SEAN PAUL
Everyday,../lyrics/seanpaul/everyday.html,,,SEAN PAUL
Everywhere We Go,../lyrics/seanpaul/everywherewego.html,,,SEAN PAUL
Feeling The Vibe,../lyrics/seanpaul/feelingthevibe.html,,,SEAN PAUL
Front & Back,../lyrics/seanpaul/frontback.html,,,SEAN PAUL
Girls 2 Di End,../lyrics/seanpaul/girls2diend.html,,,SEAN PAUL
Give It Up To Me (Remix),../lyrics/seanpaul/giveituptomeremix.html,,,SEAN PAUL
Give Thanks For Life,../lyrics/seanpaul/givethanksforlife.html,,,SEAN PAUL
Greatest Gallis,../lyrics/seanpaul/greatestgallis.html,,,SEAN PAUL
Highest Great Story,../lyrics/seanpaul/highestgreatstory.html,,,SEAN PAUL
Hot,../lyrics/seanpaul/hot.html,,,SEAN PAUL
Hypocrite,../lyrics/seanpaul/hypocrite.html,,,SEAN PAUL
Living The Dream,../lyrics/seanpaul/livingthedream.html,,,SEAN PAUL
Mama I Love You,../lyrics/seanpaul/mamailoveyou.html,,,SEAN PAUL
Never Give Up,../lyrics/seanpaul/nevergiveup.html,,,SEAN PAUL
No Lie,../lyrics/seanpaul/nolie.html,,,SEAN PAUL
One A Way,../lyrics/seanpaul/oneaway.html,,,SEAN PAUL
One Life,../lyrics/seanpaul/onelife.html,,,SEAN PAUL
One More Try,../lyrics/seanpaul/onemoretry.html,,,SEAN PAUL
Peppering,../lyrics/seanpaul/peppering.html,,,SEAN PAUL
Pick It Up And Drop It,../lyrics/seanpaul/pickitupanddropit.html,,,SEAN PAUL
Right Stuff,../lyrics/seanpaul/rightstuff.html,,,SEAN PAUL
Shake It,../lyrics/seanpaul/shakeit.html,,,SEAN PAUL
She Doesn't Mind (Remix),../lyrics/seanpaul/shedoesntmindremix.html,,,SEAN PAUL
Sweat,../lyrics/seanpaul/sweat.html,,,SEAN PAUL
Tallest,../lyrics/seanpaul/tallest.html,,,SEAN PAUL
Tek Weh Yuh Heart,../lyrics/seanpaul/tekwehyuhheart.html,,,SEAN PAUL
Three Little Birds,../lyrics/seanpaul/threelittlebirds.html,,,SEAN PAUL
Turn Me On,../lyrics/seanpaul/turnmeon.html,,,SEAN PAUL
U Ain't Know,../lyrics/seanpaul/uaintknow.html,,,SEAN PAUL
Watch Dem Roll,../lyrics/seanpaul/watchdemroll.html,,,SEAN PAUL
We Party,../lyrics/seanpaul/weparty.html,,,SEAN PAUL
Weak Inna Knees,../lyrics/seanpaul/weakinnaknees.html,,,SEAN PAUL
