song,link,album,year,artist
Eyes On You,../lyrics/jaysean/eyesonyou.html,Me Against Myself,2004,"SEAN, JAY"
One Night,../lyrics/jaysean/onenight.html,Me Against Myself,2004,"SEAN, JAY"
Don't Rush,../lyrics/jaysean/dontrush.html,Me Against Myself,2004,"SEAN, JAY"
On & On,../lyrics/jaysean/onon.html,Me Against Myself,2004,"SEAN, JAY"
Stolen,../lyrics/jaysean/stolen.html,Me Against Myself,2004,"SEAN, JAY"
Come With Me,../lyrics/jaysean/comewithme.html,Me Against Myself,2004,"SEAN, JAY"
Holding On,../lyrics/jaysean/holdingon.html,Me Against Myself,2004,"SEAN, JAY"
Interlude (Irony Skit),../lyrics/jaysean/interludeironyskit.html,Me Against Myself,2004,"SEAN, JAY"
Dance With You,../lyrics/jaysean/dancewithyou.html,Me Against Myself,2004,"SEAN, JAY"
Man's World (Ramta Jogi),../lyrics/jaysean/mansworldramtajogi.html,Me Against Myself,2004,"SEAN, JAY"
I Believe In You,../lyrics/jaysean/ibelieveinyou.html,Me Against Myself,2004,"SEAN, JAY"
One Minute,../lyrics/jaysean/oneminute.html,Me Against Myself,2004,"SEAN, JAY"
Meri Jaan,../lyrics/jaysean/merijaan.html,Me Against Myself,2004,"SEAN, JAY"
Me Against Myself,../lyrics/jaysean/meagainstmyself.html,Me Against Myself,2004,"SEAN, JAY"
You Don't Know Me,../lyrics/jaysean/youdontknowme.html,Me Against Myself,2004,"SEAN, JAY"
Who Is Kamaljit?,../lyrics/jaysean/whoiskamaljit.html,Me Against Myself,2004,"SEAN, JAY"
,,Me Against Myself,2004,"SEAN, JAY"
Ride It,../lyrics/jaysean/rideit.html,My Own Way,2008,"SEAN, JAY"
Tonight,../lyrics/jaysean/tonight.html,My Own Way,2008,"SEAN, JAY"
Maybe,../lyrics/jaysean/maybe.html,My Own Way,2008,"SEAN, JAY"
I Won't Tell,../lyrics/jaysean/iwonttell.html,My Own Way,2008,"SEAN, JAY"
Stay,../lyrics/jaysean/stay.html,My Own Way,2008,"SEAN, JAY"
Stuck In The Middle,../lyrics/jaysean/stuckinthemiddle.html,My Own Way,2008,"SEAN, JAY"
Good Enough,../lyrics/jaysean/goodenough.html,My Own Way,2008,"SEAN, JAY"
Cry,../lyrics/jaysean/cry.html,My Own Way,2008,"SEAN, JAY"
All Or Nothing,../lyrics/jaysean/allornothing.html,My Own Way,2008,"SEAN, JAY"
Runaway,../lyrics/jaysean/runaway.html,My Own Way,2008,"SEAN, JAY"
Waiting,../lyrics/jaysean/waiting.html,My Own Way,2008,"SEAN, JAY"
Used To Love Her,../lyrics/jaysean/usedtoloveher.html,My Own Way,2008,"SEAN, JAY"
Just A Friend,../lyrics/jaysean/justafriend.html,My Own Way,2008,"SEAN, JAY"
Murder,../lyrics/jaysean/murder.html,My Own Way,2008,"SEAN, JAY"
"Easy As 1,2,3",../lyrics/jaysean/easyas123.html,My Own Way,2008,"SEAN, JAY"
I'm Gone,../lyrics/jaysean/imgone.html,My Own Way,2008,"SEAN, JAY"
Never Been In Love,../lyrics/jaysean/neverbeeninlove.html,My Own Way,2008,"SEAN, JAY"
,,My Own Way,2008,"SEAN, JAY"
Do You,../lyrics/jaysean/doyou.html,All Or Nothing,2009,"SEAN, JAY"
Fire,../lyrics/jaysean/fire.html,All Or Nothing,2009,"SEAN, JAY"
