song,link,album,year,artist
Buggin' Me,../lyrics/selwyn/bugginme.html,Meant To Be,2002,SELWYN
She Said,../lyrics/selwyn/shesaid.html,Meant To Be,2002,SELWYN
Way Love's Supposed To Be,../lyrics/selwyn/waylovessupposedtobe.html,Meant To Be,2002,SELWYN
Negative Things,../lyrics/selwyn/negativethings.html,Meant To Be,2002,SELWYN
Rich Girl,../lyrics/selwyn/richgirl.html,Meant To Be,2002,SELWYN
"Like This, Like That",../lyrics/selwyn/likethislikethat.html,Meant To Be,2002,SELWYN
Way You Make Me Feel,../lyrics/selwyn/wayyoumakemefeel.html,Meant To Be,2002,SELWYN
,,Meant To Be,2002,SELWYN
Satisfactual,../lyrics/selwyn/satisfactual.html,One Way,2004,SELWYN
Say Hey Baby,../lyrics/selwyn/sayheybaby.html,One Way,2004,SELWYN
Boomin',../lyrics/selwyn/boomin.html,One Way,2004,SELWYN
Breathe,../lyrics/selwyn/breathe.html,One Way,2004,SELWYN
Showbiz,../lyrics/selwyn/showbiz.html,One Way,2004,SELWYN
