song,link,album,year,artist
Maria Moita,../lyrics/sergiomendes/mariamoita.html,The Swinger From Rio,1964,SERGIO MENDES
Batida Diferente,../lyrics/sergiomendes/batidadiferente.html,The Swinger From Rio,1964,SERGIO MENDES
So Danco Samba,../lyrics/sergiomendes/sodancosamba.html,The Swinger From Rio,1964,SERGIO MENDES
The Girl From Ipanema (Garota De Ipanema),../lyrics/sergiomendes/thegirlfromipanemagarotadeipanema.html,The Swinger From Rio,1964,SERGIO MENDES
Inutil Paisagem,../lyrics/sergiomendes/inutilpaisagem.html,The Swinger From Rio,1964,SERGIO MENDES
Vivo Sonhando,../lyrics/sergiomendes/vivosonhando.html,The Swinger From Rio,1964,SERGIO MENDES
Primavera,../lyrics/sergiomendes/primavera.html,The Swinger From Rio,1964,SERGIO MENDES
O Morro Nao Tem Vez,../lyrics/sergiomendes/omorronaotemvez.html,The Swinger From Rio,1964,SERGIO MENDES
,,The Swinger From Rio,1964,SERGIO MENDES
Reza,../lyrics/sergiomendes/reza.html,In Person At El Matador!,1965,SERGIO MENDES
"O Morro (Feio, Nao E Bonito)",../lyrics/sergiomendes/omorrofeionaoebonito.html,In Person At El Matador!,1965,SERGIO MENDES
Black Orpheus Medley (Manha De Carnaval / Batuque De Orfeu / Samba De Orfeu / A Felicidade),../lyrics/sergiomendes/blackorpheusmedleymanhadecarnavalbatuquedeorfeusambadeorfeuafelicidade.html,In Person At El Matador!,1965,SERGIO MENDES
Arrastao (For Me),../lyrics/sergiomendes/arrastaoforme.html,In Person At El Matador!,1965,SERGIO MENDES
,,In Person At El Matador!,1965,SERGIO MENDES
So Nice (Samba De Verao),../lyrics/sergiomendes/sonicesambadeverao.html,In The Brazilian Bag! (Brasil '65),1965,SERGIO MENDES
Berimbau,../lyrics/sergiomendes/berimbau.html,In The Brazilian Bag! (Brasil '65),1965,SERGIO MENDES
One Note Samba (Samba De Uma Nota So),../lyrics/sergiomendes/onenotesambasambadeumanotaso.html,In The Brazilian Bag! (Brasil '65),1965,SERGIO MENDES
Let Me (Deixa),../lyrics/sergiomendes/letmedeixa.html,In The Brazilian Bag! (Brasil '65),1965,SERGIO MENDES
Reza,../lyrics/sergiomendes/reza.html,In The Brazilian Bag! (Brasil '65),1965,SERGIO MENDES
,,In The Brazilian Bag! (Brasil '65),1965,SERGIO MENDES
Mas Que Nada,../lyrics/sergiomendes/masquenada.html,Herb Alpert Presents Sergio Mendes & Brasil '66,1966,SERGIO MENDES
One Note Samba (Samba De Uma Nota So),../lyrics/sergiomendes/onenotesambasambadeumanotaso.html,Herb Alpert Presents Sergio Mendes & Brasil '66,1966,SERGIO MENDES
The Joker,../lyrics/sergiomendes/thejoker.html,Herb Alpert Presents Sergio Mendes & Brasil '66,1966,SERGIO MENDES
Going Out Of My Head,../lyrics/sergiomendes/goingoutofmyhead.html,Herb Alpert Presents Sergio Mendes & Brasil '66,1966,SERGIO MENDES
Tim Dom Dom,../lyrics/sergiomendes/timdomdom.html,Herb Alpert Presents Sergio Mendes & Brasil '66,1966,SERGIO MENDES
Day Tripper,../lyrics/sergiomendes/daytripper.html,Herb Alpert Presents Sergio Mendes & Brasil '66,1966,SERGIO MENDES
Agua De Beber,../lyrics/sergiomendes/aguadebeber.html,Herb Alpert Presents Sergio Mendes & Brasil '66,1966,SERGIO MENDES
Slow Hot Wind,../lyrics/sergiomendes/slowhotwind.html,Herb Alpert Presents Sergio Mendes & Brasil '66,1966,SERGIO MENDES
O Pato,../lyrics/sergiomendes/opato.html,Herb Alpert Presents Sergio Mendes & Brasil '66,1966,SERGIO MENDES
Berimbau,../lyrics/sergiomendes/berimbau.html,Herb Alpert Presents Sergio Mendes & Brasil '66,1966,SERGIO MENDES
,,Herb Alpert Presents Sergio Mendes & Brasil '66,1966,SERGIO MENDES
Constant Rain (Chove Chuva),../lyrics/sergiomendes/constantrainchovechuva.html,Equinox,1967,SERGIO MENDES
Cinnamon And Clove,../lyrics/sergiomendes/cinnamonandclove.html,Equinox,1967,SERGIO MENDES
Watch What Happens,../lyrics/sergiomendes/watchwhathappens.html,Equinox,1967,SERGIO MENDES
For Me (Arrastao),../lyrics/sergiomendes/formearrastao.html,Equinox,1967,SERGIO MENDES
Bim-Bom,../lyrics/sergiomendes/bimbom.html,Equinox,1967,SERGIO MENDES
Night And Day,../lyrics/sergiomendes/nightandday.html,Equinox,1967,SERGIO MENDES
Triste,../lyrics/sergiomendes/triste.html,Equinox,1967,SERGIO MENDES
Gente,../lyrics/sergiomendes/gente.html,Equinox,1967,SERGIO MENDES
Wave,../lyrics/sergiomendes/wave.html,Equinox,1967,SERGIO MENDES
So Danco Samba (Jazz 'N Samba),../lyrics/sergiomendes/sodancosambajazznsamba.html,Equinox,1967,SERGIO MENDES
,,Equinox,1967,SERGIO MENDES
The Fool On The Hill,../lyrics/sergiomendes/thefoolonthehill.html,Fool On The Hill,1968,SERGIO MENDES
Festa,../lyrics/sergiomendes/festa.html,Fool On The Hill,1968,SERGIO MENDES
Canto Triste,../lyrics/sergiomendes/cantotriste.html,Fool On The Hill,1968,SERGIO MENDES
"Upa, Neguinho",../lyrics/sergiomendes/upaneguinho.html,Fool On The Hill,1968,SERGIO MENDES
Lapinha,../lyrics/sergiomendes/lapinha.html,Fool On The Hill,1968,SERGIO MENDES
Scarborough Fair,../lyrics/sergiomendes/scarboroughfair.html,Fool On The Hill,1968,SERGIO MENDES
When Summer Turns To Snow,../lyrics/sergiomendes/whensummerturnstosnow.html,Fool On The Hill,1968,SERGIO MENDES
Laia Ladaia (Reza),../lyrics/sergiomendes/laialadaiareza.html,Fool On The Hill,1968,SERGIO MENDES
,,Fool On The Hill,1968,SERGIO MENDES
With A Little Help From My Friends,../lyrics/sergiomendes/withalittlehelpfrommyfriends.html,Look Around,1968,SERGIO MENDES
Roda,../lyrics/sergiomendes/roda.html,Look Around,1968,SERGIO MENDES
Like A Lover (O Cantador),../lyrics/sergiomendes/likealoverocantador.html,Look Around,1968,SERGIO MENDES
The Frog,../lyrics/sergiomendes/thefrog.html,Look Around,1968,SERGIO MENDES
Tristeza (Goodbye Sadness),../lyrics/sergiomendes/tristezagoodbyesadness.html,Look Around,1968,SERGIO MENDES
The Look Of Love,../lyrics/sergiomendes/thelookoflove.html,Look Around,1968,SERGIO MENDES
Pra Dizer Adeus (To Say Goodbye),../lyrics/sergiomendes/pradizeradeustosaygoodbye.html,Look Around,1968,SERGIO MENDES
Batucada,../lyrics/sergiomendes/batucada.html,Look Around,1968,SERGIO MENDES
So Many Stars,../lyrics/sergiomendes/somanystars.html,Look Around,1968,SERGIO MENDES
Look Around,../lyrics/sergiomendes/lookaround.html,Look Around,1968,SERGIO MENDES
,,Look Around,1968,SERGIO MENDES
(Sittin' On) The Dock Of The Bay,../lyrics/sergiomendes/sittinonthedockofthebay.html,Crystal Illusions,1969,SERGIO MENDES
Viola,../lyrics/sergiomendes/viola.html,Crystal Illusions,1969,SERGIO MENDES
Song Of No Regrets,../lyrics/sergiomendes/songofnoregrets.html,Crystal Illusions,1969,SERGIO MENDES
Salt Sea,../lyrics/sergiomendes/saltsea.html,Crystal Illusions,1969,SERGIO MENDES
Empty Faces,../lyrics/sergiomendes/emptyfaces.html,Crystal Illusions,1969,SERGIO MENDES
Pretty World (Sa Marina),../lyrics/sergiomendes/prettyworldsamarina.html,Crystal Illusions,1969,SERGIO MENDES
You Stepped Out Of A Dream,../lyrics/sergiomendes/yousteppedoutofadream.html,Crystal Illusions,1969,SERGIO MENDES
Crystal Illusions (Memorias De Marta Sare),../lyrics/sergiomendes/crystalillusionsmemoriasdemartasare.html,Crystal Illusions,1969,SERGIO MENDES
,,Crystal Illusions,1969,SERGIO MENDES
Wichita Lineman,../lyrics/sergiomendes/wichitalineman.html,Ye-Me-LÃª,1969,SERGIO MENDES
Norwegian Wood,../lyrics/sergiomendes/norwegianwood.html,Ye-Me-LÃª,1969,SERGIO MENDES
Some Time Ago,../lyrics/sergiomendes/sometimeago.html,Ye-Me-LÃª,1969,SERGIO MENDES
Moanin',../lyrics/sergiomendes/moanin.html,Ye-Me-LÃª,1969,SERGIO MENDES
Look Who's Mine,../lyrics/sergiomendes/lookwhosmine.html,Ye-Me-LÃª,1969,SERGIO MENDES
Ye-Me-LÃª,../lyrics/sergiomendes/yemele.html,Ye-Me-LÃª,1969,SERGIO MENDES
Easy To Be Hard,../lyrics/sergiomendes/easytobehard.html,Ye-Me-LÃª,1969,SERGIO MENDES
Masquerade,../lyrics/sergiomendes/masquerade.html,Ye-Me-LÃª,1969,SERGIO MENDES
What The World Needs Now,../lyrics/sergiomendes/whattheworldneedsnow.html,Ye-Me-LÃª,1969,SERGIO MENDES
,,Ye-Me-LÃª,1969,SERGIO MENDES
Stillness,../lyrics/sergiomendes/stillness.html,Stillness,1970,SERGIO MENDES
Righteous Life,../lyrics/sergiomendes/righteouslife.html,Stillness,1970,SERGIO MENDES
Chelsea Morning,../lyrics/sergiomendes/chelseamorning.html,Stillness,1970,SERGIO MENDES
Cancao Do Nosso Amor,../lyrics/sergiomendes/cancaodonossoamor.html,Stillness,1970,SERGIO MENDES
Viramundo,../lyrics/sergiomendes/viramundo.html,Stillness,1970,SERGIO MENDES
Lost In Paradise,../lyrics/sergiomendes/lostinparadise.html,Stillness,1970,SERGIO MENDES
For What It's Worth,../lyrics/sergiomendes/forwhatitsworth.html,Stillness,1970,SERGIO MENDES
Sometimes In Winter,../lyrics/sergiomendes/sometimesinwinter.html,Stillness,1970,SERGIO MENDES
Stillness (Reprise),../lyrics/sergiomendes/stillnessreprise.html,Stillness,1970,SERGIO MENDES
,,Stillness,1970,SERGIO MENDES
Pais Tropical,../lyrics/sergiomendes/paistropical.html,Pais Tropical,1971,SERGIO MENDES
So Many People,../lyrics/sergiomendes/somanypeople.html,Pais Tropical,1971,SERGIO MENDES
Morro Velho,../lyrics/sergiomendes/morrovelho.html,Pais Tropical,1971,SERGIO MENDES
Tonga (A Tonga Da Mironga Do Kabulete),../lyrics/sergiomendes/tongaatongadamirongadokabulete.html,Pais Tropical,1971,SERGIO MENDES
Gone Forever,../lyrics/sergiomendes/goneforever.html,Pais Tropical,1971,SERGIO MENDES
I Know You,../lyrics/sergiomendes/iknowyou.html,Pais Tropical,1971,SERGIO MENDES
After Midnight,../lyrics/sergiomendes/aftermidnight.html,Pais Tropical,1971,SERGIO MENDES
,,Pais Tropical,1971,SERGIO MENDES
Promise Of A Fisherman (Promessa De Pescador),../lyrics/sergiomendes/promiseofafishermanpromessadepescador.html,Primal Roots (RaÃ­zes),1972,SERGIO MENDES
Jogo De Roda (The Circle Game),../lyrics/sergiomendes/jogoderodathecirclegame.html,Primal Roots (RaÃ­zes),1972,SERGIO MENDES
,,Primal Roots (RaÃ­zes),1972,SERGIO MENDES
Where Is This Love,../lyrics/sergiomendes/whereisthislove.html,Love Music,1973,SERGIO MENDES
Put A Little Love Away,../lyrics/sergiomendes/putalittleloveaway.html,Love Music,1973,SERGIO MENDES
Don't Let Me Be Lonely Tonight,../lyrics/sergiomendes/dontletmebelonelytonight.html,Love Music,1973,SERGIO MENDES
Killing Me Softly With His Song,../lyrics/sergiomendes/killingmesoftlywithhissong.html,Love Music,1973,SERGIO MENDES
You Can't Dress Up A Broken Heart,../lyrics/sergiomendes/youcantdressupabrokenheart.html,Love Music,1973,SERGIO MENDES
I Won't Last A Day Without You,../lyrics/sergiomendes/iwontlastadaywithoutyou.html,Love Music,1973,SERGIO MENDES
I Can See Clearly Now,../lyrics/sergiomendes/icanseeclearlynow.html,Love Music,1973,SERGIO MENDES
,,Love Music,1973,SERGIO MENDES
Don't You Worry 'Bout A Thing,../lyrics/sergiomendes/dontyouworryboutathing.html,Vintage 74,1974,SERGIO MENDES
This Masquerade,../lyrics/sergiomendes/thismasquerade.html,Vintage 74,1974,SERGIO MENDES
Waters Of March (Aguas De Marco),../lyrics/sergiomendes/watersofmarchaguasdemarco.html,Vintage 74,1974,SERGIO MENDES
Waiting For Love,../lyrics/sergiomendes/waitingforlove.html,Vintage 74,1974,SERGIO MENDES
Marinheiro So (Lonely Sailor),../lyrics/sergiomendes/marinheirosolonelysailor.html,Vintage 74,1974,SERGIO MENDES
Voce Abusou,../lyrics/sergiomendes/voceabusou.html,Vintage 74,1974,SERGIO MENDES
Superstition,../lyrics/sergiomendes/superstition.html,Vintage 74,1974,SERGIO MENDES
Funny You Should Say That,../lyrics/sergiomendes/funnyyoushouldsaythat.html,Vintage 74,1974,SERGIO MENDES
Double Rainbow (Chovendo Na Roseira),../lyrics/sergiomendes/doublerainbowchovendonaroseira.html,Vintage 74,1974,SERGIO MENDES
If You Really Love Me,../lyrics/sergiomendes/ifyoureallyloveme.html,Vintage 74,1974,SERGIO MENDES
,,Vintage 74,1974,SERGIO MENDES
Emorio,../lyrics/sergiomendes/emorio.html,Homecooking,1976,SERGIO MENDES
"Where To Now, St. Peter?",../lyrics/sergiomendes/wheretonowstpeter.html,Homecooking,1976,SERGIO MENDES
,,Homecooking,1976,SERGIO MENDES
Love Me Tomorrow,../lyrics/sergiomendes/lovemetomorrow.html,Sergio Mendes & The New Brasil '77,1977,SERGIO MENDES
Love City,../lyrics/sergiomendes/lovecity.html,Sergio Mendes & The New Brasil '77,1977,SERGIO MENDES
If You Leave Me Now,../lyrics/sergiomendes/ifyouleavemenow.html,Sergio Mendes & The New Brasil '77,1977,SERGIO MENDES
The Real Thing,../lyrics/sergiomendes/therealthing.html,Sergio Mendes & The New Brasil '77,1977,SERGIO MENDES
,,Sergio Mendes & The New Brasil '77,1977,SERGIO MENDES
Bridges (Travessia),../lyrics/sergiomendes/bridgestravessia.html,Brasil '88,1978,SERGIO MENDES
