song,link,album,year,artist
Empty Walls,../lyrics/serjtankian/emptywalls.html,Elect The Dead,2007,SERJ TANKIAN
The Unthinking Majority,../lyrics/serjtankian/theunthinkingmajority.html,Elect The Dead,2007,SERJ TANKIAN
Money,../lyrics/serjtankian/money.html,Elect The Dead,2007,SERJ TANKIAN
Feed Us,../lyrics/serjtankian/feedus.html,Elect The Dead,2007,SERJ TANKIAN
Saving Us,../lyrics/serjtankian/savingus.html,Elect The Dead,2007,SERJ TANKIAN
Sky Is Over,../lyrics/serjtankian/skyisover.html,Elect The Dead,2007,SERJ TANKIAN
Baby,../lyrics/serjtankian/baby.html,Elect The Dead,2007,SERJ TANKIAN
Honking Antelope,../lyrics/serjtankian/honkingantelope.html,Elect The Dead,2007,SERJ TANKIAN
Lie Lie Lie,../lyrics/serjtankian/lielielie.html,Elect The Dead,2007,SERJ TANKIAN
Praise The Lord And Pass The Ammunition,../lyrics/serjtankian/praisethelordandpasstheammunition.html,Elect The Dead,2007,SERJ TANKIAN
Beethoven's Cunt,../lyrics/serjtankian/beethovenscunt.html,Elect The Dead,2007,SERJ TANKIAN
Elect The Dead,../lyrics/serjtankian/electthedead.html,Elect The Dead,2007,SERJ TANKIAN
Blue,../lyrics/serjtankian/blue.html,Elect The Dead,2007,SERJ TANKIAN
Empty Walls (Acoustic),../lyrics/serjtankian/emptywallsacoustic.html,Elect The Dead,2007,SERJ TANKIAN
Falling Stars,../lyrics/serjtankian/fallingstars.html,Elect The Dead,2007,SERJ TANKIAN
The Reverend King,../lyrics/serjtankian/thereverendking.html,Elect The Dead,2007,SERJ TANKIAN
Gratefully Disappeared,../lyrics/serjtankian/gratefullydisappeared.html,Elect The Dead,2007,SERJ TANKIAN
,,Elect The Dead,2007,SERJ TANKIAN
Disowned Inc.,../lyrics/serjtankian/disownedinc.html,Imperfect Harmonies,2010,SERJ TANKIAN
Borders Are,../lyrics/serjtankian/bordersare.html,Imperfect Harmonies,2010,SERJ TANKIAN
Deserving?,../lyrics/serjtankian/deserving.html,Imperfect Harmonies,2010,SERJ TANKIAN
Beat Us,../lyrics/serjtankian/beatus.html,Imperfect Harmonies,2010,SERJ TANKIAN
Reconstructive Demonstrations,../lyrics/serjtankian/reconstructivedemonstrations.html,Imperfect Harmonies,2010,SERJ TANKIAN
Electron,../lyrics/serjtankian/electron.html,Imperfect Harmonies,2010,SERJ TANKIAN
Gate 21,../lyrics/serjtankian/gate21.html,Imperfect Harmonies,2010,SERJ TANKIAN
"Yes, It's Genocide",../lyrics/serjtankian/yesitsgenocide.html,Imperfect Harmonies,2010,SERJ TANKIAN
Peace Be Revenged,../lyrics/serjtankian/peaceberevenged.html,Imperfect Harmonies,2010,SERJ TANKIAN
Left Of Center,../lyrics/serjtankian/leftofcenter.html,Imperfect Harmonies,2010,SERJ TANKIAN
Wings Of Summer,../lyrics/serjtankian/wingsofsummer.html,Imperfect Harmonies,2010,SERJ TANKIAN
Goddamn Trigger,../lyrics/serjtankian/goddamntrigger.html,Imperfect Harmonies,2010,SERJ TANKIAN
,,Imperfect Harmonies,2010,SERJ TANKIAN
Cornucopia,../lyrics/serjtankian/cornucopia.html,Harakiri,2012,SERJ TANKIAN
Figure It Out,../lyrics/serjtankian/figureitout.html,Harakiri,2012,SERJ TANKIAN
Ching Chime,../lyrics/serjtankian/chingchime.html,Harakiri,2012,SERJ TANKIAN
Butterfly,../lyrics/serjtankian/butterfly.html,Harakiri,2012,SERJ TANKIAN
Harakiri,../lyrics/serjtankian/harakiri.html,Harakiri,2012,SERJ TANKIAN
Occupied Tears,../lyrics/serjtankian/occupiedtears.html,Harakiri,2012,SERJ TANKIAN
Deafening Silence,../lyrics/serjtankian/deafeningsilence.html,Harakiri,2012,SERJ TANKIAN
Forget Me Knot,../lyrics/serjtankian/forgetmeknot.html,Harakiri,2012,SERJ TANKIAN
Reality TV,../lyrics/serjtankian/realitytv.html,Harakiri,2012,SERJ TANKIAN
Uneducated Democracy,../lyrics/serjtankian/uneducateddemocracy.html,Harakiri,2012,SERJ TANKIAN
Weave On,../lyrics/serjtankian/weaveon.html,Harakiri,2012,SERJ TANKIAN
Revolver,../lyrics/serjtankian/revolver.html,Harakiri,2012,SERJ TANKIAN
Tyrant's Gratitude,../lyrics/serjtankian/tyrantsgratitude.html,Harakiri,2012,SERJ TANKIAN
Artsakh,../lyrics/serjtankian/artsakh.html,,,SERJ TANKIAN
Distant Thing,../lyrics/serjtankian/distantthing.html,,,SERJ TANKIAN
Fears,../lyrics/serjtankian/fears.html,,,SERJ TANKIAN
Garuna,../lyrics/serjtankian/garuna.html,,,SERJ TANKIAN
Miso Soup,../lyrics/serjtankian/misosoup.html,,,SERJ TANKIAN
The Charade,../lyrics/serjtankian/thecharade.html,,,SERJ TANKIAN
Total Paranoia,../lyrics/serjtankian/totalparanoia.html,,,SERJ TANKIAN
