song,link,album,year,artist
Don't Leave,../lyrics/sevenlions/dontleave.html,Worlds Apart,2014,SEVEN LIONS
Worlds Apart,../lyrics/sevenlions/worldsapart.html,Worlds Apart,2014,SEVEN LIONS
Strangers,../lyrics/sevenlions/strangers.html,Worlds Apart,2014,SEVEN LIONS
Keep It Close,../lyrics/sevenlions/keepitclose.html,Worlds Apart,2014,SEVEN LIONS
,,Worlds Apart,2014,SEVEN LIONS
The End,../lyrics/sevenlions/theend.html,The Throes Of Winter,2015,SEVEN LIONS
Lose Myself,../lyrics/sevenlions/losemyself.html,The Throes Of Winter,2015,SEVEN LIONS
December,../lyrics/sevenlions/december.html,The Throes Of Winter,2015,SEVEN LIONS
A Way To Say Goodbye,../lyrics/sevenlions/awaytosaygoodbye.html,The Throes Of Winter,2015,SEVEN LIONS
,,The Throes Of Winter,2015,SEVEN LIONS
Creation,../lyrics/sevenlions/creation.html,Creation,2016,SEVEN LIONS
Coming Home,../lyrics/sevenlions/cominghome.html,Creation,2016,SEVEN LIONS
Falling Away - Festival Mix (Radio Edit),../lyrics/sevenlions/fallingawayfestivalmixradioedit.html,Creation,2016,SEVEN LIONS
Cold Skin,../lyrics/sevenlions/coldskin.html,,,SEVEN LIONS
Days To Come,../lyrics/sevenlions/daystocome.html,,,SEVEN LIONS
Falling Away,../lyrics/sevenlions/fallingaway.html,,,SEVEN LIONS
Higher Love,../lyrics/sevenlions/higherlove.html,,,SEVEN LIONS
Rush Over Me,../lyrics/sevenlions/rushoverme.html,,,SEVEN LIONS
