song,link,album,year,artist
Holidays In The Sun,../lyrics/sexpistols/holidaysinthesun.html,"Never Mind The Bollocks, Here's The Sex Pistols",1977,SEX PISTOLS
Bodies,../lyrics/sexpistols/bodies.html,"Never Mind The Bollocks, Here's The Sex Pistols",1977,SEX PISTOLS
No Feelings,../lyrics/sexpistols/nofeelings.html,"Never Mind The Bollocks, Here's The Sex Pistols",1977,SEX PISTOLS
Liar,../lyrics/sexpistols/liar.html,"Never Mind The Bollocks, Here's The Sex Pistols",1977,SEX PISTOLS
God Save The Queen,../lyrics/sexpistols/godsavethequeen.html,"Never Mind The Bollocks, Here's The Sex Pistols",1977,SEX PISTOLS
Problems,../lyrics/sexpistols/problems.html,"Never Mind The Bollocks, Here's The Sex Pistols",1977,SEX PISTOLS
Seventeen,../lyrics/sexpistols/seventeen.html,"Never Mind The Bollocks, Here's The Sex Pistols",1977,SEX PISTOLS
Anarchy In The U.K.,../lyrics/sexpistols/anarchyintheuk.html,"Never Mind The Bollocks, Here's The Sex Pistols",1977,SEX PISTOLS
Sub-Mission,../lyrics/sexpistols/submission.html,"Never Mind The Bollocks, Here's The Sex Pistols",1977,SEX PISTOLS
Pretty Vacant,../lyrics/sexpistols/prettyvacant.html,"Never Mind The Bollocks, Here's The Sex Pistols",1977,SEX PISTOLS
New York,../lyrics/sexpistols/newyork.html,"Never Mind The Bollocks, Here's The Sex Pistols",1977,SEX PISTOLS
EMI,../lyrics/sexpistols/emi.html,"Never Mind The Bollocks, Here's The Sex Pistols",1977,SEX PISTOLS
,,"Never Mind The Bollocks, Here's The Sex Pistols",1977,SEX PISTOLS
Johnny B. Goode / Road Runner,../lyrics/sexpistols/johnnybgooderoadrunner.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
Substitute,../lyrics/sexpistols/substitute.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
(Don't Give Me) No Lip (Child),../lyrics/sexpistols/dontgivemenolipchild.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
(I'm Not Your) Stepping Stone,../lyrics/sexpistols/imnotyoursteppingstone.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
L'Anarchie Pour Le UK,../lyrics/sexpistols/lanarchiepourleuk.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
Belsen Was A Gas,../lyrics/sexpistols/belsenwasagas.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
Silly Thing,../lyrics/sexpistols/sillything.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
My Way,../lyrics/sexpistols/myway.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
I Wanna Be Me,../lyrics/sexpistols/iwannabeme.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
Something Else,../lyrics/sexpistols/somethingelse.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
Rock Around The Clock,../lyrics/sexpistols/rockaroundtheclock.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
Lonely Boy,../lyrics/sexpistols/lonelyboy.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
No One Is Innocent (The Biggest Blow),../lyrics/sexpistols/nooneisinnocentthebiggestblow.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
C'mon Everybody,../lyrics/sexpistols/cmoneverybody.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
EMI (Orch),../lyrics/sexpistols/emiorch.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
The Great Rock 'n' Roll Swindle,../lyrics/sexpistols/thegreatrocknrollswindle.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
Friggin' In The Riggin',../lyrics/sexpistols/frigginintheriggin.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
You Need Hands,../lyrics/sexpistols/youneedhands.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
Who Killed Bambi?,../lyrics/sexpistols/whokilledbambi.html,The Great Rock 'N' Roll Swindle,1979,SEX PISTOLS
Belsen Was A Gas (Ronnie Biggs Movie Version),../lyrics/sexpistols/belsenwasagasronniebiggsmovieversion.html,,,SEX PISTOLS
Black Leather,../lyrics/sexpistols/blackleather.html,,,SEX PISTOLS
Did You No Wrong,../lyrics/sexpistols/didyounowrong.html,,,SEX PISTOLS
Here We Go Again,../lyrics/sexpistols/herewegoagain.html,,,SEX PISTOLS
I'm A Lazy Sod,../lyrics/sexpistols/imalazysod.html,,,SEX PISTOLS
No Fun,../lyrics/sexpistols/nofun.html,,,SEX PISTOLS
Satellite,../lyrics/sexpistols/satellite.html,,,SEX PISTOLS
Schools Are Prisons,../lyrics/sexpistols/schoolsareprisons.html,,,SEX PISTOLS
Search And Destroy,../lyrics/sexpistols/searchanddestroy.html,,,SEX PISTOLS
Sex On 45,../lyrics/sexpistols/sexon45.html,,,SEX PISTOLS
Through My Eyes,../lyrics/sexpistols/throughmyeyes.html,,,SEX PISTOLS
