song,link,album,year,artist
Twisted Mind,../lyrics/shakaponk/twistedmind.html,Bad Porn Movie Trax,2010,SHAKA PONK
Hombre Que Soy,../lyrics/shakaponk/hombrequesoy.html,Bad Porn Movie Trax,2010,SHAKA PONK
Prima Scene,../lyrics/shakaponk/primascene.html,Bad Porn Movie Trax,2010,SHAKA PONK
Some Guide,../lyrics/shakaponk/someguide.html,Bad Porn Movie Trax,2010,SHAKA PONK
How We Kill Stars,../lyrics/shakaponk/howwekillstars.html,Bad Porn Movie Trax,2010,SHAKA PONK
Mad O U,../lyrics/shakaponk/madou.html,Bad Porn Movie Trax,2010,SHAKA PONK
Do,../lyrics/shakaponk/do.html,Bad Porn Movie Trax,2010,SHAKA PONK
Te Gusta Me,../lyrics/shakaponk/tegustame.html,Bad Porn Movie Trax,2010,SHAKA PONK
French Touch Puta Madre,../lyrics/shakaponk/frenchtouchputamadre.html,Bad Porn Movie Trax,2010,SHAKA PONK
Gotta Get Me High,../lyrics/shakaponk/gottagetmehigh.html,Bad Porn Movie Trax,2010,SHAKA PONK
Sum Luv,../lyrics/shakaponk/sumluv.html,Bad Porn Movie Trax,2010,SHAKA PONK
Alak Okan,../lyrics/shakaponk/alakokan.html,Bad Porn Movie Trax,2010,SHAKA PONK
Make It Mine,../lyrics/shakaponk/makeitmine.html,Bad Porn Movie Trax,2010,SHAKA PONK
Just A Nerd,../lyrics/shakaponk/justanerd.html,Bad Porn Movie Trax,2010,SHAKA PONK
Stop The Bot,../lyrics/shakaponk/stopthebot.html,Bad Porn Movie Trax,2010,SHAKA PONK
,,Bad Porn Movie Trax,2010,SHAKA PONK
Let's Bang,../lyrics/shakaponk/letsbang.html,The Geeks And The Jerkin' Socks,2011,SHAKA PONK
I'm Picky,../lyrics/shakaponk/impicky.html,The Geeks And The Jerkin' Socks,2011,SHAKA PONK
Brunette Localicious,../lyrics/shakaponk/brunettelocalicious.html,The Geeks And The Jerkin' Socks,2011,SHAKA PONK
I'm A Lady,../lyrics/shakaponk/imalady.html,The Geeks And The Jerkin' Socks,2011,SHAKA PONK
Sex Ball,../lyrics/shakaponk/sexball.html,The Geeks And The Jerkin' Socks,2011,SHAKA PONK
My Name Is Stain,../lyrics/shakaponk/mynameisstain.html,The Geeks And The Jerkin' Socks,2011,SHAKA PONK
Shiza Radio,../lyrics/shakaponk/shizaradio.html,The Geeks And The Jerkin' Socks,2011,SHAKA PONK
Run Run Run,../lyrics/shakaponk/runrunrun.html,The Geeks And The Jerkin' Socks,2011,SHAKA PONK
Dancing Dead,../lyrics/shakaponk/dancingdead.html,The Geeks And The Jerkin' Socks,2011,SHAKA PONK
Reset After All,../lyrics/shakaponk/resetafterall.html,The Geeks And The Jerkin' Socks,2011,SHAKA PONK
Old School Rocka,../lyrics/shakaponk/oldschoolrocka.html,The Geeks And The Jerkin' Socks,2011,SHAKA PONK
Palabra Mi Amor,../lyrics/shakaponk/palabramiamor.html,The Geeks And The Jerkin' Socks,2011,SHAKA PONK
,,The Geeks And The Jerkin' Socks,2011,SHAKA PONK
Lucky G1rl,../lyrics/shakaponk/luckyg1rl.html,The White Pixel Ape (Smoking Isolate To Keep In Shape),2014,SHAKA PONK
Wanna Get Free,../lyrics/shakaponk/wannagetfree.html,The White Pixel Ape (Smoking Isolate To Keep In Shape),2014,SHAKA PONK
M0nkey On The Wall,../lyrics/shakaponk/m0nkeyonthewall.html,The White Pixel Ape (Smoking Isolate To Keep In Shape),2014,SHAKA PONK
Scarify,../lyrics/shakaponk/scarify.html,The White Pixel Ape (Smoking Isolate To Keep In Shape),2014,SHAKA PONK
Black Listed,../lyrics/shakaponk/blacklisted.html,The White Pixel Ape (Smoking Isolate To Keep In Shape),2014,SHAKA PONK
An Eloquent,../lyrics/shakaponk/aneloquent.html,The White Pixel Ape (Smoking Isolate To Keep In Shape),2014,SHAKA PONK
W0tz Goin'ON,../lyrics/shakaponk/w0tzgoinon.html,The White Pixel Ape (Smoking Isolate To Keep In Shape),2014,SHAKA PONK
Story O' My LF,../lyrics/shakaponk/storyomylf.html,The White Pixel Ape (Smoking Isolate To Keep In Shape),2014,SHAKA PONK
Gimme Guitarrrrra,../lyrics/shakaponk/gimmeguitarrrrra.html,The White Pixel Ape (Smoking Isolate To Keep In Shape),2014,SHAKA PONK
Last Alone,../lyrics/shakaponk/lastalone.html,The White Pixel Ape (Smoking Isolate To Keep In Shape),2014,SHAKA PONK
Altered Native Soul,../lyrics/shakaponk/alterednativesoul.html,The White Pixel Ape (Smoking Isolate To Keep In Shape),2014,SHAKA PONK
Heal Me Kill Me,../lyrics/shakaponk/healmekillme.html,The White Pixel Ape (Smoking Isolate To Keep In Shape),2014,SHAKA PONK
6xLove,../lyrics/shakaponk/6xlove.html,The White Pixel Ape (Smoking Isolate To Keep In Shape),2014,SHAKA PONK
,,The White Pixel Ape (Smoking Isolate To Keep In Shape),2014,SHAKA PONK
On The Ro',../lyrics/shakaponk/onthero.html,The Black Pixel Ape (Drinking Cigarettes To Take A Break),2014,SHAKA PONK
Come On Cama,../lyrics/shakaponk/comeoncama.html,The Black Pixel Ape (Drinking Cigarettes To Take A Break),2014,SHAKA PONK
The Shell Maid Freak,../lyrics/shakaponk/theshellmaidfreak.html,The Black Pixel Ape (Drinking Cigarettes To Take A Break),2014,SHAKA PONK
Lucky Boy,../lyrics/shakaponk/luckyboy.html,The Black Pixel Ape (Drinking Cigarettes To Take A Break),2014,SHAKA PONK
Frag Dog,../lyrics/shakaponk/fragdog.html,The Black Pixel Ape (Drinking Cigarettes To Take A Break),2014,SHAKA PONK
Happy Ape Rodeo,../lyrics/shakaponk/happyaperodeo.html,The Black Pixel Ape (Drinking Cigarettes To Take A Break),2014,SHAKA PONK
Time Has Come,../lyrics/shakaponk/timehascome.html,The Black Pixel Ape (Drinking Cigarettes To Take A Break),2014,SHAKA PONK
4xget,../lyrics/shakaponk/4xget.html,The Black Pixel Ape (Drinking Cigarettes To Take A Break),2014,SHAKA PONK
Morir Cantando,../lyrics/shakaponk/morircantando.html,The Black Pixel Ape (Drinking Cigarettes To Take A Break),2014,SHAKA PONK
