song,link,album,year,artist
Everything To Me,../lyrics/shanefilan/everythingtome.html,You & Me,2013,SHANE FILAN
About You,../lyrics/shanefilan/aboutyou.html,You & Me,2013,SHANE FILAN
All You Need To Know,../lyrics/shanefilan/allyouneedtoknow.html,You & Me,2013,SHANE FILAN
Knee Deep In My Heart,../lyrics/shanefilan/kneedeepinmyheart.html,You & Me,2013,SHANE FILAN
One Of These Days,../lyrics/shanefilan/oneofthesedays.html,You & Me,2013,SHANE FILAN
Everytime,../lyrics/shanefilan/everytime.html,You & Me,2013,SHANE FILAN
Always Tomorrow,../lyrics/shanefilan/alwaystomorrow.html,You & Me,2013,SHANE FILAN
When I Met You,../lyrics/shanefilan/whenimetyou.html,You & Me,2013,SHANE FILAN
Everything's Gonna Be Alright,../lyrics/shanefilan/everythingsgonnabealright.html,You & Me,2013,SHANE FILAN
Coming Home,../lyrics/shanefilan/cominghome.html,You & Me,2013,SHANE FILAN
Baby Let's Dance,../lyrics/shanefilan/babyletsdance.html,You & Me,2013,SHANE FILAN
In The End,../lyrics/shanefilan/intheend.html,You & Me,2013,SHANE FILAN
You And Me,../lyrics/shanefilan/youandme.html,You & Me,2013,SHANE FILAN
Just The Way You Love Me,../lyrics/shanefilan/justthewayyouloveme.html,You & Me,2013,SHANE FILAN
Once,../lyrics/shanefilan/once.html,You & Me,2013,SHANE FILAN
Today's Not Yesterday,../lyrics/shanefilan/todaysnotyesterday.html,You & Me,2013,SHANE FILAN
Amazed,../lyrics/shanefilan/amazed.html,You & Me,2013,SHANE FILAN
,,You & Me,2013,SHANE FILAN
Me And The Moon,../lyrics/shanefilan/meandthemoon.html,Right Here,2015,SHANE FILAN
I Could Be,../lyrics/shanefilan/icouldbe.html,Right Here,2015,SHANE FILAN
Right Here,../lyrics/shanefilan/righthere.html,Right Here,2015,SHANE FILAN
Beautiful To Me,../lyrics/shanefilan/beautifultome.html,Right Here,2015,SHANE FILAN
Your Love Carries Me,../lyrics/shanefilan/yourlovecarriesme.html,Right Here,2015,SHANE FILAN
Better Off A Fool,../lyrics/shanefilan/betteroffafool.html,Right Here,2015,SHANE FILAN
Worst Kind Of Love,../lyrics/shanefilan/worstkindoflove.html,Right Here,2015,SHANE FILAN
I Can't Get Over You,../lyrics/shanefilan/icantgetoveryou.html,Right Here,2015,SHANE FILAN
Effortlessly You,../lyrics/shanefilan/effortlesslyyou.html,Right Here,2015,SHANE FILAN
All My Love,../lyrics/shanefilan/allmylove.html,Right Here,2015,SHANE FILAN
Beautiful In White,../lyrics/shanefilan/beautifulinwhite.html,,,SHANE FILAN
True Colors,../lyrics/shanefilan/truecolors.html,,,SHANE FILAN
When I Grow Up,../lyrics/shanefilan/whenigrowup.html,,,SHANE FILAN
