song,link,album,year,artist
Cry No More,../lyrics/shareefa/crynomore.html,Point Of No Return,2006,SHAREEFA
U Told Me,../lyrics/shareefa/utoldme.html,Point Of No Return,2006,SHAREEFA
Need A Boss,../lyrics/shareefa/needaboss.html,Point Of No Return,2006,SHAREEFA
No One Said,../lyrics/shareefa/noonesaid.html,Point Of No Return,2006,SHAREEFA
Butterfly,../lyrics/shareefa/butterfly.html,Point Of No Return,2006,SHAREEFA
How Good Luv Feels / Shareefa Interview 1,../lyrics/shareefa/howgoodluvfeelsshareefainterview1.html,Point Of No Return,2006,SHAREEFA
Phony / Shareefa Interview 2,../lyrics/shareefa/phonyshareefainterview2.html,Point Of No Return,2006,SHAREEFA
Assumptions,../lyrics/shareefa/assumptions.html,Point Of No Return,2006,SHAREEFA
Hey Babe (Give Me Ya Lovin'),../lyrics/shareefa/heybabegivemeyalovin.html,Point Of No Return,2006,SHAREEFA
Eye Wonder,../lyrics/shareefa/eyewonder.html,Point Of No Return,2006,SHAREEFA
Trippin',../lyrics/shareefa/trippin.html,Point Of No Return,2006,SHAREEFA
Fevah (He Don't Know),../lyrics/shareefa/fevahhedontknow.html,Point Of No Return,2006,SHAREEFA
