song,link,album,year,artist
Every Time I Look At You,../lyrics/blakeshelton/everytimeilookatyou.html,Blake Shelton,2001,"SHELTON, BLAKE"
All Over Me,../lyrics/blakeshelton/alloverme.html,Blake Shelton,2001,"SHELTON, BLAKE"
She Doesn't Know She's Got It,../lyrics/blakeshelton/shedoesntknowshesgotit.html,Blake Shelton,2001,"SHELTON, BLAKE"
Austin,../lyrics/blakeshelton/austin.html,Blake Shelton,2001,"SHELTON, BLAKE"
Ol' Red,../lyrics/blakeshelton/olred.html,Blake Shelton,2001,"SHELTON, BLAKE"
I Thought There Was Time,../lyrics/blakeshelton/ithoughttherewastime.html,Blake Shelton,2001,"SHELTON, BLAKE"
Same Old Song,../lyrics/blakeshelton/sameoldsong.html,Blake Shelton,2001,"SHELTON, BLAKE"
That's What I Call Home,../lyrics/blakeshelton/thatswhaticallhome.html,Blake Shelton,2001,"SHELTON, BLAKE"
Problems At Home,../lyrics/blakeshelton/problemsathome.html,Blake Shelton,2001,"SHELTON, BLAKE"
If I Was Your Man,../lyrics/blakeshelton/ifiwasyourman.html,Blake Shelton,2001,"SHELTON, BLAKE"
,,Blake Shelton,2001,"SHELTON, BLAKE"
Heavy Liftin',../lyrics/blakeshelton/heavyliftin.html,The Dreamer,2003,"SHELTON, BLAKE"
The Baby,../lyrics/blakeshelton/thebaby.html,The Dreamer,2003,"SHELTON, BLAKE"
Asphalt Cowboy,../lyrics/blakeshelton/asphaltcowboy.html,The Dreamer,2003,"SHELTON, BLAKE"
In My Heaven,../lyrics/blakeshelton/inmyheaven.html,The Dreamer,2003,"SHELTON, BLAKE"
The Dreamer,../lyrics/blakeshelton/thedreamer.html,The Dreamer,2003,"SHELTON, BLAKE"
My Neck Of The Woods,../lyrics/blakeshelton/myneckofthewoods.html,The Dreamer,2003,"SHELTON, BLAKE"
Underneath The Same Moon,../lyrics/blakeshelton/underneaththesamemoon.html,The Dreamer,2003,"SHELTON, BLAKE"
Georgia In A Jug,../lyrics/blakeshelton/georgiainajug.html,The Dreamer,2003,"SHELTON, BLAKE"
Playboys Of The Southwestern World,../lyrics/blakeshelton/playboysofthesouthwesternworld.html,The Dreamer,2003,"SHELTON, BLAKE"
Someday,../lyrics/blakeshelton/someday.html,The Dreamer,2003,"SHELTON, BLAKE"
,,The Dreamer,2003,"SHELTON, BLAKE"
Some Beach,../lyrics/blakeshelton/somebeach.html,Blake Shelton's Barn & Grill,2004,"SHELTON, BLAKE"
Nobody But Me,../lyrics/blakeshelton/nobodybutme.html,Blake Shelton's Barn & Grill,2004,"SHELTON, BLAKE"
"Good Old Boy, Bad Old Boyfriend",../lyrics/blakeshelton/goodoldboybadoldboyfriend.html,Blake Shelton's Barn & Grill,2004,"SHELTON, BLAKE"
Love Gets In The Way,../lyrics/blakeshelton/lovegetsintheway.html,Blake Shelton's Barn & Grill,2004,"SHELTON, BLAKE"
Goodbye Time,../lyrics/blakeshelton/goodbyetime.html,Blake Shelton's Barn & Grill,2004,"SHELTON, BLAKE"
Cotton Pickin' Time,../lyrics/blakeshelton/cottonpickintime.html,Blake Shelton's Barn & Grill,2004,"SHELTON, BLAKE"
What's On My Mind,../lyrics/blakeshelton/whatsonmymind.html,Blake Shelton's Barn & Grill,2004,"SHELTON, BLAKE"
When Somebody Knows You That Well,../lyrics/blakeshelton/whensomebodyknowsyouthatwell.html,Blake Shelton's Barn & Grill,2004,"SHELTON, BLAKE"
On A Good Day,../lyrics/blakeshelton/onagoodday.html,Blake Shelton's Barn & Grill,2004,"SHELTON, BLAKE"
